time (18.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:47:10;-25;-25.04126;3.7530755499999997e-06;4.4788661776726714e-10;-3.751198e-06
08:47:30;-50;-50.0771;5.51987475e-06;1.0599337287656463e-09;-5.51096e-06
08:47:49;-75;-75.10614;6.843446950000001e-06;3.112322955185556e-09;-6.823979e-06
08:48:09;-100;-100.0825;7.941417500000001e-06;8.614446514431637e-10;-7.938733e-06
08:48:29;-125;-125.0345;8.896468000000001e-06;9.590721531772197e-10;-8.904009e-06
08:48:48;-150;-150.0141;9.8638619e-06;2.2554616932016603e-09;-9.849477e-06
08:49:08;-175;-175.0389;1.07229135e-05;3.4721410739628895e-09;-1.074423e-05
08:49:28;-200;-200.0715;1.1518594e-05;7.274724235323292e-09;-1.14884e-05
08:49:48;-225;-225.0859;1.22395805e-05;2.084686124456168e-09;-1.222802e-05
08:50:07;-250;-250.0622;1.2974066e-05;2.4607613049623414e-09;-1.297944e-05
08:50:27;-275;-275.0327;1.3696274500000003e-05;5.3350883064387874e-09;-1.370877e-05
08:50:47;-300;-300.0079;1.4394117499999998e-05;1.3914423946035116e-09;-1.440747e-05
08:51:07;-325;-325.0434;1.5079705499999999e-05;2.2552786385499737e-09;-1.510475e-05
08:51:26;-350;-350.0559;1.5703666499999995e-05;2.494849121189483e-09;-1.570644e-05
08:51:46;-375;-375.0892;1.6377228e-05;1.798496538778943e-09;-1.637972e-05
08:52:06;-400;-400.0647;1.70469225e-05;2.304556234397384e-09;-1.706711e-05
08:52:25;-425;-425.0356;1.7659735e-05;4.759834109504275e-09;-1.770495e-05
08:52:46;-450;-449.9859;1.83115625e-05;3.4226936669091126e-09;-1.829207e-05
08:53:05;-475;-475.0215;1.8922826500000004e-05;3.980032554829139e-09;-1.893096e-05
08:53:25;-500;-500.0534;1.9505026999999998e-05;3.895990894496551e-09;-1.951584e-05
08:53:44;-525;-525.0875;2.0118530499999994e-05;6.619717610102484e-09;-2.011577e-05
08:54:04;-550;-550.0692;2.06463975e-05;2.8506051879381975e-09;-2.06507e-05
08:54:24;-575;-575.0237;2.1187769000000003e-05;5.7480239604580145e-09;-2.124961e-05
08:54:44;-600;-599.9971;2.1732475500000005e-05;2.3933073846667117e-09;-2.175122e-05
08:55:04;-625;-625.0256;2.22893425e-05;1.986552777426301e-09;-2.229528e-05
08:55:24;-650;-650.0558;2.2922920499999996e-05;8.105214848324579e-09;-2.292748e-05
08:55:44;-675;-675.0687;2.348922e-05;5.0788878211671426e-09;-2.356353e-05
08:56:03;-700;-700.0482;2.42820175e-05;8.072919201720013e-09;-2.422816e-05
08:56:23;-725;-725.0155;2.4742717000000003e-05;4.12785501804511e-09;-2.476936e-05
08:56:43;-750;-749.9843;2.54751855e-05;9.265864408542739e-09;-2.541968e-05
08:57:03;-775;-775.0048;2.60048525e-05;7.383708244337681e-09;-2.599283e-05
08:57:23;-800;-800.0117;2.6757987000000005e-05;2.6012072293456636e-09;-2.674789e-05
08:57:43;-825;-825.0416;2.7680561500000002e-05;1.0992266810694609e-08;-2.764645e-05
08:58:03;-850;-850.0176;2.8492618500000003e-05;9.849791882953697e-09;-2.847154e-05
08:58:22;-875;-874.9826;2.9267040999999995e-05;6.455620686657524e-09;-2.928108e-05
08:58:42;-900;-899.9463;3.0048499999999995e-05;8.735386196385432e-09;-3.002503e-05
