time (27.01.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:31:00;-25;-25.04152;4.30943325e-06;1.2332272415799991e-09;-4.317439e-06
11:31:19;-50;-50.07621;6.1855347e-06;5.644466409679376e-10;-6.187218e-06
11:31:39;-75;-75.10497;7.63158425e-06;5.489764060276428e-10;-7.638241e-06
11:31:59;-100;-100.0791;8.87144715e-06;9.871368579761527e-10;-8.873711e-06
11:32:19;-125;-125.0335;9.974397900000004e-06;2.4962359252482257e-09;-9.960572e-06
11:32:40;-150;-150.0029;1.0970935e-05;2.1002043352969175e-09;-1.099361e-05
11:32:59;-175;-175.0389;1.19858125e-05;1.871750233738478e-09;-1.197713e-05
11:33:19;-200;-200.0692;1.2828263000000003e-05;2.947661454441467e-09;-1.284791e-05
11:33:39;-225;-225.0836;1.3693075000000001e-05;1.7017092142901575e-09;-1.368698e-05
11:33:59;-250;-250.0591;1.4489816499999998e-05;2.3782201616966008e-09;-1.451487e-05
11:34:19;-275;-275.0312;1.5298125e-05;1.8255669667256377e-09;-1.528705e-05
11:34:39;-300;-300.0079;1.60288795e-05;1.698178652998565e-09;-1.605096e-05
11:34:59;-325;-325.0424;1.6768601e-05;2.186408001723316e-09;-1.67959e-05
11:35:19;-350;-350.0543;1.7542680499999997e-05;4.540809039972874e-09;-1.754488e-05
11:35:39;-375;-375.0877;1.81728465e-05;3.713522874239461e-09;-1.821002e-05
11:35:59;-400;-400.0626;1.88055425e-05;2.554625302759721e-09;-1.88246e-05
11:36:19;-425;-425.0342;1.9517392000000002e-05;3.431409520882097e-09;-1.94882e-05
11:36:39;-450;-449.9876;2.0078915499999998e-05;1.7029168322322415e-09;-2.009765e-05
11:36:59;-475;-475.0212;2.06930585e-05;1.553756621063989e-09;-2.065898e-05
11:37:19;-500;-500.0525;2.1217328999999997e-05;3.1630406178233385e-09;-2.12047e-05
11:37:39;-525;-525.0868;2.1686000000000002e-05;2.297574917168148e-09;-2.17075e-05
11:37:59;-550;-550.0687;2.21659155e-05;1.3482215090630666e-09;-2.217967e-05
11:38:19;-575;-575.0221;2.2732197000000004e-05;3.2470059362433854e-09;-2.271819e-05
11:38:38;-600;-599.9969;2.3236338500000002e-05;2.5660362697163222e-09;-2.324601e-05
11:38:58;-625;-625.0261;2.36601795e-05;2.0967062830783194e-09;-2.368058e-05
11:39:18;-650;-650.0553;2.4165984500000003e-05;2.56407541572007e-09;-2.416436e-05
11:39:38;-675;-675.0664;2.46561825e-05;2.923693714721214e-09;-2.469455e-05
11:39:58;-700;-700.0478;2.5094358999999996e-05;3.940396356967107e-09;-2.510497e-05
11:40:17;-725;-725.016;2.55626015e-05;3.6609408131653734e-09;-2.555523e-05
11:40:37;-750;-749.9847;2.6198749999999994e-05;3.0965741554176387e-09;-2.617144e-05
11:40:57;-775;-775.0064;2.6665887000000003e-05;6.220368401469515e-09;-2.66215e-05
11:41:17;-800;-800.0112;2.7108499999999996e-05;3.024487477243061e-09;-2.712451e-05
11:41:37;-825;-825.04;2.7476335000000002e-05;5.3595039182744905e-09;-2.751208e-05
11:41:57;-850;-850.0207;2.7971783000000002e-05;2.7694257617780567e-09;-2.798882e-05
11:42:17;-875;-874.9821;2.8435842999999997e-05;3.4279147524406256e-09;-2.844985e-05
11:42:37;-900;-899.9485;2.90196425e-05;3.34387924983842e-09;-2.90455e-05
