time (03.02.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:58:05;-25;-25.04426;4.1602878499999996e-06;1.5237218976489736e-09;-4.167385e-06
07:58:25;-50;-50.0805;5.9462299e-06;2.14194119655513e-09;-5.938842e-06
07:58:45;-75;-75.11096;7.34801075e-06;2.305836640869218e-09;-7.350199e-06
07:59:05;-100;-100.0834;8.5468921e-06;3.693193758050074e-09;-8.58015e-06
07:59:25;-125;-125.0352;9.611582e-06;4.032170515367638e-09;-9.584867e-06
07:59:45;-150;-150.0036;1.05362545e-05;3.571453798875193e-09;-1.052451e-05
08:00:05;-175;-175.0421;1.14670765e-05;6.070278670497744e-09;-1.154033e-05
08:00:24;-200;-200.0748;1.2321072999999999e-05;3.170434836106883e-09;-1.228317e-05
08:00:44;-225;-225.0894;1.3066011e-05;4.085285234839755e-09;-1.308873e-05
08:01:04;-250;-250.0642;1.3834695999999997e-05;5.434501743490377e-09;-1.384775e-05
08:01:24;-275;-275.0326;1.4587830999999998e-05;5.600682498588898e-09;-1.466607e-05
08:01:43;-300;-300.0072;1.52421505e-05;5.17175098370947e-09;-1.524486e-05
08:02:03;-325;-325.0444;1.5938456e-05;5.874355981722661e-09;-1.589968e-05
08:02:23;-350;-350.0586;1.6537907999999998e-05;9.652716006389035e-09;-1.6586e-05
08:02:43;-375;-375.0928;1.7063034000000002e-05;5.271943825573222e-09;-1.710514e-05
08:03:03;-400;-400.0675;1.76800645e-05;4.4041678825289874e-09;-1.766353e-05
08:03:23;-425;-425.0365;1.8147073500000002e-05;1.047823232408501e-08;-1.806006e-05
08:03:43;-450;-449.9869;1.85473075e-05;7.509097078710527e-09;-1.857792e-05
08:04:03;-475;-475.0232;1.8996624999999995e-05;6.87805537561298e-09;-1.902882e-05
08:04:23;-500;-500.0565;1.9443754499999997e-05;4.810563765038317e-09;-1.944043e-05
08:04:43;-525;-525.0912;1.9789693e-05;1.2611797911083137e-08;-1.974575e-05
08:05:03;-550;-550.0719;2.0273618500000002e-05;7.616908666742684e-09;-2.023864e-05
08:05:23;-575;-575.0243;2.0639968e-05;7.2465380562031294e-09;-2.057708e-05
08:05:43;-600;-599.9979;2.1103291e-05;9.30081641308982e-09;-2.107664e-05
08:06:03;-625;-625.0257;2.1379764e-05;1.1128477735072358e-08;-2.133793e-05
08:06:23;-650;-650.0565;2.1930328e-05;8.558585064132995e-09;-2.201397e-05
08:06:43;-675;-675.0721;2.2307591e-05;7.787642226630665e-09;-2.236343e-05
08:07:03;-700;-700.0513;2.2534427e-05;3.989674554396594e-09;-2.256391e-05
08:07:23;-725;-725.0162;2.3038770500000003e-05;5.721824118015135e-09;-2.305488e-05
08:07:43;-750;-749.9851;2.3405135000000003e-05;7.226382099640102e-09;-2.350308e-05
08:08:03;-775;-775.0062;2.3738372e-05;1.0251194993755554e-08;-2.38121e-05
08:08:23;-800;-800.015;2.41843555e-05;7.042587254518045e-09;-2.414853e-05
08:08:43;-825;-825.0428;2.46432625e-05;5.3053425372449115e-09;-2.469343e-05
08:09:03;-850;-850.0225;2.4997307999999997e-05;1.0410155656857376e-08;-2.506878e-05
08:09:23;-875;-874.9839;2.5503845e-05;6.215101789190531e-09;-2.551025e-05
08:09:43;-900;-899.9456;2.5896482000000003e-05;5.547144878223366e-09;-2.585153e-05
