time (20.02.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
15:07:01;-25;-25.03766;4.2132195e-06;1.2799037375912457e-09;-4.22128e-06
15:07:21;-50;-50.07351;6.30799305e-06;1.5411039719548357e-09;-6.31528e-06
15:07:41;-75;-75.10335;7.967252799999999e-06;4.130694126051958e-09;-7.984936e-06
15:08:01;-100;-100.0784;9.36162965e-06;2.6721578455201475e-09;-9.347997e-06
15:08:21;-125;-125.022;1.06295245e-05;2.342292197293102e-09;-1.062722e-05
15:08:41;-150;-150.0026;1.1722947499999999e-05;2.3713278848569237e-09;-1.171048e-05
15:09:01;-175;-175.0374;1.27872405e-05;4.879743972535876e-09;-1.275446e-05
15:09:21;-200;-200.0683;1.3851272e-05;3.731894666251997e-09;-1.384755e-05
15:09:41;-225;-225.0814;1.47630995e-05;6.187979293557744e-09;-1.476641e-05
15:10:00;-250;-250.0576;1.5696893499999998e-05;4.574941107544439e-09;-1.570831e-05
15:10:20;-275;-275.0297;1.6695186500000005e-05;5.107055182539153e-09;-1.666296e-05
15:10:40;-300;-300.0077;1.7667584500000004e-05;9.31073228792994e-09;-1.773921e-05
15:11:00;-325;-325.0405;1.86192255e-05;6.0462928094411664e-09;-1.863922e-05
15:11:19;-350;-350.0533;1.964425e-05;1.0806931132379884e-08;-1.955073e-05
15:11:39;-375;-375.0849;2.0654483e-05;4.710006003180913e-09;-2.064505e-05
15:11:59;-400;-400.0613;2.1556201999999997e-05;4.422957076436591e-09;-2.158268e-05
15:12:19;-425;-425.0324;2.2676641500000003e-05;8.437038736280622e-09;-2.26538e-05
15:12:39;-450;-449.9866;2.3673663999999998e-05;9.120550131433929e-09;-2.366436e-05
15:12:59;-475;-475.0197;2.4733369000000005e-05;7.2576469292739305e-09;-2.478122e-05
15:13:18;-500;-500.0515;2.5826239500000005e-05;9.400781735446278e-09;-2.587097e-05
15:13:38;-525;-525.0847;2.6929978499999992e-05;1.1249374210928357e-08;-2.694488e-05
15:13:58;-550;-550.068;2.8121848e-05;1.389154650497915e-08;-2.817136e-05
15:14:18;-575;-575.0205;2.9134696499999998e-05;1.2041815192797979e-08;-2.907406e-05
15:14:38;-600;-599.9964;3.01696895e-05;8.908016795982144e-09;-3.021523e-05
15:14:58;-625;-625.025;3.13816925e-05;2.8029090619167474e-08;-3.127878e-05
15:15:18;-650;-650.0546;3.22937685e-05;5.519023839185578e-09;-3.237305e-05
15:15:38;-675;-675.0665;3.34603095e-05;1.5024957279057268e-08;-3.340027e-05
15:15:58;-700;-700.0469;3.463601149999999e-05;5.90711326601251e-09;-3.455448e-05
15:16:18;-725;-725.0159;3.5740481499999994e-05;4.413116884640634e-09;-3.570908e-05
15:16:38;-750;-749.9857;3.709276399999999e-05;1.0019553393240541e-08;-3.710667e-05
15:16:57;-775;-775.0056;3.8379545e-05;1.4754598206999776e-08;-3.838509e-05
15:17:17;-800;-800.0132;3.9699182000000005e-05;1.3928312255977039e-08;-3.97187e-05
15:17:37;-825;-825.04;4.12407705e-05;1.1786318540472996e-08;-4.110538e-05
15:17:57;-850;-850.0208;4.2524192500000005e-05;1.1569492034549196e-08;-4.250849e-05
15:18:17;-875;-874.9841;4.4053471e-05;1.0131674365572461e-08;-4.420024e-05
15:18:36;-900;-899.9471;4.57832795e-05;1.2779445028540996e-08;-4.571928e-05
