time (23.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:50:29;-25;-25.03954;4.3816979499999995e-06;5.831071534246518e-10;-4.378602e-06
13:50:49;-50;-50.07401;6.5693255e-06;4.1303010483499316e-10;-6.575983e-06
13:51:09;-75;-75.10358;8.2872274e-06;2.2522675611480953e-09;-8.292543e-06
13:51:28;-100;-100.0804;9.745685e-06;1.6237468583495333e-09;-9.764397e-06
13:51:49;-125;-125.0236;1.10930265e-05;1.4005233441467818e-09;-1.1131e-05
13:52:09;-150;-150.0038;1.2371788e-05;1.7481811405000234e-09;-1.234749e-05
13:52:28;-175;-175.0371;1.3585145500000001e-05;3.5948388333136602e-09;-1.358909e-05
13:52:48;-200;-200.0681;1.4730766e-05;2.991486286112656e-09;-1.474388e-05
13:53:08;-225;-225.0825;1.5830658999999995e-05;3.776038194986952e-09;-1.582679e-05
13:53:27;-250;-250.0584;1.6901739e-05;2.4520661593847745e-09;-1.692429e-05
13:53:47;-275;-275.0317;1.7974161e-05;1.383338516054545e-09;-1.797365e-05
13:54:08;-300;-300.0078;1.9088533e-05;2.600367002944086e-09;-1.909697e-05
13:54:28;-325;-325.0416;2.01912315e-05;2.3990080528209917e-09;-2.017292e-05
13:54:48;-350;-350.0536;2.12466295e-05;1.004842891948748e-09;-2.126181e-05
13:55:07;-375;-375.0859;2.2442297499999997e-05;3.174610202450009e-09;-2.244871e-05
13:55:28;-400;-400.0618;2.35646105e-05;4.624447884612854e-09;-2.356974e-05
13:55:48;-425;-425.0343;2.4740028999999996e-05;3.0202471670377994e-09;-2.473979e-05
13:56:08;-450;-449.9872;2.5928105e-05;9.152127198088969e-09;-2.590003e-05
13:56:28;-475;-475.0213;2.7170826499999997e-05;3.312587227153473e-09;-2.717933e-05
13:56:48;-500;-500.0515;2.8450059000000002e-05;3.878908925200481e-09;-2.844719e-05
13:57:08;-525;-525.0869;2.9742223499999995e-05;6.308703007552414e-09;-2.976144e-05
13:57:28;-550;-550.0662;3.109155550000001e-05;5.337247674363652e-09;-3.111621e-05
13:57:48;-575;-575.0228;3.23711625e-05;5.1223571173338195e-09;-3.240974e-05
13:58:08;-600;-599.9977;3.36912005e-05;6.5585437970253745e-09;-3.36931e-05
13:58:28;-625;-625.0266;3.5079065000000005e-05;6.214878860444367e-09;-3.50445e-05
13:58:48;-650;-650.0541;3.65562255e-05;9.162127713446205e-09;-3.652477e-05
13:59:08;-675;-675.0668;3.7853721499999995e-05;4.105226746173806e-09;-3.791217e-05
13:59:28;-700;-700.0482;3.94141555e-05;7.155631190712759e-09;-3.93233e-05
13:59:48;-725;-725.0159;4.067028399999999e-05;5.3073775256711495e-09;-4.066396e-05
14:00:07;-750;-749.9871;4.23154645e-05;5.810313178951899e-09;-4.235857e-05
14:00:27;-775;-775.0081;4.3752905999999995e-05;4.3791603875628164e-09;-4.376068e-05
14:00:47;-800;-800.0138;4.5483145e-05;1.0752380236487257e-08;-4.531384e-05
14:01:07;-825;-825.0415;4.70361595e-05;6.39555761740139e-09;-4.693717e-05
14:01:27;-850;-850.0205;4.8822198e-05;1.5016529502518307e-08;-4.893247e-05
14:01:47;-875;-874.9838;5.071880699999999e-05;2.8863640060636813e-08;-5.057306e-05
14:02:06;-900;-899.9521;5.251611200000001e-05;1.492088927644728e-08;-5.254605e-05
