time (21.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
14:43:47;-25;-25.03524;3.57603945e-06;1.7471327189140828e-10;-3.568315e-06
14:44:07;-50;-50.06984;5.323619399999999e-06;3.347430088889309e-10;-5.322501e-06
14:44:26;-75;-75.09921;6.670145849999999e-06;4.701177260803905e-10;-6.66967e-06
14:44:46;-100;-100.0755;7.833427149999998e-06;4.165400057317351e-10;-7.830212e-06
14:45:06;-125;-125.0302;8.8941923e-06;4.789624364185727e-10;-8.89042e-06
14:45:25;-150;-150.0118;9.87604915e-06;6.63322920133862e-10;-9.882619e-06
14:45:45;-175;-175.0359;1.0799881000000001e-05;9.406074898702322e-10;-1.082716e-05
14:46:05;-200;-200.0667;1.1679053000000001e-05;6.262467963989528e-10;-1.168364e-05
14:46:25;-225;-225.0786;1.2593616500000001e-05;4.415457365890394e-10;-1.259425e-05
14:46:45;-250;-250.0565;1.3462672999999998e-05;7.043799045969153e-10;-1.346938e-05
14:47:05;-275;-275.0295;1.4283687500000003e-05;1.8584473190004957e-09;-1.429152e-05
14:47:26;-300;-300.0071;1.5129958e-05;1.0055810757964803e-09;-1.513521e-05
14:47:46;-325;-325.0395;1.6006168500000003e-05;6.303765838766389e-10;-1.600965e-05
14:48:06;-350;-350.0515;1.6908749999999996e-05;2.2520425173607347e-09;-1.689932e-05
14:48:26;-375;-375.0825;1.77714245e-05;1.3532622574727615e-09;-1.777395e-05
14:48:46;-400;-400.0596;1.86641505e-05;6.829082936236366e-10;-1.866601e-05
14:49:05;-425;-425.0325;1.95541665e-05;1.262382326199145e-09;-1.956028e-05
14:49:25;-450;-449.9873;2.0544107999999997e-05;7.996579268661767e-10;-2.055098e-05
14:49:45;-475;-475.0189;2.15016015e-05;2.1732877484355444e-09;-2.151272e-05
14:50:04;-500;-500.0497;2.2513007e-05;6.088932993553432e-10;-2.251726e-05
14:50:24;-525;-525.0831;2.3565768499999994e-05;2.2171970227068072e-09;-2.354811e-05
14:50:44;-550;-550.0659;2.4606104e-05;3.681496326223897e-09;-2.459904e-05
14:51:04;-575;-575.0209;2.56871675e-05;1.2252856554697784e-09;-2.568559e-05
14:51:24;-600;-599.9965;2.6684961e-05;2.454585698239077e-09;-2.670836e-05
14:51:44;-625;-625.0253;2.7723865999999994e-05;2.533224368270575e-09;-2.772821e-05
14:52:04;-650;-650.0525;2.8794231999999997e-05;2.3975683097672063e-09;-2.881002e-05
14:52:24;-675;-675.0652;2.9899850500000003e-05;1.2376113030754077e-09;-2.989569e-05
14:52:44;-700;-700.0461;3.0848065499999996e-05;2.5894124309386473e-09;-3.087005e-05
14:53:04;-725;-725.0143;3.1896099499999996e-05;2.1145647867823764e-09;-3.191351e-05
14:53:24;-750;-749.9839;3.307613949999999e-05;1.0688532347801082e-09;-3.308728e-05
14:53:44;-775;-775.0058;3.43483565e-05;1.1816651968727343e-09;-3.435943e-05
14:54:04;-800;-800.0106;3.5676309e-05;5.196455469837042e-09;-3.565913e-05
14:54:24;-825;-825.0391;3.7134947499999996e-05;7.840603384784903e-09;-3.707476e-05
14:54:43;-850;-850.0186;3.8539722500000005e-05;4.711201114100342e-09;-3.852828e-05
14:55:03;-875;-874.9817;4.00964345e-05;1.869981480523432e-09;-4.010828e-05
14:55:23;-900;-899.9478;4.1802409499999994e-05;2.3117406293745243e-09;-4.18417e-05
