time (02.07.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:06:07;-25;-25.03775;3.5857308500000006e-06;7.391978634810875e-10;-3.590652e-06
11:06:27;-50;-50.07116;5.3137016e-06;1.141933965691519e-09;-5.317203e-06
11:06:47;-75;-75.09937;6.6698591e-06;9.013294982968408e-10;-6.674818e-06
11:07:07;-100;-100.075;7.84441905e-06;3.1738577578989046e-09;-7.836365e-06
11:07:27;-125;-125.0307;8.871413e-06;8.117705463984454e-10;-8.874746e-06
11:07:47;-150;-150.0123;9.805977699999999e-06;1.2902456027826633e-09;-9.803346e-06
11:08:07;-175;-175.0365;1.0697288e-05;1.0051944090572775e-09;-1.07187e-05
11:08:27;-200;-200.0663;1.1543134499999999e-05;1.7857052493342482e-09;-1.154146e-05
11:08:46;-225;-225.0773;1.2341309e-05;3.745517447563134e-09;-1.23652e-05
11:09:06;-250;-250.0558;1.3223386500000001e-05;3.61762810934183e-09;-1.318716e-05
11:09:26;-275;-275.0288;1.4032175499999997e-05;2.5447013061457515e-09;-1.402539e-05
11:09:46;-300;-300.0067;1.4794685499999998e-05;5.164490607746337e-09;-1.481778e-05
11:10:05;-325;-325.0387;1.5591730500000002e-05;2.4324312400353663e-09;-1.558179e-05
11:10:26;-350;-350.0501;1.6409542e-05;1.426582559826085e-09;-1.641466e-05
11:10:46;-375;-375.0811;1.7252965e-05;2.6945359990171908e-09;-1.723091e-05
11:11:05;-400;-400.0594;1.7987366e-05;1.7828950333656516e-09;-1.800828e-05
11:11:26;-425;-425.0304;1.88349035e-05;3.5425227081135573e-09;-1.882751e-05
11:11:46;-450;-449.9859;1.97741315e-05;4.24417620245674e-09;-1.977343e-05
11:12:06;-475;-475.0179;2.0740727e-05;1.6239846212326812e-09;-2.074614e-05
11:12:25;-500;-500.0491;2.1645403000000003e-05;7.129144412199893e-09;-2.162116e-05
11:12:45;-525;-525.0818;2.2501033500000002e-05;2.527699376409318e-09;-2.251089e-05
11:13:05;-550;-550.0634;2.3545932000000002e-05;6.573304937396527e-09;-2.359456e-05
11:13:25;-575;-575.0193;2.4422208499999998e-05;2.2548592278676643e-09;-2.442193e-05
11:13:45;-600;-599.9957;2.5350134499999997e-05;1.6746710833773197e-09;-2.535881e-05
11:14:04;-625;-625.0238;2.62758465e-05;1.4913482616411223e-09;-2.629032e-05
11:14:24;-650;-650.0501;2.7197909499999995e-05;6.588685167580884e-09;-2.719946e-05
11:14:44;-675;-675.0618;2.8124901500000007e-05;3.2021283761742163e-09;-2.814319e-05
11:15:04;-700;-700.0432;2.9247606999999993e-05;4.11768084605876e-09;-2.921745e-05
11:15:24;-725;-725.0131;3.0232136500000005e-05;3.6631036209067123e-09;-3.026674e-05
11:15:43;-750;-749.9841;3.12158065e-05;6.1837245360299245e-09;-3.123683e-05
11:16:03;-775;-775.0036;3.242882400000001e-05;4.685888944480123e-09;-3.238418e-05
11:16:23;-800;-800.0096;3.3664759499999996e-05;3.690422907675922e-09;-3.368484e-05
11:16:43;-825;-825.0356;3.4868418e-05;5.5914855181783704e-09;-3.483692e-05
11:17:02;-850;-850.0151;3.605754399999999e-05;4.515330851665496e-09;-3.611964e-05
11:17:22;-875;-874.9797;3.7435599e-05;1.1083006155822508e-08;-3.737854e-05
11:17:42;-900;-899.9458;3.9026559000000005e-05;9.972571305836775e-09;-3.904793e-05
