time (24.01.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:44:33;-25;-25.04177;4.58093285e-06;1.029820116027547e-09;-4.590954e-06
07:44:53;-50;-50.08046;6.758099899999999e-06;1.9855948754718456e-09;-6.778469e-06
07:45:13;-75;-75.11111;8.4850678e-06;1.4044876140429396e-09;-8.498124e-06
07:45:33;-100;-100.0848;9.947349100000001e-06;1.551455595400631e-09;-9.963891e-06
07:45:53;-125;-125.0241;1.1341142500000002e-05;2.481424074498318e-09;-1.134074e-05
07:46:12;-150;-150.0019;1.2552683000000001e-05;1.5999048565461722e-09;-1.2571e-05
07:46:32;-175;-175.0394;1.3814598500000002e-05;4.451658301970191e-09;-1.383866e-05
07:46:52;-200;-200.0727;1.4929163999999997e-05;2.6444877008600428e-09;-1.496428e-05
07:47:12;-225;-225.0881;1.60045355e-05;4.185185209461996e-09;-1.602504e-05
07:47:31;-250;-250.0621;1.7089948500000003e-05;4.556682470558978e-09;-1.713107e-05
07:47:51;-275;-275.0326;1.8188938999999995e-05;3.6362078392192847e-09;-1.816899e-05
07:48:11;-300;-300.0078;1.9201518e-05;7.400570673941257e-09;-1.924135e-05
07:48:31;-325;-325.0423;2.0239461999999998e-05;2.961433993861811e-09;-2.022139e-05
07:48:50;-350;-350.0586;2.1261966000000004e-05;8.125655708925953e-09;-2.120581e-05
07:49:10;-375;-375.0919;2.2210337e-05;5.676097915822118e-09;-2.220821e-05
07:49:30;-400;-400.0661;2.3226423e-05;3.5387355863358903e-09;-2.321632e-05
07:49:50;-425;-425.0363;2.4220273e-05;4.802839738113281e-09;-2.422653e-05
07:50:10;-450;-449.9868;2.5389846e-05;6.516254384230339e-09;-2.543506e-05
07:50:29;-475;-475.0238;2.6318170499999997e-05;1.0033105886887647e-08;-2.629692e-05
07:50:50;-500;-500.0553;2.75718795e-05;9.244087258215396e-09;-2.752156e-05
07:51:10;-525;-525.0901;2.8431737000000002e-05;4.852372260039347e-09;-2.846673e-05
07:51:30;-550;-550.0698;2.9475958e-05;6.587280189881086e-09;-2.949603e-05
07:51:50;-575;-575.024;3.05888135e-05;9.498512785562732e-09;-3.064815e-05
07:52:10;-600;-599.9968;3.15296465e-05;5.755810467475435e-09;-3.157512e-05
07:52:30;-625;-625.027;3.2756742999999995e-05;6.749373752430633e-09;-3.276427e-05
07:52:49;-650;-650.0576;3.402177900000001e-05;8.396874028470159e-09;-3.389573e-05
07:53:09;-675;-675.07;3.49636125e-05;5.6168901037404955e-09;-3.497103e-05
07:53:28;-700;-700.0513;3.60497505e-05;6.2555312114559496e-09;-3.60534e-05
07:53:48;-725;-725.0171;3.7272834e-05;1.3568294668085492e-08;-3.725568e-05
07:54:08;-750;-749.9869;3.8252045e-05;3.740418058185403e-09;-3.82812e-05
07:54:28;-775;-775.0084;3.94416955e-05;1.1109440770691415e-08;-3.94239e-05
07:54:47;-800;-800.0157;4.071155399999999e-05;4.886650048857588e-09;-4.073536e-05
07:55:07;-825;-825.0434;4.200619599999999e-05;7.780777737475997e-09;-4.20911e-05
07:55:27;-850;-850.0212;4.324650399999999e-05;2.3061748214304822e-08;-4.310932e-05
07:55:47;-875;-874.9859;4.4433768500000005e-05;1.079917981318508e-08;-4.44805e-05
07:56:06;-900;-899.9471;4.5874065e-05;1.0991044615958678e-08;-4.582288e-05
