time (27.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:48:03;-25;-25.03941;-2.7191564500000004e-06;9.414434329793623e-11;-3.716394e-06
11:48:23;-50;-50.07539;-3.94017295e-06;1.8590269598637606e-10;-5.561278e-06
11:48:43;-75;-75.10265;-4.91112385e-06;3.710614455518368e-10;-7.01559e-06
11:49:03;-100;-100.0779;-5.740405300000001e-06;5.394086071801107e-10;-8.241639e-06
11:49:23;-125;-125.0334;-6.4868519e-06;3.6546277443811834e-10;-9.334165e-06
11:49:43;-150;-150.021;-7.20713075e-06;8.025577109311222e-10;-1.036144e-05
11:50:03;-175;-175.0393;-7.90800385e-06;2.596501518871312e-10;-1.142302e-05
11:50:23;-200;-200.0702;-8.604355249999998e-06;4.0261793225712436e-10;-1.234606e-05
11:50:43;-225;-225.0813;-9.28700685e-06;6.315129067366451e-10;-1.330417e-05
11:51:03;-250;-250.0597;-9.977127100000002e-06;4.616954564428834e-10;-1.425888e-05
11:51:23;-275;-275.0315;-1.0635127e-05;2.4240410578205937e-09;-1.516271e-05
11:51:43;-300;-300.0095;-1.1299107999999998e-05;3.8826897893086606e-10;-1.607232e-05
11:52:03;-325;-325.0417;-1.2013147e-05;8.975260720446926e-10;-1.702794e-05
11:52:23;-350;-350.0547;-1.2717033e-05;1.0105404742017834e-09;-1.799982e-05
11:52:43;-375;-375.0848;-1.3428462000000001e-05;8.454707564427756e-10;-1.894283e-05
11:53:03;-400;-400.0616;-1.41477025e-05;3.148125434286334e-10;-1.990388e-05
11:53:23;-425;-425.0345;-1.4867647e-05;1.272312284779182e-09;-2.086573e-05
11:53:42;-450;-449.9878;-1.5627031000000003e-05;1.0085771908981218e-09;-2.184623e-05
11:54:02;-475;-475.0211;-1.6426727500000002e-05;2.396654947525819e-09;-2.289936e-05
11:54:22;-500;-500.0521;-1.7206394000000002e-05;1.2118443381886152e-09;-2.393613e-05
11:54:42;-525;-525.0863;-1.8025785000000002e-05;1.7167617044890402e-09;-2.497631e-05
11:55:02;-550;-550.068;-1.8872411e-05;1.5219075037596006e-09;-2.609288e-05
11:55:22;-575;-575.0231;-1.97172615e-05;1.5091736604844431e-09;-2.717774e-05
11:55:41;-600;-599.9995;-2.05519035e-05;1.4249007465433956e-09;-2.826944e-05
11:56:01;-625;-625.0273;-2.1420034999999997e-05;1.307605923051747e-09;-2.942831e-05
11:56:21;-650;-650.0553;-2.2275796e-05;9.588494146632097e-10;-3.051827e-05
11:56:40;-675;-675.068;-2.3153091000000002e-05;7.631984997365214e-10;-3.168637e-05
11:57:00;-700;-700.0486;-2.4054e-05;9.419384268624706e-10;-3.284795e-05
11:57:20;-725;-725.0162;-2.4941809000000004e-05;3.033488989595911e-09;-3.404196e-05
11:57:40;-750;-749.9865;-2.5873835000000005e-05;3.970469839955961e-09;-3.523055e-05
11:57:59;-775;-775.0074;-2.6878494500000002e-05;2.0921604234617105e-09;-3.652922e-05
11:58:19;-800;-800.0148;-2.7948143999999998e-05;3.479129086423724e-09;-3.790564e-05
11:58:39;-825;-825.0404;-2.9108210000000004e-05;1.8719071825280706e-09;-3.944126e-05
11:58:59;-850;-850.0205;-3.0255441999999997e-05;1.9297610732937486e-09;-4.089424e-05
11:59:18;-875;-874.9843;-3.15364265e-05;1.8686534289428284e-09;-4.258762e-05
11:59:38;-900;-899.9485;-3.2863028e-05;7.388212233009393e-10;-4.429127e-05
