Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.971244e-05,1989.8580725851473,1989.8580725851473,620.4221105527638,2.832457534584686,0.7693986855864984,0.7693986855864984
1,-850.0,-1.913682e-05,1906.7165695142376,1906.7165695142376,594.7738693467337,2.898357944731549,0.865953989124357,0.865953989124357
2,-800.0,-1.836435e-05,1813.7207280848686,1813.7207280848686,568.5628140703518,3.111997574583663,0.7734394908574893,0.7734394908574893
3,-750.0,-1.763373e-05,1716.2964511446119,1716.2964511446119,541.6281407035176,3.1192237133198066,0.7115352017001174,0.7115352017001174
4,-700.0,-1.708251e-05,1595.1538135120043,1595.1538135120043,507.53768844221105,3.060893180302053,0.6879628786706912,0.6879628786706912
5,-650.0,-1.638118e-05,1470.687070910106,1470.687070910106,475.4572864321608,3.0878445700143997,0.6601797511583208,0.6601797511583208
6,-600.0,-1.55199e-05,1359.6469994416523,1359.6469994416523,445.7889447236181,3.138041736252814,0.5907798358811622,0.5907798358811622
7,-550.0,-1.476313e-05,1240.6732864321607,1240.6732864321607,412.02010050251266,3.152186285232627,0.6332999741257911,0.6332999741257911
8,-500.0,-1.392077e-05,1133.2651881630372,1133.2651881630372,382.39195979899495,3.33910954441667,0.6095690407136811,0.6095690407136811
9,-450.0,-1.298536e-05,1028.7705371300947,1028.7705371300947,350.5929648241206,3.5779182985485902,0.5114043759543927,0.5114043759543927
10,-400.0,-1.20555e-05,929.0757610273588,929.0757610273588,318.79396984924625,3.5534667441610726,0.4851018938723081,0.4851018938723081
11,-350.0,-1.116201e-05,827.8206499162479,827.8206499162479,285.74874371859295,3.5839608083551644,0.544486468575232,0.544486468575232
12,-300.0,-1.012607e-05,713.95750307091,713.95750307091,250.85427135678393,4.383590408484325,0.6892414357106466,0.6892414357106466
13,-250.0,-9.601959e-06,608.8891568955889,608.8891568955889,215.95979899497488,5.16371744682234,0.4525697592114311,0.4525697592114311
14,-200.0,-8.346596e-06,507.184598548297,507.184598548297,181.9497487437186,5.762429695264695,0.42390178910830023,0.42390178910830023
15,-150.0,-7.077862e-06,405.5182043551089,405.5182043551089,145.76884422110552,5.955027273525072,0.4728651456078108,0.4728651456078108
16,-100.0,-5.588271e-06,299.78277163595754,299.78277163595754,111.03517587939699,5.841467222564418,0.3896682463489833,0.3896682463489833
