Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-3.81486e-05,1026.9908654383025,1026.9908654383025,391.63819095477385,2.6622212009984074,0.5421524509267137,0.5421524509267137
1,-850.0,-3.608063e-05,973.5452730318259,973.5452730318259,372.9849246231156,2.602973597819017,1.0931223117576332,1.0931223117576332
2,-800.0,-3.419302e-05,908.571962032384,908.571962032384,350.713567839196,3.0521922502866308,0.4583923403211412,0.4583923403211412
3,-750.0,-3.253399e-05,860.8956605248462,860.8956605248462,334.07035175879395,3.004159523233911,0.4508435789751087,0.4508435789751087
4,-700.0,-3.065526e-05,813.6862445561137,813.6862445561137,318.3115577889447,2.912166279579782,0.5222588532208625,0.5222588532208625
5,-650.0,-2.869843e-05,764.5667805695142,764.5667805695142,299.81909547738695,3.086605005449924,0.5480683098074277,0.5480683098074277
6,-600.0,-2.71343e-05,710.6970050251255,710.6970050251255,280.36180904522615,3.1702838563454856,0.44889033051583105,0.44889033051583105
7,-550.0,-2.5532e-05,665.6632853154662,665.6632853154662,263.8793969849246,3.205298758785884,0.44233414247535513,0.44233414247535513
8,-500.0,-2.371503e-05,620.5383897264097,620.5383897264097,247.43718592964825,2.917027497694959,0.4620957658390694,0.4620957658390694
9,-450.0,-2.189315e-05,572.5328509212729,572.5328509212729,230.23115577889448,3.0504563937212246,0.44748145009489265,0.44748145009489265
10,-400.0,-2.035883e-05,519.6973668341707,519.6973668341707,209.12562814070353,3.1523347506424897,0.46594254025173376,0.46594254025173376
11,-350.0,-1.867476e-05,471.97112674483515,471.97112674483515,191.63819095477388,3.195066155073377,0.4336009472890478,0.4336009472890478
12,-300.0,-1.691112e-05,420.4315622557229,420.4315622557229,171.33668341708542,3.205024259928066,0.4346495307925722,0.4346495307925722
13,-250.0,-1.498184e-05,365.65394081518696,365.65394081518696,151.71859296482413,3.1656665334895195,0.46109226965622113,0.46109226965622113
14,-200.0,-1.32416e-05,312.190552763819,312.190552763819,128.72361809045225,3.239287777615196,0.4763917229481524,0.4763917229481524
15,-150.0,-1.110581e-05,251.56632942490216,251.56632942490216,105.4070351758794,3.368861359406949,0.42992002840522653,0.42992002840522653
16,-100.0,-9.208815e-06,186.27225013958682,186.27225013958682,80.92462311557789,3.898361664093498,0.409003459237544,0.409003459237544
