Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-2.855873e-05,1537.439696259073,1537.439696259073,497.04522613065325,4.60440689166872,0.6594340354191354,0.6594340354191354
1,-850.0,-2.7506e-05,1508.8061462869903,1508.8061462869903,487.31658291457285,4.722484385323264,0.7502213041710374,0.7502213041710374
2,-800.0,-2.665607e-05,1459.370434394193,1459.370434394193,472.20100502512565,5.5016540982170765,0.7619816611654082,0.7619816611654082
3,-750.0,-2.540387e-05,1401.5996069235064,1401.5996069235064,454.79396984924625,5.699493443058042,0.68389657237092,0.68389657237092
4,-700.0,-2.460269e-05,1355.1191870463426,1355.1191870463426,439.7185929648241,5.985730850638591,0.6191619971235565,0.6191619971235565
5,-650.0,-2.370212e-05,1303.2247102177555,1303.2247102177555,422.95477386934675,6.119654539659725,0.6163159219233537,0.6163159219233537
6,-600.0,-2.256798e-05,1235.4872674483527,1235.4872674483527,400.321608040201,6.1365246181917,0.6502819794920882,0.6502819794920882
7,-550.0,-2.169438e-05,1150.8490005583471,1150.8490005583471,373.54773869346735,6.080137094381302,0.6718121457197376,0.6718121457197376
8,-500.0,-2.077727e-05,1053.6023405918481,1053.6023405918481,343.47738693467335,6.137510386747473,0.5784851123686949,0.5784851123686949
9,-450.0,-1.96271e-05,948.4647950865436,948.4647950865436,312.321608040201,6.136168595101296,0.6490790293086853,0.6490790293086853
10,-400.0,-1.829235e-05,842.4984835287548,842.4984835287548,281.64824120603015,6.164658582355463,0.5754419744607662,0.5754419744607662
11,-350.0,-1.70712e-05,740.3518213288665,740.3518213288665,251.9396984924623,6.1826035976300036,0.5567975550856687,0.5567975550856687
12,-300.0,-1.540993e-05,645.3806275823562,645.3806275823562,223.356783919598,6.06458021111042,0.4434852351033582,0.4434852351033582
13,-250.0,-1.390521e-05,556.8428274706868,556.8428274706868,194.4924623115578,6.114949599478301,0.459283574703485,0.459283574703485
14,-200.0,-1.216316e-05,467.7072652149637,467.7072652149637,167.356783919598,6.0652219129756295,0.5018519788305295,0.5018519788305295
15,-150.0,-1.033331e-05,373.94622892238976,373.94622892238976,137.0854271356784,6.1673111579706426,0.4937186784100074,0.4937186784100074
16,-100.0,-8.753178e-06,276.751508654383,276.751508654383,104.84422110552764,6.1306558861901586,0.39889669107339026,0.39889669107339026
