Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-5.348263e-05,1024.679164712451,1024.679164712451,337.60804020100505,3.440180733226959,0.5320877161278568,0.5320877161278568
1,-850.0,-5.097039e-05,965.9516069235061,965.9516069235061,317.9497487437186,4.89018744906645,0.5256814377351217,0.5256814377351217
2,-800.0,-4.770684e-05,899.9431289782243,899.9431289782243,296.643216080402,5.252012704690721,0.5156068750428544,0.5156068750428544
3,-750.0,-4.399937e-05,833.9588252372976,833.9588252372976,278.03015075376885,5.290324915672226,0.49303004828856106,0.49303004828856106
4,-700.0,-4.117447e-05,772.5692819653824,772.5692819653824,257.20603015075375,5.635864043041312,0.49631773753621117,0.49631773753621117
5,-650.0,-3.863134e-05,719.5755667225012,719.5755667225012,241.0854271356784,5.480413900103064,0.43469535772348583,0.43469535772348583
6,-600.0,-3.568027e-05,665.4433947515355,665.4433947515355,224.68341708542712,5.443235924466623,0.3983307278022101,0.3983307278022101
7,-550.0,-3.32062e-05,614.1203439419318,614.1203439419318,208.40201005025125,5.663331246461758,0.4723774138092634,0.4723774138092634
8,-500.0,-3.061406e-05,569.9146219988833,569.9146219988833,193.4070351758794,5.286801827097165,0.3986243388368351,0.3986243388368351
9,-450.0,-2.813289e-05,522.902208821887,522.902208821887,177.32663316582915,5.294046577203189,0.4190664755897494,0.4190664755897494
10,-400.0,-2.558377e-05,472.7184366275822,472.7184366275822,160.321608040201,5.50563934275628,0.36307421310927185,0.36307421310927185
11,-350.0,-2.332435e-05,425.7609112227804,425.7609112227804,145.20603015075378,5.352189086803393,0.4808838330880646,0.4808838330880646
12,-300.0,-2.103713e-05,380.53944388609705,380.53944388609705,129.64824120603015,4.569509276585526,0.4525411904123333,0.4525411904123333
13,-250.0,-1.864361e-05,330.1118570630931,330.1118570630931,112.24120603015075,4.715613219047869,0.47843031396893415,0.47843031396893415
14,-200.0,-1.603241e-05,275.49813065326623,275.49813065326623,93.62814070351759,4.957616706362961,0.4241788952056676,0.4241788952056676
15,-150.0,-1.337742e-05,217.76039307649359,217.76039307649359,72.48241206030151,5.3464891047687235,0.45375677063806036,0.45375677063806036
16,-100.0,-1.036198e-05,161.02525069793407,161.02525069793407,55.71859296482412,5.109949104295943,0.3688563178686311,0.3688563178686311
