time (29.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:00:19;-18.10;-30.00;-29.99;20.80;-16.50;-17.80;-15.87;10.40;3.30
08:00:21;-18.10;-30.00;-30.00;20.80;-16.50;-17.90;-16.10;10.30;3.30
08:00:23;-18.10;-30.00;-29.99;20.80;-16.50;-17.90;-16.24;10.30;3.40
08:00:25;-18.10;-30.00;-29.99;20.80;-16.50;-17.90;-16.39;10.30;3.40
08:00:27;-18.10;-30.00;-30.00;20.80;-16.50;-17.90;-16.47;10.30;3.30
08:00:29;-18.10;-30.00;-30.02;20.80;-16.50;-18.00;-16.53;10.30;3.30
08:00:31;-18.10;-30.00;-30.01;20.80;-16.50;-18.00;-16.66;10.30;3.30
08:00:33;-18.10;-30.00;-30.00;20.80;-16.50;-18.00;-16.76;10.30;3.40
08:00:35;-18.10;-30.00;-30.00;20.70;-16.50;-18.00;-16.83;10.30;3.30
08:00:37;-18.10;-30.00;-29.99;20.70;-16.50;-18.00;-16.86;10.30;3.30
08:00:39;-18.10;-30.00;-29.98;20.80;-16.50;-18.00;-16.99;10.30;3.30
08:00:41;-18.10;-30.00;-29.98;20.70;-16.60;-18.00;-17.02;10.30;3.30
08:00:43;-18.10;-30.00;-29.98;20.70;-16.60;-18.00;-17.07;10.20;3.30
08:00:45;-18.10;-30.00;-30.00;20.70;-16.60;-18.00;-17.18;10.20;3.30
08:00:47;-18.10;-30.00;-30.02;20.70;-16.60;-18.00;-17.26;10.20;3.40
08:00:49;-18.10;-30.00;-30.04;20.70;-16.60;-18.10;-17.32;10.20;3.30
08:00:51;-18.10;-30.00;-30.07;20.70;-16.60;-18.10;-17.32;10.10;3.30
08:00:53;-18.10;-30.00;-30.07;20.70;-16.60;-18.10;-17.35;10.10;3.30
08:00:55;-18.10;-30.00;-30.08;20.70;-16.60;-18.10;-17.41;10.10;3.30
08:00:57;-18.10;-30.00;-30.07;20.70;-16.60;-18.10;-17.41;10.10;3.30
08:00:59;-18.10;-30.00;-30.06;20.70;-16.60;-18.10;-17.45;10.10;3.30
08:01:01;-18.10;-30.00;-30.06;20.70;-16.70;-18.10;-17.50;10.10;3.40
08:01:03;-18.10;-30.00;-30.06;20.70;-16.70;-18.20;-17.50;10.10;3.40
08:01:05;-18.10;-30.00;-30.05;20.70;-16.70;-18.20;-17.50;10.10;3.30
08:01:07;-18.10;-30.00;-30.04;20.70;-16.70;-18.20;-17.54;10.10;3.40
08:01:09;-18.10;-30.00;-30.04;20.70;-16.70;-18.20;-17.57;10.10;3.40
08:01:11;-18.10;-30.00;-30.01;20.70;-16.70;-18.20;-17.59;10.00;3.40
08:01:13;-18.10;-30.00;-30.00;20.70;-16.70;-18.20;-17.68;10.00;3.40
08:01:15;-18.10;-30.00;-30.00;20.70;-16.70;-18.20;-17.65;10.00;3.40
08:01:17;-18.10;-30.00;-30.00;20.70;-16.70;-18.20;-17.69;10.00;3.40
08:01:19;-18.10;-30.00;-30.00;20.70;-16.70;-18.30;-17.71;10.00;3.40
08:01:21;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.75;10.00;3.40
08:01:23;-18.10;-30.00;-30.00;20.70;-16.70;-18.30;-17.78;10.00;3.40
08:01:25;-18.10;-30.00;-29.99;20.70;-16.70;-18.20;-17.71;10.00;3.40
08:01:27;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.78;10.00;3.40
08:01:29;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.81;10.00;3.40
08:01:31;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.84;9.90;3.40
08:01:33;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.91;9.90;3.30
08:01:35;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.92;9.90;3.40
08:01:37;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.91;9.90;3.40
08:01:39;-18.10;-30.00;-29.99;20.70;-16.80;-18.30;-17.89;9.90;3.40
08:01:41;-18.10;-30.00;-29.98;20.70;-16.80;-18.30;-17.96;9.90;3.40
08:01:43;-18.10;-30.00;-29.97;20.70;-16.80;-18.30;-17.95;9.90;3.40
08:01:45;-18.10;-30.00;-29.97;20.70;-16.90;-18.30;-17.99;9.90;3.40
08:01:47;-18.10;-30.00;-29.98;20.70;-16.90;-18.30;-17.99;9.80;3.40
08:01:49;-18.10;-30.00;-29.98;20.70;-16.90;-18.30;-17.99;9.80;3.50
08:01:51;-18.10;-30.00;-29.97;20.70;-16.90;-18.30;-17.96;9.80;3.50
08:01:53;-18.10;-30.00;-29.95;20.70;-16.90;-18.30;-17.97;9.80;3.50
08:01:55;-18.10;-30.00;-29.95;20.70;-16.90;-18.30;-17.96;9.80;3.40
08:01:57;-18.10;-30.00;-29.95;20.70;-16.90;-18.30;-17.99;9.80;3.40
08:01:59;-18.10;-30.00;-29.96;20.70;-16.90;-18.30;-17.98;9.80;3.40
08:02:01;-18.10;-30.00;-29.97;20.70;-16.90;-18.30;-17.99;9.80;3.40
08:02:03;-18.10;-30.00;-29.96;20.70;-16.90;-18.30;-18.01;9.80;3.40
08:02:05;-18.10;-30.00;-29.95;20.60;-16.90;-18.30;-18.00;9.80;3.50
08:02:07;-18.10;-30.00;-29.93;20.60;-16.90;-18.30;-18.03;9.80;3.40
08:02:09;-18.10;-30.00;-29.94;20.60;-16.90;-18.30;-18.04;9.80;3.40
08:02:11;-18.10;-30.00;-29.95;20.60;-16.90;-18.30;-18.02;9.80;3.40
08:02:13;-18.10;-30.00;-29.96;20.60;-17.00;-18.30;-18.02;9.80;3.50
08:02:15;-18.10;-30.00;-29.97;20.60;-17.00;-18.30;-18.03;9.70;3.50
08:02:17;-18.10;-30.00;-29.97;20.60;-16.90;-18.40;-17.99;9.70;3.50
08:02:19;-18.10;-30.00;-29.98;20.60;-17.00;-18.40;-18.03;9.70;3.40
08:02:21;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-18.00;9.70;3.40
08:02:23;-18.10;-30.00;-29.98;20.60;-17.00;-18.40;-18.02;9.70;3.40
08:02:25;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-18.01;9.70;3.40
08:02:27;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-18.02;9.70;3.50
08:02:29;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-18.00;9.70;3.50
08:02:31;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-17.99;9.70;3.40
08:02:33;-18.10;-30.00;-29.99;20.60;-17.00;-18.40;-17.95;9.70;3.40
08:02:35;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.96;9.70;3.50
08:02:37;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.94;9.60;3.40
08:02:39;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.90;9.70;3.50
08:02:41;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.89;9.70;3.50
08:02:43;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.89;9.60;3.50
08:02:45;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.88;9.70;3.50
08:02:47;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.85;9.70;3.50
08:02:49;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.85;9.60;3.50
08:02:51;-18.10;-30.00;-29.97;20.60;-17.10;-18.30;-17.83;9.60;3.50
08:02:53;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.76;9.60;3.50
08:02:55;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.79;9.60;3.50
08:02:57;-18.10;-30.00;-30.00;20.60;-17.10;-18.30;-17.80;9.60;3.50
08:02:59;-18.10;-30.00;-30.00;20.60;-17.10;-18.40;-17.75;9.60;3.50
08:03:01;-18.10;-30.00;-29.99;20.60;-17.10;-18.40;-17.76;9.60;3.50
08:03:03;-18.10;-30.00;-30.00;20.60;-17.10;-18.40;-17.73;9.60;3.50
08:03:05;-18.10;-30.00;-30.00;20.60;-17.10;-18.40;-17.74;9.60;3.50
08:03:07;-18.10;-30.00;-29.96;20.60;-17.10;-18.40;-17.74;9.50;3.40
08:03:09;-18.10;-30.00;-29.95;20.60;-17.10;-18.40;-17.76;9.50;3.50
08:03:11;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.81;9.50;3.50
08:03:13;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.85;9.50;3.40
08:03:15;-18.10;-30.00;-29.96;20.60;-17.10;-18.40;-17.84;9.50;3.50
08:03:17;-18.10;-30.00;-29.98;20.60;-17.10;-18.40;-17.88;9.50;3.40
08:03:19;-18.10;-30.00;-30.00;20.60;-17.10;-18.40;-17.83;9.50;3.50
08:03:21;-18.10;-30.00;-30.01;20.60;-17.10;-18.30;-17.87;9.40;3.50
08:03:23;-18.10;-30.00;-30.02;20.60;-17.10;-18.30;-17.90;9.40;3.50
08:03:25;-18.10;-30.00;-30.02;20.60;-17.10;-18.30;-17.90;9.40;3.50
08:03:27;-18.10;-30.00;-30.03;20.60;-17.10;-18.30;-17.88;9.50;3.50
08:03:29;-18.10;-30.00;-30.03;20.60;-17.10;-18.30;-17.87;9.50;3.50
08:03:31;-18.10;-30.00;-30.03;20.60;-17.10;-18.30;-17.90;9.40;3.60
08:03:33;-18.10;-30.00;-30.02;20.60;-17.10;-18.30;-17.83;9.40;3.50
08:03:35;-18.10;-30.00;-30.02;20.50;-17.10;-18.30;-17.83;9.40;3.50
08:03:37;-18.10;-30.00;-30.03;20.60;-17.10;-18.30;-17.87;9.40;3.50
08:03:39;-18.10;-30.00;-30.03;20.50;-17.10;-18.30;-17.95;9.40;3.50
08:03:41;-18.10;-30.00;-30.03;20.50;-17.10;-18.30;-17.95;9.40;3.50
08:03:43;-18.10;-30.00;-30.01;20.50;-17.10;-18.30;-17.97;9.40;3.50
08:03:45;-18.10;-30.00;-30.02;20.50;-17.10;-18.30;-18.00;9.40;3.50
08:03:47;-18.10;-30.00;-30.03;20.50;-17.10;-18.30;-18.02;9.40;3.50
08:03:49;-18.10;-30.00;-30.04;20.50;-17.10;-18.30;-18.04;9.30;3.50
08:03:51;-18.10;-30.00;-30.05;20.50;-17.10;-18.30;-18.02;9.30;3.50
08:03:53;-18.10;-30.00;-30.05;20.50;-17.10;-18.30;-18.03;9.30;3.50
08:03:55;-18.10;-30.00;-30.03;20.50;-17.10;-18.30;-18.08;9.30;3.50
08:03:57;-18.10;-30.00;-30.02;20.50;-17.10;-18.30;-18.10;9.30;3.50
