time (08.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:20:58;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.69;15.50;4.10
13:21:00;-18.10;-30.00;-30.07;17.70;-18.10;-18.10;-17.69;15.40;4.10
13:21:02;-18.10;-30.00;-30.07;17.70;-18.10;-18.10;-17.69;15.40;4.10
13:21:04;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.69;15.40;4.10
13:21:06;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.69;15.40;4.10
13:21:08;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.68;15.30;4.10
13:21:10;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.68;15.30;4.10
13:21:12;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.67;15.30;4.10
13:21:14;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.67;15.30;4.10
13:21:16;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.66;15.30;4.10
13:21:19;-18.10;-30.00;-30.09;17.70;-18.10;-18.00;-17.66;15.30;4.10
13:21:20;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.66;15.20;4.10
13:21:22;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.66;15.20;4.10
13:21:24;-18.10;-30.00;-30.09;17.70;-18.10;-18.00;-17.65;15.20;4.10
13:21:26;-18.10;-30.00;-30.08;17.70;-18.10;-18.10;-17.64;15.20;4.10
13:21:28;-18.10;-30.00;-30.09;17.70;-18.10;-18.00;-17.64;15.10;4.10
13:21:30;-18.10;-30.00;-30.10;17.70;-18.10;-18.00;-17.64;15.10;4.10
13:21:32;-18.10;-30.00;-30.10;17.70;-18.10;-18.00;-17.64;15.10;4.10
13:21:35;-18.10;-30.00;-30.09;17.70;-18.10;-18.00;-17.62;15.10;4.10
13:21:37;-18.10;-30.00;-30.09;17.70;-18.10;-18.00;-17.62;15.10;4.10
13:21:38;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.62;15.00;4.10
13:21:40;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.63;15.00;4.00
13:21:43;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.62;15.10;4.10
13:21:45;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.63;15.00;4.10
13:21:47;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.63;15.00;4.10
13:21:49;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.63;15.00;4.00
13:21:51;-18.10;-30.00;-30.09;17.70;-18.00;-18.00;-17.63;15.00;4.00
13:21:53;-18.10;-30.00;-30.08;17.70;-18.00;-18.00;-17.63;14.90;4.10
13:21:54;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.63;14.90;4.00
13:21:57;-18.10;-30.00;-30.09;17.70;-17.90;-18.00;-17.63;14.90;4.10
13:21:59;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.63;14.90;4.00
13:22:01;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.63;14.80;4.00
13:22:03;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.63;14.80;4.10
13:22:05;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.62;14.80;4.10
13:22:07;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.64;14.80;4.00
13:22:09;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.64;14.80;4.10
13:22:11;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.64;14.80;4.00
13:22:13;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.63;14.80;4.10
13:22:15;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.63;14.70;4.10
13:22:17;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.64;14.70;4.10
13:22:19;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.63;14.70;4.10
13:22:21;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.70;4.00
13:22:23;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.63;14.70;4.10
13:22:25;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.63;14.60;4.00
13:22:27;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.64;14.60;4.10
13:22:29;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.60;4.00
13:22:31;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.60;4.00
13:22:33;-18.10;-30.00;-30.05;17.70;-17.90;-18.00;-17.65;14.50;4.10
13:22:35;-18.10;-30.00;-30.05;17.70;-17.90;-18.00;-17.65;14.50;4.10
13:22:37;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.50;4.10
13:22:39;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.65;14.50;4.10
13:22:41;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.50;4.10
13:22:43;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.40;4.10
13:22:45;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.65;14.40;4.10
13:22:47;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.64;14.40;4.10
13:22:49;-18.10;-30.00;-30.05;17.70;-17.90;-18.00;-17.64;14.30;4.10
13:22:51;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.65;14.40;4.00
13:22:53;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.65;14.30;4.00
13:22:55;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.65;14.30;4.00
13:22:57;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.66;14.30;4.00
13:22:59;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.66;14.30;4.00
13:23:01;-18.10;-30.00;-30.07;17.70;-17.90;-18.00;-17.67;14.30;4.00
13:23:03;-18.10;-30.00;-30.06;17.60;-17.90;-18.00;-17.66;14.20;4.00
13:23:05;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.67;14.20;4.00
13:23:07;-18.10;-30.00;-30.05;17.70;-17.90;-18.00;-17.67;14.20;4.00
13:23:09;-18.10;-30.00;-30.05;17.60;-17.90;-18.00;-17.67;14.20;4.00
13:23:11;-18.10;-30.00;-30.06;17.70;-17.90;-18.00;-17.68;14.20;4.10
13:23:13;-18.10;-30.00;-30.06;17.60;-17.90;-18.00;-17.68;14.20;4.00
13:23:15;-18.10;-30.00;-30.06;17.60;-17.90;-18.00;-17.68;14.20;4.00
13:23:17;-18.10;-30.00;-30.05;17.60;-17.90;-18.00;-17.68;14.10;4.00
13:23:19;-18.10;-30.00;-30.07;17.60;-17.90;-18.00;-17.67;14.10;4.00
13:23:21;-18.10;-30.00;-30.08;17.70;-17.90;-18.00;-17.68;14.10;4.00
13:23:23;-18.10;-30.00;-30.09;17.70;-17.80;-18.00;-17.69;14.10;4.00
13:23:25;-18.10;-30.00;-30.08;17.60;-17.90;-18.00;-17.69;14.00;4.00
13:23:27;-18.10;-30.00;-30.07;17.60;-17.90;-18.00;-17.69;14.00;4.00
13:23:29;-18.10;-30.00;-30.07;17.60;-17.90;-18.10;-17.70;14.00;4.00
13:23:31;-18.10;-30.00;-30.07;17.60;-17.90;-18.10;-17.70;14.00;4.00
13:23:33;-18.10;-30.00;-30.07;17.60;-17.90;-18.10;-17.70;14.00;4.00
13:23:35;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.69;14.00;4.00
13:23:37;-18.10;-30.00;-30.06;17.60;-17.80;-18.00;-17.70;14.00;4.00
13:23:39;-18.10;-30.00;-30.05;17.70;-17.90;-18.00;-17.70;14.00;4.00
13:23:41;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.71;14.00;4.00
13:23:43;-18.10;-30.00;-30.05;17.60;-17.90;-18.00;-17.70;13.90;4.00
13:23:45;-18.10;-30.00;-30.05;17.60;-17.90;-18.00;-17.71;13.90;4.00
13:23:47;-18.10;-30.00;-30.05;17.60;-17.90;-18.00;-17.71;13.90;4.00
13:23:49;-18.10;-30.00;-30.06;17.60;-17.80;-18.00;-17.71;13.90;4.00
13:23:51;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.72;13.90;4.00
13:23:53;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.72;13.90;4.00
13:23:55;-18.10;-30.00;-30.05;17.60;-17.80;-18.00;-17.73;13.80;4.00
13:23:57;-18.10;-30.00;-30.05;17.60;-17.80;-18.00;-17.73;13.80;4.00
13:23:59;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.73;13.70;4.00
13:24:01;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.73;13.70;4.00
13:24:03;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.74;13.70;4.00
13:24:05;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.74;13.70;4.00
13:24:07;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.74;13.70;4.00
13:24:09;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.75;13.70;4.00
13:24:11;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.75;13.60;4.00
13:24:13;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.75;13.70;4.00
13:24:15;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.74;13.70;4.00
13:24:17;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.75;13.60;4.00
13:24:19;-18.10;-30.00;-30.03;17.60;-17.90;-18.10;-17.76;13.60;4.00
13:24:21;-18.10;-30.00;-30.02;17.60;-17.90;-18.10;-17.76;13.60;4.00
13:24:23;-18.10;-30.00;-30.03;17.60;-17.80;-18.10;-17.75;13.60;4.00
13:24:25;-18.10;-30.00;-30.03;17.60;-17.80;-18.10;-17.75;13.50;4.00
13:24:27;-18.10;-30.00;-30.03;17.60;-17.80;-18.10;-17.76;13.50;4.00
13:24:29;-18.10;-30.00;-30.03;17.60;-17.90;-18.10;-17.76;13.50;4.00
13:24:31;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.76;13.50;4.00
13:24:33;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.76;13.50;4.00
13:24:35;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.76;13.50;4.00
13:24:37;-18.10;-30.00;-30.05;17.60;-17.90;-18.10;-17.76;13.40;4.00
13:24:39;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.76;13.40;4.00
13:24:41;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.76;13.40;4.00
13:24:43;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.75;13.40;4.00
13:24:45;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.76;13.40;4.00
13:24:47;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.76;13.30;4.00
13:24:49;-18.10;-30.00;-30.05;17.60;-17.90;-18.10;-17.76;13.30;4.00
13:24:51;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.77;13.20;4.00
13:24:53;-18.10;-30.00;-30.06;17.60;-17.90;-18.10;-17.77;13.20;4.00
13:24:55;-18.10;-30.00;-30.07;17.60;-17.80;-18.10;-17.77;13.20;4.00
13:24:57;-18.10;-30.00;-30.06;17.60;-17.80;-18.10;-17.77;13.20;4.00
13:24:59;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.77;13.20;4.00
13:25:01;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.78;13.20;4.00
13:25:03;-18.10;-30.00;-30.05;17.60;-17.80;-18.10;-17.78;13.20;4.00
13:25:05;-18.10;-30.00;-30.05;17.60;-17.90;-18.10;-17.79;13.10;4.00
13:25:07;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.79;13.10;4.00
13:25:09;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.79;13.10;4.00
13:25:11;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.80;13.10;4.00
13:25:13;-18.10;-30.00;-30.03;17.60;-17.80;-18.10;-17.79;13.10;4.00
13:25:15;-18.10;-30.00;-30.04;17.60;-17.80;-18.20;-17.79;13.10;4.00
13:25:17;-18.10;-30.00;-30.03;17.60;-17.90;-18.10;-17.79;13.00;4.00
13:25:19;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.78;13.00;3.90
13:25:21;-18.10;-30.00;-30.02;17.60;-17.80;-18.10;-17.79;13.00;4.00
13:25:23;-18.10;-30.00;-30.02;17.60;-17.80;-18.10;-17.79;13.00;4.00
13:25:25;-18.10;-30.00;-30.03;17.60;-17.90;-18.10;-17.79;13.00;4.00
13:25:27;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.79;13.00;4.00
13:25:29;-18.10;-30.00;-30.04;17.60;-17.90;-18.10;-17.80;13.00;4.00
13:25:31;-18.10;-30.00;-30.04;17.60;-17.80;-18.10;-17.80;13.00;4.00
13:25:33;-18.10;-30.00;-30.02;17.60;-17.80;-18.10;-17.81;12.90;4.00
13:25:35;-18.10;-30.00;-30.02;17.60;-17.80;-18.10;-17.81;12.90;4.00
13:25:37;-18.10;-30.00;-30.03;17.60;-17.80;-18.20;-17.81;13.00;4.00
