time (12.01.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:56:03;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.91;9.00;4.60
14:56:05;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.91;9.00;4.60
14:56:07;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;9.00;4.60
14:56:09;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;9.00;4.60
14:56:11;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.91;8.90;4.60
14:56:13;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.90;4.70
14:56:15;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.80;4.60
14:56:17;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.90;8.80;4.60
14:56:19;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.89;8.80;4.60
14:56:21;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.70;4.60
14:56:24;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.70;4.60
14:56:25;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.91;8.70;4.60
14:56:27;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.70;4.70
14:56:29;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.80;4.60
14:56:31;-18.10;-30.00;-29.99;18.70;-18.50;-18.20;-20.92;8.70;4.70
14:56:33;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.93;8.70;4.60
14:56:35;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.93;8.80;4.60
14:56:37;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.80;4.60
14:56:39;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.70;4.60
14:56:41;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.70;4.60
14:56:44;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.80;4.60
14:56:45;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.80;4.60
14:56:47;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.89;8.80;4.60
14:56:49;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.90;8.90;4.60
14:56:51;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.90;4.60
14:56:53;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.90;8.80;4.70
14:56:55;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.91;8.70;4.60
14:56:57;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.70;4.60
14:57:00;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.92;8.70;4.60
14:57:01;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.70;4.60
14:57:03;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.92;8.60;4.60
14:57:05;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.60;4.60
14:57:08;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.92;8.60;4.60
14:57:09;-18.10;-30.00;-29.99;18.70;-18.50;-18.20;-20.92;8.60;4.60
14:57:11;-18.10;-30.00;-29.98;18.70;-18.50;-18.10;-20.92;8.60;4.60
14:57:13;-18.10;-30.00;-29.98;18.70;-18.50;-18.10;-20.92;8.60;4.60
14:57:15;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.60;4.60
14:57:17;-18.10;-30.00;-30.00;18.70;-18.50;-18.20;-20.92;8.60;4.60
14:57:20;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.92;8.60;4.60
14:57:22;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.91;8.60;4.60
14:57:24;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.91;8.60;4.60
14:57:25;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.92;8.60;4.60
14:57:27;-18.10;-30.00;-30.02;18.70;-18.50;-18.20;-20.92;8.50;4.60
14:57:29;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.50;4.60
14:57:32;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.92;8.50;4.60
14:57:33;-18.10;-30.00;-30.00;18.70;-18.50;-18.20;-20.91;8.50;4.60
14:57:35;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.91;8.50;4.60
14:57:37;-18.10;-30.00;-30.00;18.70;-18.50;-18.20;-20.91;8.50;4.60
14:57:40;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.50;4.60
14:57:41;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.50;4.60
14:57:44;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:57:45;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:57:47;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:57:49;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.90;8.50;4.60
14:57:51;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:57:53;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:57:56;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.89;8.40;4.50
14:57:58;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.89;8.30;4.50
14:58:00;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.89;8.30;4.60
14:58:02;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.90;8.30;4.60
14:58:04;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.40;4.60
14:58:06;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.40;4.60
14:58:08;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.90;8.40;4.60
14:58:10;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:12;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:14;-18.10;-30.00;-30.01;18.70;-18.50;-18.10;-20.89;8.40;4.60
14:58:16;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.89;8.40;4.60
14:58:18;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:20;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:22;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:24;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.40;4.60
14:58:26;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.40;4.60
14:58:28;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.90;8.40;4.60
14:58:30;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.90;8.30;4.60
14:58:32;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.90;8.30;4.60
14:58:34;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.92;8.30;4.60
14:58:36;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.91;8.30;4.60
14:58:38;-18.10;-30.00;-29.99;18.70;-18.50;-18.10;-20.90;8.30;4.60
14:58:40;-18.10;-30.00;-29.99;18.70;-18.50;-18.20;-20.89;8.30;4.60
14:58:42;-18.10;-30.00;-30.01;18.70;-18.50;-18.20;-20.90;8.30;4.60
14:58:44;-18.10;-30.00;-30.03;18.60;-18.50;-18.20;-20.89;8.30;4.60
14:58:46;-18.10;-30.00;-30.03;18.70;-18.50;-18.10;-20.88;8.30;4.60
14:58:48;-18.10;-30.00;-30.03;18.60;-18.50;-18.10;-20.89;8.30;4.60
14:58:50;-18.10;-30.00;-30.00;18.70;-18.50;-18.10;-20.89;8.30;4.60
14:58:52;-18.10;-30.00;-29.96;18.60;-18.50;-18.10;-20.89;8.30;4.60
14:58:54;-18.10;-30.00;-29.97;18.60;-18.50;-18.10;-20.90;8.20;4.60
14:58:56;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.30;4.50
14:58:58;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:00;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:02;-18.10;-30.00;-30.02;18.60;-18.50;-18.20;-20.88;8.20;4.60
14:59:04;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.89;8.20;4.60
14:59:06;-18.10;-30.00;-30.01;18.60;-18.50;-18.20;-20.88;8.30;4.60
14:59:08;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.89;8.30;4.60
14:59:10;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.30;4.60
14:59:12;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.30;4.60
14:59:14;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.20;4.70
14:59:16;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.20;4.60
14:59:18;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.20;4.60
14:59:20;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.20;4.60
14:59:22;-18.10;-30.00;-29.97;18.60;-18.50;-18.10;-20.89;8.20;4.60
14:59:24;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.89;8.20;4.60
14:59:26;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.90;8.20;4.70
14:59:28;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.20;4.60
14:59:30;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.89;8.10;4.60
14:59:32;-18.10;-30.00;-30.03;18.60;-18.50;-18.10;-20.89;8.10;4.60
14:59:34;-18.10;-30.00;-30.03;18.60;-18.50;-18.10;-20.89;8.10;4.60
14:59:36;-18.10;-30.00;-30.03;18.60;-18.50;-18.10;-20.88;8.10;4.60
14:59:38;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.10;4.60
14:59:40;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.87;8.00;4.60
14:59:42;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.10;4.60
14:59:44;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.10;4.60
14:59:46;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:48;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:50;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:52;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;8.20;4.60
14:59:54;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.88;8.20;4.60
14:59:56;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;8.10;4.60
14:59:58;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;8.10;4.60
15:00:00;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.89;8.10;4.60
15:00:02;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.00;4.60
15:00:04;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:06;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:08;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.00;4.50
15:00:10;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:12;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.00;4.60
15:00:14;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:16;-18.10;-30.00;-29.96;18.60;-18.50;-18.10;-20.90;7.90;4.60
15:00:18;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.90;7.90;4.60
15:00:20;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;7.90;4.60
15:00:22;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:24;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:26;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:00:28;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:00:30;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.10;4.50
15:00:32;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.10;4.60
15:00:34;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.10;4.60
15:00:36;-18.10;-30.00;-29.99;18.60;-18.50;-18.20;-20.90;8.20;4.60
15:00:38;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.90;8.10;4.50
15:00:40;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.90;8.10;4.60
15:00:42;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.10;4.60
15:00:44;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.10;4.60
15:00:46;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;8.10;4.60
15:00:48;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.86;8.10;4.60
15:00:50;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;8.10;4.60
15:00:52;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;8.10;4.60
15:00:54;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.10;4.60
15:00:56;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.10;4.60
15:00:58;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.10;4.60
15:01:00;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.90;8.00;4.60
15:01:02;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.90;8.00;4.60
15:01:04;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:01:06;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:08;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.89;8.00;4.50
15:01:10;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:12;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:14;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:16;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:01:18;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:20;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:22;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:24;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:26;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:28;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:30;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:32;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;8.00;4.60
15:01:34;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:36;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;8.00;4.60
15:01:38;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.87;8.00;4.60
15:01:40;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:42;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;8.00;4.50
15:01:44;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:01:46;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:01:48;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:50;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:52;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:54;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:01:56;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:01:58;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.89;7.90;4.50
15:02:00;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;7.90;4.50
15:02:02;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;7.90;4.50
15:02:04;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:02:06;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.86;7.90;4.60
15:02:08;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:02:10;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:02:12;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.86;7.90;4.50
15:02:14;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:02:16;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:02:18;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.90;4.50
15:02:20;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:02:22;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.88;7.90;4.50
15:02:24;-18.10;-30.00;-29.98;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:02:26;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:02:28;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:02:30;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:02:32;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:02:34;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.80;4.60
15:02:36;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.80;4.60
15:02:38;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.80;4.50
15:02:40;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:02:42;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;8.00;4.60
15:02:44;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.86;8.00;4.50
15:02:46;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.86;8.00;4.60
15:02:48;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.86;8.00;4.60
15:02:50;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;8.00;4.60
15:02:52;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;8.00;4.50
15:02:54;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;8.00;4.60
15:02:56;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;8.00;4.50
15:02:58;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.86;8.00;4.60
15:03:00;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.87;8.00;4.50
15:03:02;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;8.00;4.50
15:03:04;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:03:06;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.86;7.90;4.60
15:03:08;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:03:10;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.86;7.90;4.50
15:03:12;-18.10;-30.00;-30.02;18.60;-18.50;-18.10;-20.87;7.90;4.60
15:03:14;-18.10;-30.00;-30.01;18.60;-18.50;-18.10;-20.87;7.90;4.50
15:03:16;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.90;4.60
15:03:18;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.80;4.50
15:03:20;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.89;7.80;4.60
15:03:22;-18.10;-30.00;-30.00;18.50;-18.50;-18.10;-20.88;7.80;4.60
15:03:24;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.80;4.60
15:03:26;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.88;7.80;4.50
15:03:28;-18.10;-30.00;-29.99;18.60;-18.50;-18.10;-20.89;7.80;4.50
15:03:30;-18.10;-30.00;-30.00;18.60;-18.50;-18.10;-20.88;7.80;4.50
