time (27.01.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:17:53;-18.10;-30.00;-30.01;19.30;-18.10;-18.10;-20.42;11.60;4.00
10:17:55;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.42;11.70;4.00
10:17:57;-18.10;-30.00;-30.00;19.30;-18.20;-18.10;-20.42;11.70;4.00
10:17:59;-18.10;-30.00;-29.99;19.30;-18.20;-18.10;-20.42;11.70;4.00
10:18:01;-18.10;-30.00;-29.99;19.30;-18.20;-18.20;-20.43;11.60;4.00
10:18:03;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.43;11.60;4.00
10:18:05;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.44;11.60;4.00
10:18:07;-18.10;-30.00;-29.98;19.20;-18.20;-18.10;-20.44;11.60;4.00
10:18:09;-18.10;-30.00;-29.99;19.30;-18.20;-18.10;-20.44;11.50;4.00
10:18:11;-18.10;-30.00;-30.00;19.30;-18.20;-18.10;-20.44;11.50;4.00
10:18:13;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.43;11.60;4.00
10:18:15;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.43;11.50;4.00
10:18:17;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.44;11.50;4.00
10:18:19;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.44;11.40;4.00
10:18:21;-18.10;-30.00;-30.02;19.30;-18.20;-18.10;-20.44;11.40;4.00
10:18:23;-18.10;-30.00;-30.02;19.30;-18.20;-18.10;-20.44;11.40;4.00
10:18:25;-18.10;-30.00;-30.00;19.30;-18.20;-18.10;-20.44;11.50;4.00
10:18:27;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.44;11.50;4.00
10:18:29;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.44;11.50;4.00
10:18:31;-18.10;-30.00;-29.97;19.30;-18.20;-18.20;-20.45;11.40;4.00
10:18:33;-18.10;-30.00;-29.97;19.20;-18.20;-18.20;-20.44;11.40;4.00
10:18:35;-18.10;-30.00;-29.98;19.30;-18.20;-18.10;-20.44;11.30;4.00
10:18:37;-18.10;-30.00;-29.99;19.30;-18.20;-18.10;-20.44;11.30;4.00
10:18:39;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.45;11.20;4.00
10:18:41;-18.10;-30.00;-30.00;19.30;-18.20;-18.10;-20.45;11.20;4.00
10:18:43;-18.10;-30.00;-30.00;19.30;-18.20;-18.20;-20.44;11.20;4.00
10:18:45;-18.10;-30.00;-30.01;19.30;-18.20;-18.10;-20.45;11.20;4.00
10:18:47;-18.10;-30.00;-30.02;19.30;-18.20;-18.20;-20.46;11.20;4.00
10:18:49;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.46;11.30;4.00
10:18:51;-18.10;-30.00;-30.02;19.30;-18.20;-18.20;-20.45;11.10;4.00
10:18:53;-18.10;-30.00;-30.02;19.30;-18.20;-18.20;-20.45;11.10;4.00
10:18:55;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.46;11.00;4.00
10:18:57;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.46;10.90;4.00
10:18:59;-18.10;-30.00;-29.95;19.30;-18.20;-18.20;-20.46;10.90;4.00
10:19:01;-18.10;-30.00;-29.97;19.20;-18.20;-18.20;-20.47;10.80;3.90
10:19:03;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.47;10.80;4.00
10:19:05;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.46;10.80;4.00
10:19:07;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.90;4.00
10:19:09;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.90;4.10
10:19:11;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.45;11.00;4.00
10:19:13;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.45;11.10;4.00
10:19:15;-18.10;-30.00;-30.03;19.20;-18.20;-18.20;-20.45;11.00;4.00
10:19:17;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.44;11.00;4.00
10:19:19;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.44;11.10;4.00
10:19:21;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;11.20;4.00
10:19:23;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;11.10;4.00
10:19:25;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;11.10;4.00
10:19:27;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;11.10;4.00
10:19:29;-18.10;-30.00;-29.96;19.30;-18.20;-18.20;-20.44;11.00;4.00
10:19:31;-18.10;-30.00;-29.95;19.20;-18.20;-18.20;-20.44;11.00;4.00
10:19:33;-18.10;-30.00;-29.98;19.20;-18.20;-18.10;-20.44;11.00;4.00
10:19:35;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;11.00;4.00
10:19:37;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;11.00;4.00
10:19:39;-18.10;-30.00;-30.02;19.30;-18.20;-18.20;-20.45;11.00;4.00
10:19:41;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.45;10.90;4.00
10:19:43;-18.10;-30.00;-30.01;19.30;-18.20;-18.20;-20.44;10.80;4.00
10:19:45;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.43;10.70;4.00
10:19:47;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.42;10.70;4.00
10:19:49;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.42;10.70;4.00
10:19:51;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.43;10.70;4.00
10:19:53;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.43;10.70;4.00
10:19:55;-18.10;-30.00;-29.99;19.20;-18.20;-18.10;-20.44;10.70;4.00
10:19:57;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.44;10.60;4.00
10:19:59;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.43;10.50;4.00
10:20:01;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.42;10.50;4.00
10:20:03;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.42;10.50;4.00
10:20:05;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.42;10.50;4.00
10:20:07;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.42;10.50;4.00
10:20:09;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.50;4.00
10:20:11;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.42;10.40;3.90
10:20:13;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.43;10.40;4.00
10:20:15;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.43;10.40;4.00
10:20:17;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.43;10.50;4.00
10:20:19;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.42;10.70;4.00
10:20:21;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.43;10.70;4.00
10:20:23;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.44;10.70;4.00
10:20:25;-18.10;-30.00;-30.04;19.20;-18.20;-18.20;-20.45;10.70;4.00
10:20:27;-18.10;-30.00;-30.04;19.20;-18.20;-18.20;-20.44;10.70;4.00
10:20:29;-18.10;-30.00;-30.04;19.20;-18.20;-18.20;-20.44;10.50;4.00
10:20:31;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.44;10.50;4.00
10:20:33;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.50;4.00
10:20:35;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.46;10.50;4.00
10:20:37;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.46;10.40;4.00
10:20:39;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.45;10.40;3.90
10:20:41;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.46;10.30;4.00
10:20:43;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;10.30;4.00
10:20:45;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.30;4.00
10:20:47;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;10.30;4.00
10:20:49;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.40;4.00
10:20:51;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.45;10.50;3.90
10:20:53;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.50;4.00
10:20:55;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.45;10.60;4.00
10:20:57;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.50;4.00
10:20:59;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.50;4.00
10:21:01;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.50;4.00
10:21:03;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.44;10.40;4.00
10:21:05;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.43;10.30;4.00
10:21:07;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.43;10.20;4.00
10:21:09;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.20;4.00
10:21:11;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.43;10.20;4.00
10:21:13;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.43;10.10;4.00
10:21:15;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.42;10.20;4.00
10:21:17;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.42;10.10;3.90
10:21:19;-18.10;-30.00;-29.97;19.20;-18.20;-18.20;-20.41;10.10;4.00
10:21:21;-18.10;-30.00;-29.98;19.20;-18.20;-18.10;-20.41;10.10;4.00
10:21:23;-18.10;-30.00;-29.99;19.20;-18.20;-18.10;-20.42;10.00;4.00
10:21:25;-18.10;-30.00;-29.99;19.20;-18.20;-18.10;-20.42;10.00;4.00
10:21:27;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.41;10.00;4.00
10:21:29;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.41;10.00;4.00
10:21:31;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.40;10.00;4.00
10:21:33;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.41;10.10;4.00
10:21:35;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.40;10.20;4.00
10:21:37;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.40;10.30;4.00
10:21:39;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.41;10.30;4.00
10:21:41;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.42;10.40;4.00
10:21:43;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.42;10.40;4.00
10:21:45;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.41;10.40;4.00
10:21:47;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.40;4.00
10:21:49;-18.10;-30.00;-30.03;19.20;-18.20;-18.10;-20.42;10.30;4.00
10:21:51;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.20;4.00
10:21:53;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.20;4.00
10:21:55;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.42;10.20;3.90
10:21:57;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.43;10.20;3.90
10:21:59;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.44;10.20;4.00
10:22:01;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.44;10.10;4.00
10:22:03;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;10.10;4.00
10:22:05;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.45;10.10;4.00
10:22:07;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.00;4.00
10:22:09;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.00;4.00
10:22:11;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.44;10.00;4.00
10:22:13;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.43;10.00;4.00
10:22:15;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.44;10.00;4.00
10:22:17;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.45;10.00;4.00
10:22:19;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.45;10.00;4.00
10:22:21;-18.10;-30.00;-29.99;19.20;-18.20;-18.20;-20.44;10.10;4.00
10:22:23;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.43;10.00;4.00
10:22:25;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.43;10.00;4.00
10:22:27;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.43;10.00;4.00
10:22:29;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.43;10.00;3.90
10:22:31;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.42;9.90;3.90
10:22:33;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.42;9.80;4.00
10:22:35;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.42;9.80;4.00
10:22:37;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.42;9.70;3.90
10:22:39;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.42;9.70;4.00
10:22:41;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.41;9.70;4.00
10:22:43;-18.10;-30.00;-30.01;19.20;-18.20;-18.20;-20.41;9.70;3.90
10:22:45;-18.10;-30.00;-30.02;19.20;-18.20;-18.20;-20.41;9.70;4.00
10:22:47;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.41;9.70;4.00
10:22:49;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.41;9.60;3.90
10:22:51;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.40;9.60;4.00
10:22:53;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.39;9.60;3.90
10:22:55;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.40;9.60;3.90
10:22:57;-18.10;-30.00;-29.99;19.20;-18.20;-18.10;-20.41;9.60;4.00
10:22:59;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.41;9.70;4.00
10:23:01;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.40;9.70;4.00
10:23:03;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.39;9.70;4.00
10:23:05;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.40;9.70;4.00
10:23:07;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.39;9.70;4.00
10:23:09;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.39;9.60;4.00
10:23:11;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.40;9.60;4.00
10:23:13;-18.10;-30.00;-30.02;19.20;-18.20;-18.10;-20.40;9.50;4.00
10:23:15;-18.10;-30.00;-30.01;19.20;-18.20;-18.10;-20.41;9.50;4.00
10:23:17;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.40;9.60;4.00
10:23:19;-18.10;-30.00;-30.00;19.20;-18.20;-18.20;-20.41;9.60;4.00
10:23:21;-18.10;-30.00;-29.99;19.20;-18.20;-18.10;-20.40;9.70;4.00
10:23:23;-18.10;-30.00;-30.00;19.20;-18.20;-18.10;-20.40;9.70;4.00
