time (27.02.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:47:52;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.13;11.50;4.20
11:47:54;-18.10;-30.00;-29.99;19.10;-18.20;-18.10;-16.12;11.50;4.10
11:47:56;-18.10;-30.00;-29.97;19.10;-18.20;-18.10;-16.14;11.40;4.10
11:47:58;-18.10;-30.00;-29.98;19.10;-18.20;-18.10;-16.14;11.40;4.20
11:48:00;-18.10;-30.00;-29.98;19.10;-18.20;-18.10;-16.16;11.30;4.10
11:48:02;-18.10;-30.00;-29.98;19.10;-18.20;-18.10;-16.17;11.40;4.10
11:48:04;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.18;11.40;4.10
11:48:06;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.20;11.50;4.20
11:48:08;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.17;11.50;4.10
11:48:10;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.17;11.50;4.10
11:48:12;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.19;11.40;4.10
11:48:14;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.18;11.40;4.10
11:48:16;-18.10;-30.00;-30.00;19.10;-18.20;-18.10;-16.20;11.40;4.10
11:48:18;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.20;11.30;4.10
11:48:20;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.20;11.20;4.10
11:48:22;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.18;11.20;4.10
11:48:24;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.17;11.30;4.10
11:48:26;-18.10;-30.00;-30.03;19.10;-18.20;-18.10;-16.22;11.40;4.10
11:48:28;-18.10;-30.00;-30.04;19.10;-18.20;-18.10;-16.20;11.40;4.10
11:48:30;-18.10;-30.00;-30.03;19.10;-18.20;-18.10;-16.17;11.50;4.10
11:48:32;-18.10;-30.00;-30.03;19.10;-18.20;-18.10;-16.17;11.50;4.20
11:48:34;-18.10;-30.00;-30.03;19.10;-18.20;-18.10;-16.16;11.50;4.10
11:48:36;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.20;11.50;4.20
11:48:38;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.16;11.60;4.20
11:48:40;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.17;11.60;4.10
11:48:42;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.15;11.60;4.10
11:48:44;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.19;11.60;4.10
11:48:46;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.17;11.60;4.10
11:48:48;-18.10;-30.00;-30.00;19.10;-18.20;-18.20;-16.18;11.70;4.20
11:48:50;-18.10;-30.00;-29.98;19.10;-18.20;-18.20;-16.20;11.70;4.10
11:48:52;-18.10;-30.00;-29.98;19.10;-18.20;-18.20;-16.22;11.60;4.20
11:48:54;-18.10;-30.00;-29.99;19.10;-18.20;-18.20;-16.21;11.50;4.10
11:48:56;-18.10;-30.00;-29.99;19.10;-18.20;-18.20;-16.19;11.50;4.20
11:48:58;-18.10;-30.00;-29.98;19.10;-18.20;-18.20;-16.20;11.50;4.10
11:49:00;-18.10;-30.00;-29.98;19.10;-18.20;-18.20;-16.20;11.50;4.10
11:49:02;-18.10;-30.00;-30.00;19.10;-18.20;-18.20;-16.19;11.50;4.10
11:49:04;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.19;11.50;4.10
11:49:06;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.18;11.60;4.10
11:49:08;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.17;11.60;4.20
11:49:10;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.16;11.60;4.10
11:49:12;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.15;11.60;4.10
11:49:14;-18.10;-30.00;-30.02;19.10;-18.20;-18.20;-16.16;11.60;4.10
11:49:16;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.17;11.50;4.20
11:49:18;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.16;11.40;4.20
11:49:20;-18.10;-30.00;-30.01;19.10;-18.20;-18.20;-16.15;11.40;4.20
11:49:22;-18.10;-30.00;-30.01;19.10;-18.20;-18.10;-16.13;11.40;4.10
11:49:24;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.13;11.30;4.10
11:49:26;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.13;11.40;4.10
11:49:28;-18.10;-30.00;-30.02;19.10;-18.20;-18.10;-16.13;11.40;4.10
