time (08.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:13:11;-18.10;-30.00;-30.02;20.50;-18.20;-18.10;-18.21;4.50;3.00
08:13:13;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.19;4.50;3.00
08:13:15;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.19;4.50;3.00
08:13:17;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.19;4.40;3.10
08:13:19;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.20;4.40;3.00
08:13:21;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.20;4.40;3.00
08:13:23;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.22;4.40;3.00
08:13:25;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.21;4.40;3.00
08:13:27;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.20;4.40;3.00
08:13:29;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.21;4.40;3.00
08:13:31;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.20;4.40;3.10
08:13:33;-18.10;-30.00;-29.97;20.50;-18.20;-18.10;-18.19;4.40;3.00
08:13:35;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.22;4.40;3.00
08:13:37;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.21;4.40;3.00
08:13:39;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.20;4.40;3.10
08:13:41;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.22;4.40;3.00
08:13:43;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.22;4.40;3.00
08:13:45;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.21;4.40;3.00
08:13:47;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.21;4.40;3.00
08:13:49;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.20;4.40;3.00
08:13:51;-18.10;-30.00;-30.02;20.50;-18.20;-18.10;-18.18;4.40;3.10
08:13:53;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.18;4.30;3.00
08:13:55;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.19;4.40;3.10
08:13:57;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.17;4.40;3.10
08:13:59;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.19;4.40;3.00
08:14:01;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.18;4.40;3.10
08:14:03;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.18;4.30;3.10
08:14:05;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.18;4.30;3.10
08:14:07;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.18;4.40;3.00
08:14:09;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.19;4.40;3.00
08:14:11;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.19;4.30;3.00
08:14:13;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.19;4.30;3.00
08:14:15;-18.10;-30.00;-29.98;20.50;-18.20;-18.10;-18.19;4.40;3.10
08:14:17;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.18;4.30;3.00
08:14:19;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.17;4.30;3.00
08:14:21;-18.10;-30.00;-29.99;20.50;-18.20;-18.10;-18.17;4.30;3.00
08:14:23;-18.10;-30.00;-30.00;20.50;-18.20;-18.10;-18.18;4.30;3.10
08:14:25;-18.10;-30.00;-30.01;20.50;-18.20;-18.10;-18.18;4.30;3.00
08:14:27;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.20;4.30;3.00
08:14:29;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.16;4.30;3.00
08:14:31;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.16;4.30;3.00
08:14:33;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.16;4.30;3.10
08:14:35;-18.10;-30.00;-30.01;20.40;-18.20;-18.10;-18.15;4.30;3.10
08:14:37;-18.10;-30.00;-30.02;20.50;-18.20;-18.20;-18.16;4.30;3.00
08:14:39;-18.10;-30.00;-30.01;20.40;-18.20;-18.10;-18.17;4.30;3.00
08:14:41;-18.10;-30.00;-30.01;20.40;-18.20;-18.10;-18.16;4.30;3.10
08:14:43;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.17;4.30;3.10
08:14:45;-18.10;-30.00;-30.01;20.40;-18.20;-18.10;-18.16;4.30;3.10
08:14:47;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.16;4.30;3.10
08:14:49;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.14;4.30;3.00
08:14:51;-18.10;-30.00;-30.01;20.40;-18.20;-18.10;-18.13;4.30;3.00
08:14:53;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.11;4.20;3.00
08:14:55;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.10;4.30;3.00
08:14:57;-18.10;-30.00;-30.03;20.40;-18.20;-18.10;-18.12;4.20;3.00
08:14:59;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.11;4.20;3.10
08:15:01;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.13;4.20;3.00
08:15:03;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.12;4.20;3.00
08:15:05;-18.10;-30.00;-30.02;20.40;-18.20;-18.10;-18.12;4.20;3.00
08:15:07;-18.10;-30.00;-30.00;20.40;-18.20;-18.10;-18.13;4.20;3.00
08:15:09;-18.10;-30.00;-29.98;20.40;-18.20;-18.10;-18.14;4.30;3.10
08:15:11;-18.10;-30.00;-29.99;20.40;-18.20;-18.10;-18.12;4.30;3.00
08:15:13;-18.10;-30.00;-29.98;20.40;-18.20;-18.10;-18.13;4.20;3.00
08:15:15;-18.10;-30.00;-29.99;20.40;-18.20;-18.10;-18.14;4.20;3.10
08:15:17;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.15;4.20;3.10
08:15:19;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.13;4.20;3.00
08:15:21;-18.10;-30.00;-30.00;20.30;-18.20;-18.10;-18.13;4.20;3.00
08:15:23;-18.10;-30.00;-29.99;20.30;-18.20;-18.10;-18.12;4.20;3.00
08:15:25;-18.10;-30.00;-29.99;20.30;-18.20;-18.10;-18.12;4.20;3.00
08:15:27;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.12;4.20;3.10
08:15:29;-18.10;-30.00;-30.01;20.30;-18.20;-18.20;-18.14;4.20;3.00
08:15:31;-18.10;-30.00;-29.96;20.30;-18.20;-18.20;-18.14;4.20;3.00
08:15:33;-18.10;-30.00;-29.97;20.30;-18.20;-18.20;-18.15;4.20;3.00
08:15:35;-18.10;-30.00;-29.96;20.30;-18.20;-18.20;-18.16;4.20;3.10
08:15:37;-18.10;-30.00;-29.97;20.30;-18.20;-18.20;-18.17;4.20;3.00
08:15:39;-18.10;-30.00;-30.00;20.30;-18.20;-18.20;-18.19;4.20;3.00
08:15:41;-18.10;-30.00;-30.00;20.30;-18.20;-18.20;-18.17;4.20;3.10
08:15:43;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.16;4.20;3.00
08:15:45;-18.10;-30.00;-30.00;20.30;-18.20;-18.10;-18.17;4.20;3.00
08:15:47;-18.10;-30.00;-30.00;20.30;-18.20;-18.10;-18.15;4.20;3.00
08:15:49;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.16;4.20;3.10
08:15:51;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.16;4.20;3.00
08:15:53;-18.10;-30.00;-29.99;20.30;-18.20;-18.10;-18.17;4.20;3.00
08:15:55;-18.10;-30.00;-29.99;20.30;-18.20;-18.10;-18.16;4.20;3.10
08:15:57;-18.10;-30.00;-30.00;20.30;-18.20;-18.10;-18.18;4.20;3.10
08:15:59;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.19;4.10;3.00
08:16:01;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.17;4.20;3.00
08:16:03;-18.10;-30.00;-30.01;20.30;-18.20;-18.10;-18.16;4.20;3.00
08:16:05;-18.10;-30.00;-30.02;20.30;-18.20;-18.20;-18.14;4.20;3.00
08:16:07;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.13;4.20;3.00
08:16:09;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.15;4.10;3.10
08:16:11;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.15;4.10;3.00
08:16:13;-18.10;-30.00;-30.02;20.30;-18.20;-18.10;-18.16;4.20;3.00
