time (28.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:35:27;-18.10;-30.00;-29.97;19.00;-18.70;-18.10;-14.72;11.00;4.90
11:35:29;-18.10;-30.00;-29.99;19.00;-18.70;-18.10;-14.74;11.00;4.90
11:35:31;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-14.77;11.00;4.90
11:35:33;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-14.78;10.90;4.80
11:35:35;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-14.76;10.90;4.80
11:35:37;-18.10;-30.00;-30.00;19.00;-18.70;-18.10;-14.73;10.90;4.80
11:35:39;-18.10;-30.00;-30.00;19.00;-18.70;-18.10;-14.83;10.80;4.90
11:35:41;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-14.76;10.90;4.90
11:35:43;-18.10;-30.00;-29.98;19.00;-18.60;-18.10;-14.78;10.80;4.90
11:35:45;-18.10;-30.00;-29.96;19.00;-18.70;-18.10;-14.83;10.90;4.90
11:35:47;-18.10;-30.00;-29.97;19.00;-18.70;-18.10;-14.81;11.10;4.90
11:35:49;-18.10;-30.00;-29.98;19.00;-18.60;-18.10;-14.86;11.10;4.90
11:35:51;-18.10;-30.00;-30.00;19.00;-18.70;-18.10;-14.82;11.10;4.90
11:35:53;-18.10;-30.00;-30.00;19.00;-18.70;-18.10;-14.86;11.00;4.90
11:35:55;-18.10;-30.00;-30.01;19.00;-18.70;-18.10;-14.93;11.00;4.90
11:35:57;-18.10;-30.00;-30.02;19.00;-18.70;-18.10;-14.94;11.00;4.90
11:35:59;-18.10;-30.00;-30.00;19.00;-18.70;-18.10;-14.88;10.90;4.90
11:36:01;-18.10;-30.00;-29.99;19.00;-18.70;-18.10;-14.84;10.90;4.90
11:36:03;-18.10;-30.00;-29.99;19.00;-18.70;-18.10;-14.88;10.90;4.90
11:36:05;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-14.88;11.00;4.90
