time (09.12.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:42:18;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.84;17.70;4.70
11:42:20;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.70;4.70
11:42:22;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.84;17.70;4.70
11:42:24;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.60;4.80
11:42:26;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.50;4.70
11:42:28;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.85;17.50;4.70
11:42:30;-18.10;-30.00;-30.06;18.80;-18.50;-18.00;-20.84;17.50;4.70
11:42:32;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.50;4.80
11:42:34;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.50;4.70
11:42:36;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.50;4.80
11:42:38;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.84;17.40;4.70
11:42:40;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.84;17.20;4.70
11:42:42;-18.10;-30.00;-30.09;18.80;-18.50;-18.00;-20.84;17.20;4.70
11:42:44;-18.10;-30.00;-30.10;18.80;-18.50;-18.00;-20.84;17.20;4.80
11:42:46;-18.10;-30.00;-30.10;18.80;-18.50;-18.00;-20.84;17.10;4.80
11:42:48;-18.10;-30.00;-30.10;18.80;-18.50;-18.00;-20.84;17.00;4.70
11:42:50;-18.10;-30.00;-30.09;18.80;-18.50;-18.00;-20.84;17.00;4.70
11:42:52;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.83;17.00;4.70
11:42:54;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.84;17.10;4.70
11:42:56;-18.10;-30.00;-30.08;18.80;-18.50;-18.00;-20.83;17.10;4.70
11:42:58;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.10;4.70
11:43:00;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.00;4.80
11:43:02;-18.10;-30.00;-30.07;18.80;-18.50;-18.00;-20.84;17.00;4.70
11:43:04;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;17.00;4.70
11:43:06;-18.10;-30.00;-30.06;18.80;-18.50;-18.00;-20.85;16.90;4.70
11:43:08;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.90;4.70
11:43:10;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.80;4.70
11:43:12;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.80;4.70
11:43:14;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.70;4.80
11:43:16;-18.10;-30.00;-30.07;18.80;-18.40;-18.00;-20.85;16.70;4.70
11:43:18;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.86;16.60;4.70
11:43:20;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.86;16.60;4.70
11:43:22;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.60;4.70
11:43:24;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.60;4.70
11:43:26;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.60;4.70
11:43:28;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.85;16.60;4.70
11:43:30;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.86;16.50;4.70
11:43:32;-18.10;-30.00;-30.07;18.80;-18.40;-18.00;-20.86;16.50;4.70
11:43:34;-18.10;-30.00;-30.08;18.80;-18.40;-18.00;-20.86;16.50;4.70
11:43:36;-18.10;-30.00;-30.08;18.80;-18.40;-18.00;-20.87;16.40;4.70
11:43:38;-18.10;-30.00;-30.08;18.80;-18.40;-18.00;-20.88;16.30;4.70
11:43:40;-18.10;-30.00;-30.07;18.80;-18.30;-18.00;-20.88;16.40;4.70
11:43:42;-18.10;-30.00;-30.07;18.80;-18.40;-18.00;-20.89;16.30;4.70
11:43:44;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.88;16.20;4.70
11:43:46;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.89;16.20;4.70
11:43:48;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.89;16.20;4.70
11:43:50;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.89;16.20;4.70
11:43:52;-18.10;-30.00;-30.05;18.80;-18.40;-18.00;-20.90;16.20;4.70
11:43:54;-18.10;-30.00;-30.05;18.80;-18.40;-18.00;-20.90;16.20;4.70
11:43:56;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.90;16.20;4.70
11:43:58;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.90;16.30;4.70
11:44:00;-18.10;-30.00;-30.06;18.80;-18.40;-18.00;-20.90;16.40;4.70
11:44:02;-18.10;-30.00;-30.04;18.80;-18.40;-18.00;-20.91;16.40;4.70
11:44:04;-18.10;-30.00;-30.05;18.80;-18.40;-18.00;-20.92;16.50;4.70
11:44:06;-18.10;-30.00;-30.04;18.80;-18.30;-18.00;-20.92;16.50;4.70
11:44:08;-18.10;-30.00;-30.03;18.80;-18.40;-18.00;-20.92;16.60;4.70
11:44:10;-18.10;-30.00;-30.03;18.80;-18.40;-18.00;-20.92;16.60;4.70
11:44:12;-18.10;-30.00;-30.04;18.80;-18.40;-18.00;-20.92;16.60;4.70
11:44:14;-18.10;-30.00;-30.05;18.80;-18.40;-18.10;-20.93;16.50;4.70
11:44:16;-18.10;-30.00;-30.05;18.80;-18.40;-18.00;-20.94;16.40;4.70
11:44:18;-18.10;-30.00;-30.04;18.80;-18.40;-18.10;-20.94;16.20;4.70
11:44:20;-18.10;-30.00;-30.03;18.80;-18.40;-18.10;-20.95;16.20;4.70
11:44:22;-18.10;-30.00;-30.04;18.80;-18.30;-18.10;-20.95;16.20;4.70
11:44:24;-18.10;-30.00;-30.03;18.80;-18.40;-18.10;-20.96;16.20;4.70
11:44:26;-18.10;-30.00;-30.03;18.80;-18.40;-18.10;-20.96;16.20;4.70
11:44:28;-18.10;-30.00;-30.03;18.80;-18.40;-18.10;-20.96;16.10;4.70
11:44:30;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-20.96;16.00;4.70
11:44:32;-18.10;-30.00;-30.00;18.80;-18.40;-18.10;-20.96;15.90;4.70
11:44:34;-18.10;-30.00;-30.02;18.70;-18.30;-18.10;-20.97;16.00;4.70
11:44:36;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-20.97;16.10;4.70
11:44:38;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-20.97;16.20;4.70
11:44:40;-18.10;-30.00;-30.01;18.70;-18.30;-18.10;-20.97;16.40;4.70
11:44:42;-18.10;-30.00;-30.01;18.70;-18.30;-18.10;-20.97;16.50;4.70
11:44:44;-18.10;-30.00;-30.04;18.70;-18.30;-18.10;-20.97;16.50;4.70
11:44:46;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-20.97;16.50;4.70
11:44:48;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-20.97;16.50;4.70
11:44:50;-18.10;-30.00;-30.07;18.80;-18.40;-18.10;-20.97;16.20;4.70
11:44:52;-18.10;-30.00;-30.07;18.70;-18.40;-18.10;-20.98;16.10;4.70
11:44:54;-18.10;-30.00;-30.07;18.70;-18.40;-18.10;-20.98;15.90;4.70
11:44:56;-18.10;-30.00;-30.07;18.70;-18.40;-18.10;-20.98;15.90;4.70
11:44:58;-18.10;-30.00;-30.07;18.70;-18.40;-18.10;-20.98;15.80;4.70
11:45:00;-18.10;-30.00;-30.06;18.70;-18.40;-18.20;-20.98;15.80;4.70
11:45:02;-18.10;-30.00;-30.07;18.70;-18.40;-18.20;-20.98;15.80;4.70
11:45:04;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-20.99;15.80;4.70
11:45:06;-18.10;-30.00;-30.05;18.70;-18.30;-18.20;-20.99;15.70;4.70
11:45:08;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-20.99;15.70;4.70
11:45:10;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-20.99;15.90;4.70
11:45:12;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-20.99;16.00;4.70
11:45:14;-18.10;-30.00;-30.04;18.70;-18.40;-18.10;-21.00;15.90;4.70
11:45:16;-18.10;-30.00;-30.01;18.70;-18.40;-18.10;-20.99;15.80;4.70
11:45:18;-18.10;-30.00;-30.01;18.70;-18.40;-18.10;-20.99;15.70;4.70
11:45:20;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-20.99;15.70;4.70
11:45:22;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-20.99;15.60;4.70
11:45:24;-18.10;-30.00;-30.00;18.70;-18.40;-18.10;-20.98;15.50;4.60
11:45:26;-18.10;-30.00;-30.01;18.70;-18.40;-18.10;-20.99;15.40;4.70
11:45:28;-18.10;-30.00;-30.03;18.70;-18.40;-18.10;-20.99;15.30;4.70
11:45:30;-18.10;-30.00;-30.03;18.70;-18.30;-18.10;-20.99;15.20;4.70
11:45:32;-18.10;-30.00;-30.01;18.70;-18.40;-18.10;-21.00;15.20;4.60
11:45:34;-18.10;-30.00;-29.99;18.70;-18.40;-18.10;-21.00;15.30;4.70
11:45:36;-18.10;-30.00;-30.00;18.70;-18.40;-18.10;-21.00;15.30;4.70
11:45:38;-18.10;-30.00;-30.00;18.70;-18.40;-18.10;-21.00;15.20;4.70
11:45:40;-18.10;-30.00;-30.02;18.70;-18.30;-18.10;-21.00;15.10;4.70
11:45:42;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-21.00;15.10;4.70
11:45:44;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.01;15.10;4.70
11:45:46;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.01;15.00;4.70
11:45:48;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.01;15.00;4.70
11:45:50;-18.10;-30.00;-30.03;18.70;-18.40;-18.10;-21.01;15.00;4.60
11:45:52;-18.10;-30.00;-30.04;18.70;-18.40;-18.10;-21.01;15.00;4.60
11:45:54;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.02;14.90;4.60
11:45:56;-18.10;-30.00;-30.06;18.70;-18.40;-18.20;-21.02;14.90;4.70
11:45:58;-18.10;-30.00;-30.07;18.70;-18.30;-18.10;-21.03;14.80;4.60
11:46:00;-18.10;-30.00;-30.07;18.70;-18.40;-18.20;-21.03;14.70;4.70
11:46:02;-18.10;-30.00;-30.06;18.70;-18.40;-18.20;-21.03;14.70;4.70
11:46:04;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-21.03;14.70;4.70
11:46:06;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.03;14.60;4.70
11:46:08;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-21.02;14.60;4.60
11:46:10;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.02;14.50;4.70
11:46:12;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-21.02;14.50;4.70
11:46:14;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-21.02;14.50;4.70
11:46:16;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-21.02;14.50;4.60
11:46:18;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-21.02;14.50;4.60
11:46:20;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.02;14.50;4.70
11:46:22;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-21.02;14.40;4.70
11:46:24;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-21.02;14.40;4.60
11:46:26;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.02;14.40;4.60
11:46:28;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.02;14.50;4.60
11:46:30;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.02;14.70;4.70
11:46:32;-18.10;-30.00;-30.00;18.70;-18.40;-18.20;-21.02;14.70;4.70
11:46:34;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.02;14.70;4.70
11:46:36;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.01;14.70;4.60
11:46:38;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.01;14.70;4.70
11:46:40;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.01;14.70;4.60
11:46:42;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-21.01;14.70;4.60
11:46:44;-18.10;-30.00;-30.00;18.70;-18.40;-18.20;-21.01;14.70;4.60
11:46:46;-18.10;-30.00;-29.99;18.70;-18.40;-18.10;-21.00;14.70;4.70
11:46:48;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.00;14.70;4.70
11:46:50;-18.10;-30.00;-30.03;18.70;-18.40;-18.10;-21.00;14.60;4.70
11:46:52;-18.10;-30.00;-30.04;18.70;-18.40;-18.10;-21.00;14.50;4.70
11:46:54;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.00;14.50;4.60
11:46:56;-18.10;-30.00;-30.03;18.70;-18.40;-18.20;-21.00;14.50;4.70
11:46:58;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-21.00;14.50;4.70
11:47:00;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-21.00;14.50;4.70
11:47:02;-18.10;-30.00;-30.02;18.70;-18.40;-18.20;-20.99;14.40;4.70
11:47:04;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.00;14.40;4.70
11:47:06;-18.10;-30.00;-30.01;18.70;-18.40;-18.10;-21.00;14.30;4.60
11:47:08;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.00;14.30;4.60
11:47:10;-18.10;-30.00;-30.04;18.70;-18.50;-18.10;-21.00;14.20;4.70
11:47:12;-18.10;-30.00;-30.05;18.70;-18.40;-18.10;-21.00;14.20;4.60
11:47:14;-18.10;-30.00;-30.04;18.70;-18.50;-18.10;-20.99;14.10;4.70
11:47:16;-18.10;-30.00;-30.03;18.70;-18.50;-18.10;-20.99;14.10;4.70
11:47:18;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-20.99;14.10;4.70
11:47:20;-18.10;-30.00;-30.03;18.70;-18.40;-18.10;-20.99;14.10;4.70
11:47:22;-18.10;-30.00;-30.02;18.70;-18.40;-18.10;-20.99;14.10;4.60
11:47:24;-18.10;-30.00;-30.00;18.70;-18.40;-18.10;-20.99;14.00;4.70
11:47:26;-18.10;-30.00;-30.00;18.70;-18.40;-18.10;-20.99;14.00;4.70
11:47:28;-18.10;-30.00;-30.01;18.70;-18.40;-18.20;-21.00;14.00;4.60
11:47:30;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.00;13.90;4.60
11:47:32;-18.10;-30.00;-30.05;18.70;-18.40;-18.20;-21.00;13.90;4.60
11:47:34;-18.10;-30.00;-30.04;18.70;-18.40;-18.20;-21.00;13.90;4.60
11:47:36;-18.10;-30.00;-30.00;18.70;-18.40;-18.20;-21.01;13.90;4.60
