time (14.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:19:37;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:19:39;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:19:41;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:19:43;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:19:45;-18.10;-30.00;-30.02;19.30;-18.40;-18.10;-20.72;10.60;4.40
14:19:47;-18.10;-30.00;-30.03;19.30;-18.50;-18.20;-20.71;10.50;4.40
14:19:49;-18.10;-30.00;-30.03;19.30;-18.40;-18.10;-20.71;10.50;4.40
14:19:51;-18.10;-30.00;-30.03;19.20;-18.40;-18.10;-20.71;10.50;4.30
14:19:53;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:19:55;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-20.71;10.40;4.40
14:19:57;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.50;4.40
14:19:59;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-20.71;10.50;4.40
14:20:01;-18.10;-30.00;-29.99;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:03;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.70;10.50;4.40
14:20:05;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.70;10.50;4.40
14:20:07;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.50;4.40
14:20:09;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.71;10.60;4.40
14:20:11;-18.10;-30.00;-30.02;19.30;-18.40;-18.10;-20.70;10.50;4.40
14:20:13;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:15;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:17;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.40;4.40
14:20:19;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.71;10.40;4.40
14:20:21;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.40;4.40
14:20:23;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:25;-18.10;-30.00;-29.98;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:27;-18.10;-30.00;-29.98;19.20;-18.40;-18.10;-20.71;10.50;4.40
14:20:29;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-20.71;10.60;4.40
14:20:31;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-20.70;10.50;4.40
14:20:33;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:20:35;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.71;10.50;4.40
14:20:37;-18.10;-30.00;-29.99;19.20;-18.40;-18.10;-20.71;10.50;4.30
14:20:39;-18.10;-30.00;-29.99;19.30;-18.40;-18.10;-20.72;10.50;4.40
14:20:41;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.50;4.30
14:20:43;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.50;4.40
14:20:45;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.72;10.50;4.30
14:20:47;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.71;10.40;4.30
14:20:49;-18.10;-30.00;-30.00;19.20;-18.40;-18.20;-20.71;10.40;4.40
14:20:51;-18.10;-30.00;-30.01;19.20;-18.40;-18.20;-20.70;10.30;4.40
14:20:53;-18.10;-30.00;-30.00;19.20;-18.40;-18.20;-20.70;10.30;4.40
14:20:55;-18.10;-30.00;-29.95;19.20;-18.50;-18.20;-20.71;10.30;4.40
14:20:57;-18.10;-30.00;-29.96;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:20:59;-18.10;-30.00;-29.98;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:01;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-20.71;10.10;4.30
14:21:03;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:05;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:07;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:21:09;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:11;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:13;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-20.71;10.20;4.40
14:21:15;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.70;10.20;4.40
14:21:17;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-20.70;10.20;4.40
14:21:19;-18.10;-30.00;-29.99;19.20;-18.40;-18.10;-20.70;10.20;4.40
14:21:21;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.70;10.20;4.40
14:21:23;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-20.71;10.20;4.30
14:21:25;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-20.71;10.20;4.40
14:21:27;-18.10;-30.00;-30.00;19.20;-18.40;-18.20;-20.71;10.20;4.40
14:21:29;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.71;10.20;4.40
14:21:31;-18.10;-30.00;-30.00;19.20;-18.40;-18.10;-20.71;10.20;4.40
14:21:33;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:21:35;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:21:37;-18.10;-30.00;-29.98;19.20;-18.40;-18.10;-20.71;10.10;4.40
14:21:39;-18.10;-30.00;-30.00;19.20;-18.50;-18.20;-20.70;10.20;4.40
14:21:41;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.70;10.10;4.40
14:21:43;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.70;10.20;4.40
14:21:45;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.70;10.10;4.40
14:21:47;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.70;10.20;4.40
14:21:49;-18.10;-30.00;-30.03;19.20;-18.50;-18.10;-20.70;10.10;4.40
14:21:51;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.70;10.10;4.40
14:21:53;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-20.70;10.10;4.40
14:21:55;-18.10;-30.00;-29.99;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:21:57;-18.10;-30.00;-29.96;19.20;-18.50;-18.10;-20.71;10.10;4.30
14:21:59;-18.10;-30.00;-29.98;19.20;-18.50;-18.10;-20.71;10.00;4.40
14:22:01;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:22:03;-18.10;-30.00;-30.00;19.20;-18.50;-18.10;-20.71;10.10;4.40
14:22:05;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.00;4.30
14:22:07;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.71;10.00;4.40
14:22:09;-18.10;-30.00;-30.03;19.20;-18.50;-18.10;-20.71;10.00;4.40
14:22:11;-18.10;-30.00;-30.03;19.20;-18.50;-18.10;-20.71;10.00;4.40
14:22:13;-18.10;-30.00;-30.02;19.20;-18.50;-18.10;-20.71;10.00;4.40
14:22:15;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.71;10.00;4.40
14:22:17;-18.10;-30.00;-30.02;19.20;-18.40;-18.10;-20.72;10.00;4.40
14:22:19;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;10.00;4.30
14:22:21;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.71;10.00;4.40
14:22:23;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.71;9.90;4.40
14:22:25;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;9.90;4.40
14:22:27;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.71;9.90;4.40
14:22:29;-18.10;-30.00;-30.01;19.20;-18.50;-18.10;-20.72;10.00;4.40
14:22:31;-18.10;-30.00;-30.01;19.20;-18.40;-18.10;-20.72;10.00;4.30
14:22:33;-18.10;-30.00;-30.01;19.20;-18.40;-18.20;-20.71;10.00;4.30
