time (03.12.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:14:45;-18.10;-30.00;-30.00;19.40;-18.50;-18.10;-20.90;10.00;3.90
09:14:47;-18.10;-30.00;-30.00;19.40;-18.50;-18.10;-20.91;10.00;3.90
09:14:49;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.91;10.00;3.90
09:14:51;-18.10;-30.00;-30.01;19.40;-18.50;-18.10;-20.91;10.00;4.00
09:14:53;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.91;10.00;4.00
09:14:55;-18.10;-30.00;-30.01;19.40;-18.50;-18.10;-20.91;9.90;3.90
09:14:57;-18.10;-30.00;-30.01;19.40;-18.50;-18.10;-20.91;9.90;3.90
09:14:59;-18.10;-30.00;-30.01;19.40;-18.50;-18.10;-20.90;9.90;3.90
09:15:01;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.91;9.80;3.90
09:15:03;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.90;9.90;3.90
09:15:05;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.90;9.80;4.00
09:15:07;-18.10;-30.00;-30.02;19.30;-18.40;-18.20;-20.91;9.80;3.90
09:15:09;-18.10;-30.00;-30.02;19.40;-18.50;-18.20;-20.91;9.80;3.90
09:15:11;-18.10;-30.00;-30.01;19.40;-18.50;-18.20;-20.92;9.80;3.90
09:15:13;-18.10;-30.00;-30.02;19.30;-18.40;-18.20;-20.92;9.80;4.00
09:15:15;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-20.91;9.80;3.90
09:15:17;-18.10;-30.00;-30.00;19.30;-18.50;-18.20;-20.92;9.70;4.00
09:15:19;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.92;9.70;3.90
09:15:21;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-20.91;9.70;3.90
09:15:23;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-20.91;9.70;3.90
09:15:25;-18.10;-30.00;-30.00;19.30;-18.50;-18.20;-20.90;9.80;3.90
09:15:27;-18.10;-30.00;-30.00;19.40;-18.50;-18.20;-20.90;9.70;3.90
09:15:29;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.90;9.70;3.90
09:15:31;-18.10;-30.00;-29.99;19.30;-18.50;-18.20;-20.89;9.70;3.90
09:15:33;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.88;9.70;3.90
09:15:35;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.89;9.80;3.90
09:15:37;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.90;9.80;3.90
09:15:39;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.89;9.80;3.90
09:15:41;-18.10;-30.00;-30.00;19.40;-18.50;-18.10;-20.89;9.80;3.90
09:15:43;-18.10;-30.00;-30.00;19.40;-18.50;-18.10;-20.88;9.80;3.90
09:15:45;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.86;9.80;4.00
09:15:47;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.86;9.80;3.90
09:15:49;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.87;9.80;4.00
09:15:51;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.87;9.80;3.90
09:15:53;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.86;9.80;3.90
09:15:55;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.86;9.80;3.90
09:15:57;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.86;9.80;3.90
09:15:59;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.85;9.80;3.90
09:16:01;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.86;9.80;4.00
09:16:03;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.84;9.70;4.00
09:16:05;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.84;9.70;3.90
09:16:07;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.85;9.70;3.90
09:16:09;-18.10;-30.00;-30.00;19.30;-18.40;-18.10;-20.86;9.60;3.90
09:16:11;-18.10;-30.00;-29.95;19.30;-18.50;-18.10;-20.86;9.60;3.90
09:16:13;-18.10;-30.00;-29.97;19.30;-18.50;-18.10;-20.86;9.60;4.00
09:16:15;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.87;9.60;3.90
09:16:17;-18.10;-30.00;-30.01;19.30;-18.40;-18.10;-20.87;9.60;4.00
09:16:19;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.88;9.60;3.90
09:16:21;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.88;9.60;4.00
09:16:23;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.87;9.60;4.00
09:16:25;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.88;9.60;3.90
09:16:27;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.88;9.50;3.90
09:16:29;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.87;9.60;3.90
09:16:31;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-20.87;9.60;4.00
09:16:33;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.87;9.50;3.90
09:16:35;-18.10;-30.00;-30.01;19.30;-18.40;-18.10;-20.87;9.60;3.90
09:16:37;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.87;9.60;3.90
09:16:39;-18.10;-30.00;-29.99;19.30;-18.40;-18.10;-20.87;9.60;3.90
09:16:41;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-20.87;9.60;3.90
09:16:43;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-20.87;9.70;3.90
09:16:45;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.87;9.70;3.90
09:16:47;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.88;9.60;3.90
09:16:49;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.88;9.60;3.90
09:16:51;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-20.88;9.60;3.90
