time (07.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:24:28;-18.10;-30.00;-30.00;21.00;-17.10;-18.20;-20.29;7.00;3.50
08:24:30;-18.10;-30.00;-29.98;21.00;-17.10;-18.20;-20.31;7.00;3.50
08:24:32;-18.10;-30.00;-29.96;21.00;-17.20;-18.20;-20.33;7.00;3.50
08:24:34;-18.10;-30.00;-29.95;21.00;-17.20;-18.20;-20.32;7.00;3.50
08:24:36;-18.10;-30.00;-29.96;21.00;-17.20;-18.20;-20.34;7.00;3.50
08:24:38;-18.10;-30.00;-29.98;21.00;-17.20;-18.20;-20.34;7.00;3.50
08:24:40;-18.10;-30.00;-29.98;21.00;-17.20;-18.20;-20.34;7.00;3.50
08:24:42;-18.10;-30.00;-29.98;21.00;-17.10;-18.10;-20.33;7.00;3.40
08:24:44;-18.10;-30.00;-29.99;21.00;-17.20;-18.20;-20.27;7.00;3.50
08:24:46;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.29;7.00;3.50
08:24:48;-18.10;-30.00;-29.98;21.00;-17.20;-18.20;-20.27;7.00;3.50
08:24:50;-18.10;-30.00;-29.98;21.00;-17.20;-18.10;-20.27;7.00;3.50
08:24:52;-18.10;-30.00;-29.98;21.00;-17.20;-18.10;-20.28;7.00;3.50
08:24:54;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.27;7.00;3.50
08:24:56;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.28;7.00;3.40
08:24:58;-18.10;-30.00;-29.99;21.00;-17.20;-18.10;-20.28;7.00;3.50
08:25:00;-18.10;-30.00;-30.01;21.00;-17.10;-18.10;-20.29;7.00;3.50
08:25:02;-18.10;-30.00;-30.02;21.00;-17.10;-18.10;-20.29;7.00;3.50
08:25:04;-18.10;-30.00;-30.02;21.00;-17.20;-18.10;-20.27;7.00;3.50
08:25:06;-18.10;-30.00;-30.02;21.00;-17.10;-18.10;-20.27;7.00;3.50
08:25:08;-18.10;-30.00;-30.02;21.00;-17.10;-18.10;-20.28;7.00;3.50
08:25:10;-18.10;-30.00;-30.02;21.00;-17.20;-18.10;-20.29;7.00;3.50
08:25:12;-18.10;-30.00;-30.00;21.00;-17.10;-18.10;-20.28;7.00;3.60
08:25:14;-18.10;-30.00;-30.00;21.00;-17.10;-18.10;-20.28;7.00;3.50
08:25:16;-18.10;-30.00;-30.00;21.00;-17.10;-18.10;-20.28;7.00;3.50
08:25:18;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.28;7.00;3.50
08:25:20;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.28;7.00;3.50
08:25:22;-18.10;-30.00;-30.01;21.00;-17.10;-18.10;-20.30;7.00;3.50
08:25:24;-18.10;-30.00;-30.01;21.00;-17.20;-18.10;-20.31;7.00;3.50
08:25:26;-18.10;-30.00;-30.01;21.00;-17.20;-18.10;-20.27;7.00;3.50
08:25:28;-18.10;-30.00;-30.01;21.00;-17.20;-18.10;-20.28;7.00;3.50
08:25:30;-18.10;-30.00;-29.99;21.00;-17.10;-18.10;-20.25;7.00;3.50
08:25:32;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.25;7.00;3.50
08:25:34;-18.10;-30.00;-29.98;21.00;-17.10;-18.10;-20.25;7.00;3.50
08:25:36;-18.10;-30.00;-30.00;21.00;-17.20;-18.10;-20.24;7.00;3.50
08:25:38;-18.10;-30.00;-30.00;21.00;-17.10;-18.10;-20.25;7.00;3.50
08:25:40;-18.10;-30.00;-30.01;20.90;-17.20;-18.10;-20.24;6.90;3.50
08:25:42;-18.10;-30.00;-30.01;21.00;-17.10;-18.10;-20.24;6.90;3.50
08:25:44;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:25:46;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.28;6.90;3.50
08:25:48;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.28;6.90;3.50
08:25:50;-18.10;-30.00;-29.96;20.90;-17.10;-18.10;-20.27;6.90;3.50
08:25:52;-18.10;-30.00;-29.96;20.90;-17.10;-18.10;-20.26;7.00;3.50
08:25:54;-18.10;-30.00;-29.97;20.90;-17.10;-18.10;-20.27;6.90;3.50
08:25:56;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.28;6.90;3.50
08:25:58;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.29;6.90;3.50
08:26:00;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:02;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.25;6.90;3.50
08:26:04;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:26:06;-18.10;-30.00;-29.96;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:08;-18.10;-30.00;-29.96;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:10;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:12;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:14;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.25;7.00;3.50
08:26:16;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.24;7.00;3.50
08:26:18;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:20;-18.10;-30.00;-30.02;20.90;-17.10;-18.00;-20.25;7.00;3.50
08:26:22;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.26;7.00;3.50
08:26:24;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.25;7.00;3.50
08:26:26;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.23;6.90;3.50
08:26:28;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:30;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.25;6.90;3.50
08:26:32;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.25;6.90;3.60
08:26:34;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.25;6.90;3.50
08:26:36;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:26:38;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:26:40;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:26:42;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:26:44;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.23;6.90;3.50
08:26:46;-18.10;-30.00;-30.01;20.90;-17.10;-18.10;-20.23;6.90;3.50
08:26:48;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.23;6.90;3.50
08:26:50;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.23;6.90;3.40
08:26:52;-18.10;-30.00;-30.00;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:54;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:56;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:26:58;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.24;6.90;3.50
08:27:00;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.25;6.90;3.50
08:27:02;-18.10;-30.00;-29.98;20.90;-17.10;-18.10;-20.26;6.90;3.50
08:27:04;-18.10;-30.00;-30.00;20.80;-17.10;-18.10;-20.25;6.90;3.50
08:27:06;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.24;6.80;3.50
08:27:08;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.23;6.90;3.50
08:27:10;-18.10;-30.00;-30.02;20.90;-17.10;-18.00;-20.21;6.80;3.50
08:27:12;-18.10;-30.00;-30.02;20.80;-17.10;-18.10;-20.20;6.90;3.50
08:27:14;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.20;6.90;3.50
08:27:16;-18.10;-30.00;-29.99;20.90;-17.10;-18.10;-20.20;6.90;3.50
08:27:18;-18.10;-30.00;-30.00;20.80;-17.10;-18.10;-20.20;6.80;3.50
08:27:20;-18.10;-30.00;-30.02;20.90;-17.10;-18.10;-20.21;6.80;3.50
08:27:22;-18.10;-30.00;-30.03;20.80;-17.10;-18.10;-20.21;6.80;3.50
08:27:24;-18.10;-30.00;-30.03;20.80;-17.10;-18.10;-20.23;6.80;3.50
08:27:26;-18.10;-30.00;-30.01;20.80;-17.10;-18.00;-20.24;6.80;3.50
08:27:28;-18.10;-30.00;-30.01;20.80;-17.10;-18.10;-20.24;6.80;3.60
08:27:30;-18.10;-30.00;-30.01;20.80;-17.10;-18.10;-20.23;6.80;3.50
08:27:32;-18.10;-30.00;-30.02;20.80;-17.10;-18.10;-20.23;6.80;3.50
08:27:34;-18.10;-30.00;-30.02;20.80;-17.10;-18.10;-20.23;6.80;3.60
08:27:36;-18.10;-30.00;-30.04;20.80;-17.10;-18.10;-20.23;6.80;3.50
08:27:38;-18.10;-30.00;-30.04;20.80;-17.10;-18.10;-20.22;6.80;3.50
08:27:40;-18.10;-30.00;-30.03;20.80;-17.10;-18.10;-20.23;6.80;3.40
08:27:42;-18.10;-30.00;-30.03;20.80;-17.10;-18.10;-20.23;6.80;3.50
08:27:44;-18.10;-30.00;-30.02;20.80;-17.10;-18.10;-20.24;6.80;3.50
08:27:46;-18.10;-30.00;-30.02;20.80;-17.10;-18.00;-20.25;6.80;3.50
08:27:48;-18.10;-30.00;-30.01;20.80;-17.10;-18.10;-20.23;6.80;3.50
