time (16.01.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:43:38;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.91;7.30;4.30
13:43:40;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:43:42;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:43:44;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.30
13:43:46;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:43:48;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:43:50;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:43:52;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:43:54;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.30
13:43:56;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:43:58;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:44:00;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:44:02;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:44:04;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:44:06;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.90;7.30;4.40
13:44:08;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.20;4.30
13:44:10;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.20;4.40
13:44:12;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:44:14;-18.10;-30.00;-30.01;18.40;-18.50;-18.00;-20.91;7.20;4.30
13:44:16;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.20;4.40
13:44:18;-18.10;-30.00;-30.00;18.40;-18.50;-18.00;-20.91;7.20;4.40
13:44:20;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.20;4.30
13:44:22;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.20;4.30
13:44:24;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.91;7.20;4.40
13:44:26;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.91;7.20;4.30
13:44:28;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:44:30;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:44:32;-18.10;-30.00;-30.00;18.40;-18.50;-18.00;-20.93;7.30;4.30
13:44:34;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.92;7.30;4.30
13:44:36;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.30;4.30
13:44:38;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.93;7.30;4.30
13:44:40;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.30;4.40
13:44:42;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.20;4.40
13:44:44;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.93;7.20;4.40
13:44:46;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.94;7.20;4.40
13:44:48;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.94;7.20;4.30
13:44:50;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.94;7.30;4.40
13:44:52;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.30;4.40
13:44:54;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.20;4.40
13:44:56;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:44:58;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.30;4.30
13:45:00;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.91;7.30;4.30
13:45:02;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.92;7.20;4.40
13:45:04;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.92;7.20;4.40
13:45:06;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.92;7.20;4.40
13:45:08;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.92;7.20;4.30
13:45:10;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.20;4.30
13:45:12;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.93;7.30;4.30
13:45:14;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.93;7.30;4.30
13:45:16;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.93;7.40;4.30
13:45:18;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.92;7.40;4.40
13:45:20;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:22;-18.10;-30.00;-30.02;18.40;-18.50;-18.10;-20.93;7.40;4.30
13:45:24;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.92;7.40;4.30
13:45:26;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.90;7.40;4.40
13:45:28;-18.10;-30.00;-30.01;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:45:30;-18.10;-30.00;-30.01;18.40;-18.50;-18.00;-20.92;7.30;4.30
13:45:32;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:34;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:36;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:38;-18.10;-30.00;-29.98;18.40;-18.50;-18.10;-20.91;7.30;4.40
13:45:40;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:42;-18.10;-30.00;-29.98;18.40;-18.50;-18.10;-20.92;7.30;4.30
13:45:44;-18.10;-30.00;-29.97;18.40;-18.50;-18.10;-20.92;7.30;4.30
13:45:46;-18.10;-30.00;-29.96;18.40;-18.50;-18.10;-20.92;7.30;4.30
13:45:48;-18.10;-30.00;-29.97;18.40;-18.50;-18.10;-20.92;7.30;4.40
13:45:50;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.92;7.40;4.30
13:45:52;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.93;7.40;4.30
13:45:54;-18.10;-30.00;-29.99;18.40;-18.50;-18.10;-20.93;7.40;4.40
13:45:57;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.50;4.30
13:45:59;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.50;4.30
13:46:00;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.60;4.40
13:46:02;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.60;4.30
13:46:04;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.60;4.30
13:46:06;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.60;4.30
13:46:08;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.60;4.30
13:46:10;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.93;7.60;4.40
13:46:12;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.50;4.30
13:46:15;-18.10;-30.00;-30.00;18.40;-18.50;-18.10;-20.92;7.50;4.30
