time (02.06.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:05:21;-18.10;-30.00;-30.02;20.50;-17.10;-18.10;-19.26;8.10;3.10
09:05:23;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.27;8.10;3.10
09:05:25;-18.10;-30.00;-30.01;20.40;-17.10;-18.10;-19.27;8.10;3.10
09:05:27;-18.10;-30.00;-30.01;20.40;-17.10;-18.10;-19.27;8.00;3.20
09:05:29;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.26;8.10;3.10
09:05:31;-18.10;-30.00;-30.01;20.40;-17.10;-18.10;-19.27;8.00;3.20
09:05:33;-18.10;-30.00;-30.00;20.50;-17.10;-18.10;-19.27;8.00;3.10
09:05:35;-18.10;-30.00;-29.99;20.40;-17.10;-18.10;-19.27;8.10;3.10
09:05:37;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.27;8.00;3.10
09:05:39;-18.10;-30.00;-30.01;20.40;-17.10;-18.10;-19.28;8.00;3.20
09:05:41;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.28;8.00;3.20
09:05:43;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.29;8.00;3.20
09:05:45;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.29;8.00;3.10
09:05:47;-18.10;-30.00;-30.01;20.40;-17.10;-18.10;-19.29;8.00;3.10
09:05:49;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.29;8.00;3.10
09:05:51;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.29;8.00;3.10
09:05:53;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.30;8.00;3.20
09:05:55;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.30;8.00;3.20
09:05:57;-18.10;-30.00;-30.02;20.40;-17.10;-18.10;-19.30;8.00;3.20
09:05:59;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.30;8.00;3.20
09:06:01;-18.10;-30.00;-30.00;20.30;-17.10;-18.10;-19.30;8.00;3.10
09:06:03;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.29;8.00;3.10
09:06:05;-18.10;-30.00;-30.00;20.30;-17.10;-18.10;-19.30;7.90;3.10
09:06:07;-18.10;-30.00;-30.00;20.40;-17.10;-18.10;-19.29;7.90;3.10
09:06:09;-18.10;-30.00;-29.96;20.40;-17.10;-18.10;-19.29;7.90;3.20
09:06:11;-18.10;-30.00;-29.96;20.30;-17.10;-18.10;-19.29;7.90;3.10
09:06:13;-18.10;-30.00;-29.97;20.30;-17.10;-18.10;-19.29;7.90;3.10
09:06:15;-18.10;-30.00;-29.99;20.30;-17.10;-18.10;-19.29;7.90;3.10
09:06:17;-18.10;-30.00;-29.99;20.40;-17.10;-18.10;-19.29;7.80;3.10
09:06:19;-18.10;-30.00;-30.01;20.30;-17.00;-18.10;-19.29;7.80;3.10
09:06:21;-18.10;-30.00;-30.01;20.30;-17.10;-18.10;-19.28;7.90;3.10
09:06:23;-18.10;-30.00;-30.01;20.30;-17.10;-18.10;-19.28;7.90;3.10
09:06:25;-18.10;-30.00;-30.00;20.30;-17.10;-18.10;-19.28;7.90;3.20
09:06:27;-18.10;-30.00;-29.99;20.30;-17.10;-18.10;-19.28;7.90;3.20
09:06:29;-18.10;-30.00;-29.99;20.30;-17.00;-18.10;-19.28;7.90;3.20
09:06:31;-18.10;-30.00;-30.00;20.30;-17.10;-18.10;-19.29;7.80;3.10
09:06:33;-18.10;-30.00;-30.01;20.30;-17.00;-18.10;-19.28;7.80;3.10
09:06:35;-18.10;-30.00;-30.02;20.30;-17.10;-18.10;-19.28;7.80;3.10
