time (28.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:45:09;-18.10;-30.00;-30.02;21.40;-17.60;-18.10;-6.13;7.90;3.00
07:45:11;-18.10;-30.00;-30.02;21.40;-17.60;-18.10;-6.25;7.90;3.00
07:45:13;-18.10;-30.00;-30.01;21.40;-17.60;-18.10;-6.49;7.90;3.00
07:45:15;-18.10;-30.00;-30.01;21.40;-17.60;-18.10;-6.61;7.90;3.00
07:45:17;-18.10;-30.00;-30.02;21.40;-17.60;-18.00;-6.29;7.80;2.90
07:45:19;-18.10;-30.00;-30.01;21.40;-17.60;-18.00;-6.87;7.80;2.90
07:45:21;-18.10;-30.00;-30.01;21.40;-17.60;-18.00;-6.58;7.80;3.00
07:45:23;-18.10;-30.00;-30.01;21.40;-17.60;-18.00;-7.01;7.80;3.00
07:45:25;-18.10;-30.00;-30.03;21.40;-17.60;-18.00;-7.19;7.80;3.00
07:45:27;-18.10;-30.00;-30.03;21.40;-17.60;-18.00;-7.36;7.80;2.90
07:45:29;-18.10;-30.00;-30.02;21.40;-17.50;-18.10;-7.69;7.80;3.00
07:45:31;-18.10;-30.00;-30.02;21.40;-17.60;-18.10;-7.83;7.80;3.00
07:45:33;-18.10;-30.00;-30.01;21.30;-17.60;-18.10;-8.50;7.80;3.00
07:45:35;-18.10;-30.00;-30.02;21.30;-17.60;-18.10;-8.68;7.80;3.00
07:45:37;-18.10;-30.00;-30.01;21.40;-17.60;-18.10;-9.04;7.70;3.00
07:45:39;-18.10;-30.00;-30.00;21.40;-17.60;-18.10;-8.95;7.70;2.90
07:45:41;-18.10;-30.00;-30.00;21.30;-17.60;-18.10;-9.23;7.70;3.00
07:45:43;-18.10;-30.00;-30.02;21.30;-17.60;-18.10;-9.45;7.70;3.00
07:45:45;-18.10;-30.00;-30.00;21.30;-17.60;-18.10;-9.17;7.70;3.00
07:45:47;-18.10;-30.00;-29.99;21.30;-17.60;-18.10;-9.42;7.70;3.00
07:45:49;-18.10;-30.00;-30.01;21.30;-17.60;-18.10;-9.39;7.70;3.00
