time (06.03.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:47:48;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.84;10.00;4.60
15:47:50;-18.10;-30.00;-30.00;18.50;-18.00;-18.00;-12.83;10.00;4.50
15:47:52;-18.10;-30.00;-30.00;18.50;-18.10;-18.00;-12.82;10.00;4.50
15:47:54;-18.10;-30.00;-29.99;18.50;-18.10;-18.00;-12.82;10.00;4.50
15:47:56;-18.10;-30.00;-30.00;18.50;-18.10;-18.00;-12.82;9.90;4.60
15:47:58;-18.10;-30.00;-30.00;18.50;-18.00;-18.00;-12.83;10.00;4.50
15:48:00;-18.10;-30.00;-30.00;18.50;-18.00;-18.00;-12.87;9.90;4.50
15:48:02;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.92;9.90;4.50
15:48:04;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.90;9.90;4.60
15:48:06;-18.10;-30.00;-29.98;18.50;-18.00;-18.00;-12.89;9.90;4.60
15:48:08;-18.10;-30.00;-29.97;18.50;-18.00;-18.00;-12.89;9.90;4.60
15:48:10;-18.10;-30.00;-29.98;18.50;-18.00;-18.00;-12.90;9.90;4.50
15:48:12;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.89;9.90;4.50
15:48:14;-18.10;-30.00;-29.99;18.50;-18.10;-18.00;-12.86;9.90;4.60
15:48:16;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.91;9.90;4.50
15:48:18;-18.10;-30.00;-30.00;18.50;-18.10;-18.00;-12.86;9.90;4.60
15:48:20;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.86;9.90;4.50
15:48:22;-18.10;-30.00;-29.99;18.50;-18.10;-18.00;-12.87;10.00;4.50
15:48:24;-18.10;-30.00;-29.99;18.50;-18.10;-18.00;-12.91;10.00;4.50
15:48:26;-18.10;-30.00;-29.99;18.50;-18.00;-18.00;-12.92;10.00;4.50
15:48:28;-18.10;-30.00;-29.99;18.50;-18.10;-18.10;-12.91;10.00;4.60
15:48:30;-18.10;-30.00;-29.99;18.50;-18.10;-18.00;-12.91;10.00;4.60
15:48:32;-18.10;-30.00;-29.99;18.50;-18.00;-18.10;-12.87;10.00;4.50
15:48:34;-18.10;-30.00;-30.00;18.50;-18.00;-18.10;-12.90;10.00;4.60
15:48:36;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.85;10.00;4.60
15:48:38;-18.10;-30.00;-29.99;18.50;-18.00;-18.10;-12.85;10.00;4.60
15:48:40;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.89;10.00;4.60
15:48:42;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.85;10.00;4.60
15:48:44;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.88;9.90;4.50
15:48:46;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.94;9.90;4.60
15:48:48;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.91;9.90;4.50
15:48:50;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.87;9.90;4.50
15:48:52;-18.10;-30.00;-30.02;18.50;-18.00;-18.10;-12.85;9.90;4.50
15:48:54;-18.10;-30.00;-30.01;18.50;-18.00;-18.10;-12.88;9.90;4.50
15:48:56;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.86;9.90;4.50
15:48:58;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.87;9.90;4.50
15:49:00;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.89;9.90;4.50
15:49:02;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.86;9.90;4.60
15:49:04;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.88;10.00;4.60
15:49:06;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.89;10.00;4.50
15:49:08;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.88;10.00;4.50
15:49:10;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-12.96;10.00;4.50
15:49:12;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.95;10.00;4.50
15:49:14;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.95;10.00;4.50
15:49:16;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.91;10.00;4.50
15:49:18;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-12.94;10.00;4.50
15:49:20;-18.10;-30.00;-29.99;18.50;-18.10;-18.20;-12.93;10.00;4.50
15:49:22;-18.10;-30.00;-29.99;18.50;-18.10;-18.10;-12.91;10.00;4.50
15:49:24;-18.10;-30.00;-29.98;18.50;-18.10;-18.10;-12.92;10.00;4.60
15:49:26;-18.10;-30.00;-29.99;18.50;-18.10;-18.20;-12.95;10.00;4.50
15:49:29;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-12.97;10.00;4.60
15:49:31;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.04;10.00;4.50
15:49:32;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-13.02;10.00;4.50
15:49:34;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-12.98;10.00;4.50
15:49:36;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-12.99;10.00;4.60
15:49:38;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-12.98;10.00;4.50
15:49:40;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-12.97;9.90;4.50
15:49:43;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-12.96;9.90;4.60
15:49:44;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-12.96;9.90;4.60
15:49:47;-18.10;-30.00;-29.99;18.50;-18.10;-18.20;-12.97;9.90;4.50
15:49:49;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-13.04;9.90;4.50
15:49:51;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.04;9.90;4.50
15:49:52;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.07;9.90;4.50
15:49:54;-18.10;-30.00;-30.02;18.50;-18.10;-18.20;-13.06;9.90;4.50
15:49:56;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.07;10.00;4.60
15:49:59;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.08;10.00;4.50
15:50:00;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-13.06;10.00;4.50
15:50:03;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-13.07;10.00;4.60
15:50:04;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-13.09;10.00;4.60
15:50:06;-18.10;-30.00;-30.00;18.50;-18.10;-18.20;-13.08;10.00;4.60
15:50:09;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-13.11;10.00;4.50
15:50:10;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-13.11;10.00;4.50
15:50:12;-18.10;-30.00;-30.01;18.50;-18.10;-18.20;-13.10;9.90;4.50
15:50:15;-18.10;-30.00;-30.02;18.50;-18.10;-18.10;-13.10;10.00;4.50
15:50:16;-18.10;-30.00;-30.02;18.50;-18.10;-18.10;-13.15;10.00;4.50
15:50:19;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.13;10.00;4.50
15:50:20;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-13.12;10.00;4.50
15:50:22;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.14;10.00;4.50
15:50:24;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-13.13;10.00;4.50
15:50:27;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.11;9.90;4.50
15:50:29;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.11;10.00;4.50
15:50:30;-18.10;-30.00;-30.01;18.50;-18.10;-18.10;-13.14;9.90;4.60
15:50:32;-18.10;-30.00;-29.99;18.50;-18.10;-18.10;-13.12;9.80;4.50
15:50:35;-18.10;-30.00;-29.99;18.50;-18.10;-18.10;-13.14;9.80;4.60
15:50:36;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-13.11;9.80;4.50
15:50:38;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-13.09;9.80;4.60
15:50:41;-18.10;-30.00;-30.00;18.50;-18.10;-18.10;-13.04;9.70;4.60
15:50:42;-18.10;-30.00;-29.98;18.50;-18.10;-18.10;-13.06;9.70;4.50
15:50:44;-18.10;-30.00;-29.98;18.50;-18.10;-18.10;-13.09;9.70;4.60
15:50:47;-18.10;-30.00;-29.99;18.50;-18.10;-18.20;-13.08;9.70;4.60
