time (20.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
16:07:46;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:07:48;-18.10;-30.00;-30.02;19.30;-18.70;-18.10;-20.81;9.50;4.70
16:07:50;-18.10;-30.00;-30.02;19.30;-18.70;-18.10;-20.81;9.50;4.80
16:07:52;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.81;9.50;4.80
16:07:54;-18.10;-30.00;-30.01;19.30;-18.70;-18.00;-20.79;9.60;4.70
16:07:56;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.60;4.70
16:07:58;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.78;9.60;4.70
16:08:00;-18.10;-30.00;-30.00;19.30;-18.70;-18.10;-20.79;9.70;4.70
16:08:02;-18.10;-30.00;-30.01;19.30;-18.70;-18.10;-20.79;9.70;4.80
16:08:04;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.78;9.60;4.80
16:08:06;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.78;9.60;4.70
16:08:08;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.60;4.80
16:08:10;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.60;4.80
16:08:12;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.60;4.70
16:08:14;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:08:16;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:08:18;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:08:20;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.82;9.60;4.70
16:08:22;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:08:24;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.60;4.80
16:08:26;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.80
16:08:28;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.80
16:08:30;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.81;9.50;4.80
16:08:32;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.80;9.50;4.70
16:08:34;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.79;9.60;4.70
16:08:36;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.79;9.60;4.70
16:08:38;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.80;9.70;4.70
16:08:40;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.79;9.70;4.70
16:08:42;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.60;4.70
16:08:44;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.60;4.80
16:08:46;-18.10;-30.00;-29.97;19.20;-18.70;-18.10;-20.77;9.50;4.80
16:08:48;-18.10;-30.00;-29.97;19.20;-18.70;-18.10;-20.79;9.60;4.70
16:08:50;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.78;9.60;4.70
16:08:52;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:08:54;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.79;9.60;4.80
16:08:56;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.80;9.60;4.80
16:08:58;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:09:00;-18.10;-30.00;-29.98;19.30;-18.70;-18.10;-20.78;9.70;4.70
16:09:02;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.79;9.70;4.80
16:09:04;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.77;9.90;4.70
16:09:06;-18.10;-30.00;-29.95;19.20;-18.70;-18.00;-20.78;9.80;4.80
16:09:08;-18.10;-30.00;-29.96;19.20;-18.70;-18.10;-20.76;9.80;4.70
16:09:10;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.77;9.70;4.70
16:09:12;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.78;9.70;4.70
16:09:14;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:09:16;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.79;9.60;4.70
16:09:18;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.75;9.60;4.80
16:09:20;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:09:22;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.78;9.50;4.80
16:09:24;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:09:26;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:09:28;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.80;9.50;4.70
16:09:30;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.79;9.50;4.80
16:09:32;-18.10;-30.00;-29.97;19.20;-18.70;-18.10;-20.76;9.50;4.70
16:09:34;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.78;9.40;4.70
16:09:36;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.74;9.40;4.70
16:09:38;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.74;9.50;4.70
16:09:40;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.76;9.60;4.70
16:09:42;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.60;4.80
16:09:44;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.70;4.70
16:09:46;-18.10;-30.00;-30.00;19.30;-18.70;-18.10;-20.77;9.70;4.70
16:09:48;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.60;4.70
16:09:50;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.78;9.60;4.70
16:09:52;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:09:54;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:09:56;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.77;9.50;4.80
16:09:58;-18.10;-30.00;-30.02;19.30;-18.70;-18.10;-20.78;9.50;4.70
16:10:00;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.77;9.50;4.70
16:10:02;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:10:04;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.40;4.70
16:10:06;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.80;9.40;4.70
16:10:08;-18.10;-30.00;-30.03;19.20;-18.70;-18.10;-20.80;9.50;4.70
16:10:10;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.50;4.80
16:10:12;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:10:14;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.50;4.70
16:10:16;-18.10;-30.00;-29.99;19.20;-18.70;-18.00;-20.76;9.60;4.80
16:10:18;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.70;4.70
16:10:20;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.79;9.70;4.80
16:10:22;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.60;4.80
16:10:24;-18.10;-30.00;-30.02;19.20;-18.70;-18.10;-20.78;9.60;4.80
16:10:26;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.60;4.70
16:10:28;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.60;4.70
16:10:30;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:10:32;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.80;9.60;4.70
16:10:34;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.80;9.60;4.80
16:10:36;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.80;9.50;4.70
16:10:38;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:10:40;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:10:42;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.50;4.70
16:10:44;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.76;9.50;4.70
16:10:46;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.50;4.70
16:10:48;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.78;9.50;4.70
16:10:50;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.40;4.70
16:10:52;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:10:54;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.40;4.70
16:10:56;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.40;4.70
16:10:58;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.78;9.40;4.70
16:11:00;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.40;4.70
16:11:02;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.79;9.40;4.70
16:11:04;-18.10;-30.00;-30.02;19.30;-18.70;-18.10;-20.79;9.40;4.70
16:11:06;-18.10;-30.00;-30.00;19.20;-18.70;-18.00;-20.78;9.40;4.80
16:11:08;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.79;9.50;4.70
16:11:10;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.75;9.50;4.80
16:11:12;-18.10;-30.00;-30.00;19.30;-18.70;-18.10;-20.75;9.60;4.70
16:11:14;-18.10;-30.00;-29.99;19.30;-18.70;-18.10;-20.76;9.60;4.70
16:11:16;-18.10;-30.00;-29.97;19.20;-18.70;-18.10;-20.77;9.60;4.70
16:11:18;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.77;9.50;4.70
16:11:20;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.76;9.40;4.70
16:11:22;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.40;4.70
16:11:24;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:11:26;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.75;9.50;4.70
16:11:28;-18.10;-30.00;-29.99;19.30;-18.70;-18.10;-20.76;9.60;4.70
16:11:30;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.60;4.70
16:11:32;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.74;9.60;4.80
16:11:34;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.74;9.60;4.80
16:11:36;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.74;9.60;4.70
16:11:38;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.50;4.70
16:11:40;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.50;4.70
16:11:42;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.75;9.50;4.70
16:11:44;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.75;9.50;4.70
16:11:46;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.50;4.70
16:11:48;-18.10;-30.00;-30.00;19.30;-18.70;-18.10;-20.76;9.50;4.70
16:11:50;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.75;9.50;4.70
16:11:52;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.74;9.40;4.70
16:11:54;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.74;9.40;4.70
16:11:56;-18.10;-30.00;-30.01;19.20;-18.70;-18.00;-20.75;9.40;4.70
16:11:58;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:12:00;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.76;9.30;4.70
16:12:02;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:12:04;-18.10;-30.00;-30.00;19.20;-18.70;-18.00;-20.77;9.40;4.80
16:12:06;-18.10;-30.00;-29.99;19.30;-18.70;-18.10;-20.76;9.40;4.70
16:12:08;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.30;4.70
16:12:10;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.76;9.30;4.70
16:12:12;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.75;9.30;4.70
16:12:14;-18.10;-30.00;-29.97;19.30;-18.70;-18.10;-20.75;9.30;4.70
16:12:16;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.75;9.40;4.70
16:12:18;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.76;9.30;4.80
16:12:20;-18.10;-30.00;-29.98;19.30;-18.70;-18.10;-20.76;9.30;4.70
16:12:22;-18.10;-30.00;-29.99;19.30;-18.70;-18.10;-20.75;9.30;4.70
16:12:24;-18.10;-30.00;-30.00;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:12:26;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.77;9.40;4.70
16:12:28;-18.10;-30.00;-29.98;19.20;-18.70;-18.10;-20.77;9.30;4.80
16:12:30;-18.10;-30.00;-29.99;19.20;-18.70;-18.10;-20.78;9.20;4.70
16:12:32;-18.10;-30.00;-30.01;19.20;-18.70;-18.10;-20.77;9.20;4.80
