time (16.01.2026);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:40:31;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:33;-18.10;-30.00;-30.02;20.90;-18.40;-18.10;-20.64;5.40;3.40
09:40:35;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:37;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:39;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.66;5.40;3.40
09:40:41;-18.10;-30.00;-30.02;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:43;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:45;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:47;-18.10;-30.00;-29.99;20.90;-18.40;-18.10;-20.66;5.40;3.40
09:40:49;-18.10;-30.00;-29.99;20.90;-18.40;-18.10;-20.67;5.40;3.40
09:40:51;-18.10;-30.00;-29.98;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:40:53;-18.10;-30.00;-29.98;20.90;-18.40;-18.10;-20.64;5.40;3.40
09:40:55;-18.10;-30.00;-29.98;20.90;-18.40;-18.10;-20.63;5.40;3.40
09:40:57;-18.10;-30.00;-29.98;20.90;-18.40;-18.10;-20.64;5.30;3.30
09:40:59;-18.10;-30.00;-29.99;20.90;-18.40;-18.10;-20.65;5.30;3.40
09:41:01;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.63;5.30;3.40
09:41:03;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.63;5.30;3.40
09:41:05;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.65;5.40;3.40
09:41:07;-18.10;-30.00;-30.02;20.90;-18.40;-18.10;-20.65;5.30;3.40
09:41:09;-18.10;-30.00;-30.02;20.90;-18.40;-18.10;-20.66;5.30;3.40
09:41:11;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.66;5.40;3.40
09:41:13;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.64;5.30;3.30
09:41:15;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.60;5.40;3.40
09:41:17;-18.10;-30.00;-30.01;20.90;-18.40;-18.10;-20.62;5.40;3.40
09:41:19;-18.10;-30.00;-30.02;20.90;-18.40;-18.10;-20.65;5.40;3.30
09:41:21;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.67;5.40;3.30
09:41:23;-18.10;-30.00;-29.99;20.90;-18.40;-18.10;-20.68;5.40;3.30
09:41:25;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.68;5.40;3.40
09:41:27;-18.10;-30.00;-30.00;20.90;-18.40;-18.10;-20.68;5.40;3.30
09:41:29;-18.10;-30.00;-30.00;20.90;-18.30;-18.10;-20.68;5.40;3.40
