time (05.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:00:56;-18.10;-30.00;-30.08;18.20;-17.90;-18.10;-19.66;19.60;4.30
13:00:58;-18.10;-30.00;-30.07;18.20;-17.90;-18.10;-19.66;19.60;4.30
13:01:00;-18.10;-30.00;-30.07;18.20;-17.90;-18.10;-19.64;19.50;4.30
13:01:02;-18.10;-30.00;-30.08;18.20;-17.90;-18.10;-19.63;19.50;4.30
13:01:04;-18.10;-30.00;-30.09;18.20;-17.90;-18.10;-19.65;19.50;4.30
13:01:06;-18.10;-30.00;-30.08;18.20;-17.90;-18.10;-19.65;19.40;4.30
13:01:08;-18.10;-30.00;-30.08;18.20;-17.90;-18.10;-19.63;19.30;4.30
13:01:10;-18.10;-30.00;-30.09;18.20;-17.90;-18.00;-19.62;19.30;4.30
13:01:12;-18.10;-30.00;-30.10;18.20;-17.80;-18.00;-19.61;19.20;4.30
13:01:14;-18.10;-30.00;-30.09;18.20;-17.80;-18.00;-19.61;19.20;4.30
13:01:16;-18.10;-30.00;-30.10;18.20;-17.80;-18.00;-19.62;19.30;4.30
13:01:18;-18.10;-30.00;-30.10;18.20;-17.80;-18.00;-19.62;19.30;4.30
13:01:20;-18.10;-30.00;-30.10;18.20;-17.80;-18.10;-19.61;19.40;4.30
13:01:22;-18.10;-30.00;-30.10;18.20;-17.80;-18.00;-19.61;19.40;4.30
13:01:24;-18.10;-30.00;-30.09;18.20;-17.70;-18.00;-19.60;19.40;4.30
13:01:26;-18.10;-30.00;-30.09;18.20;-17.80;-18.00;-19.60;19.30;4.30
13:01:28;-18.10;-30.00;-30.08;18.20;-17.80;-18.00;-19.59;19.20;4.30
13:01:30;-18.10;-30.00;-30.09;18.20;-17.80;-18.00;-19.59;19.10;4.30
13:01:32;-18.10;-30.00;-30.08;18.20;-17.80;-18.00;-19.60;19.10;4.30
13:01:34;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.59;19.10;4.30
13:01:36;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.57;19.00;4.30
13:01:38;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.57;19.00;4.30
13:01:40;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.58;19.00;4.30
13:01:42;-18.10;-30.00;-30.09;18.10;-17.70;-18.00;-19.57;19.00;4.30
13:01:44;-18.10;-30.00;-30.08;18.10;-17.70;-18.00;-19.57;19.00;4.30
13:01:46;-18.10;-30.00;-30.07;18.20;-17.70;-18.10;-19.56;19.00;4.30
13:01:48;-18.10;-30.00;-30.07;18.20;-17.70;-18.00;-19.55;18.90;4.30
13:01:50;-18.10;-30.00;-30.07;18.20;-17.70;-18.00;-19.55;18.90;4.30
13:01:52;-18.10;-30.00;-30.08;18.10;-17.70;-18.00;-19.55;18.80;4.30
13:01:54;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.56;18.70;4.30
13:01:56;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.57;18.70;4.20
13:01:58;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.58;18.70;4.30
13:02:00;-18.10;-30.00;-30.09;18.20;-17.70;-18.00;-19.57;18.70;4.30
13:02:02;-18.10;-30.00;-30.09;18.10;-17.70;-18.00;-19.58;18.70;4.20
13:02:04;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.58;18.60;4.30
13:02:06;-18.10;-30.00;-30.08;18.20;-17.70;-18.00;-19.57;18.60;4.30
13:02:08;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.56;18.60;4.20
13:02:10;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.58;18.60;4.30
13:02:12;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.56;18.60;4.30
13:02:15;-18.10;-30.00;-30.06;18.10;-17.70;-18.00;-19.55;18.50;4.30
13:02:16;-18.10;-30.00;-30.05;18.10;-17.70;-18.00;-19.57;18.50;4.30
13:02:18;-18.10;-30.00;-30.04;18.10;-17.70;-18.00;-19.57;18.50;4.20
13:02:20;-18.10;-30.00;-30.02;18.10;-17.70;-18.00;-19.57;18.60;4.30
13:02:22;-18.10;-30.00;-30.03;18.10;-17.70;-18.00;-19.56;18.50;4.30
13:02:24;-18.10;-30.00;-30.06;18.10;-17.70;-18.00;-19.57;18.50;4.30
13:02:26;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.60;18.50;4.20
13:02:28;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.61;18.50;4.30
13:02:30;-18.10;-30.00;-30.08;18.10;-17.70;-18.00;-19.63;18.40;4.20
13:02:32;-18.10;-30.00;-30.07;18.20;-17.70;-18.00;-19.63;18.40;4.30
13:02:34;-18.10;-30.00;-30.06;18.10;-17.70;-18.00;-19.61;18.30;4.20
13:02:36;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.60;18.30;4.20
13:02:38;-18.10;-30.00;-30.07;18.10;-17.70;-18.10;-19.60;18.40;4.30
13:02:40;-18.10;-30.00;-30.07;18.10;-17.70;-18.00;-19.61;18.30;4.30
13:02:42;-18.10;-30.00;-30.05;18.10;-17.60;-18.00;-19.61;18.30;4.20
13:02:44;-18.10;-30.00;-30.05;18.10;-17.60;-18.10;-19.62;18.30;4.20
13:02:46;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.60;18.30;4.30
13:02:48;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.59;18.20;4.20
13:02:50;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.56;18.20;4.20
13:02:52;-18.10;-30.00;-30.06;18.10;-17.60;-18.10;-19.58;18.20;4.30
13:02:54;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.59;18.10;4.20
13:02:57;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.61;18.20;4.30
13:02:58;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.60;18.10;4.30
13:03:00;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.60;18.10;4.20
13:03:02;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.60;18.10;4.20
13:03:05;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.59;18.00;4.20
13:03:06;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.58;18.00;4.20
13:03:09;-18.10;-30.00;-30.05;18.10;-17.60;-18.00;-19.57;17.90;4.20
13:03:11;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.57;17.90;4.20
13:03:13;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.56;17.90;4.20
13:03:15;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.57;17.90;4.20
13:03:17;-18.10;-30.00;-30.07;18.10;-17.60;-18.00;-19.57;17.90;4.30
13:03:19;-18.10;-30.00;-30.08;18.10;-17.60;-18.10;-19.57;17.90;4.30
13:03:21;-18.10;-30.00;-30.05;18.10;-17.60;-18.10;-19.57;17.90;4.20
13:03:23;-18.10;-30.00;-30.05;18.10;-17.60;-18.10;-19.57;17.80;4.20
13:03:25;-18.10;-30.00;-30.05;18.10;-17.60;-18.10;-19.58;17.70;4.20
13:03:27;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-19.57;17.70;4.20
13:03:29;-18.10;-30.00;-30.05;18.10;-17.60;-18.10;-19.58;17.70;4.20
13:03:31;-18.10;-30.00;-30.06;18.10;-17.60;-18.10;-19.58;17.60;4.20
13:03:33;-18.10;-30.00;-30.06;18.10;-17.60;-18.10;-19.59;17.60;4.20
13:03:35;-18.10;-30.00;-30.08;18.10;-17.60;-18.10;-19.60;17.70;4.20
13:03:37;-18.10;-30.00;-30.08;18.10;-17.60;-18.10;-19.60;17.70;4.20
13:03:39;-18.10;-30.00;-30.05;18.10;-17.60;-18.00;-19.60;17.60;4.30
13:03:41;-18.10;-30.00;-30.03;18.10;-17.60;-18.00;-19.61;17.60;4.20
13:03:43;-18.10;-30.00;-30.04;18.10;-17.60;-18.00;-19.62;17.60;4.20
13:03:45;-18.10;-30.00;-30.05;18.10;-17.60;-18.00;-19.62;17.60;4.20
13:03:47;-18.10;-30.00;-30.01;18.10;-17.60;-18.00;-19.61;17.50;4.20
13:03:49;-18.10;-30.00;-30.02;18.10;-17.60;-18.00;-19.58;17.50;4.20
13:03:51;-18.10;-30.00;-30.03;18.10;-17.60;-18.00;-19.58;17.50;4.20
13:03:53;-18.10;-30.00;-30.05;18.10;-17.60;-18.00;-19.58;17.50;4.30
13:03:55;-18.10;-30.00;-30.06;18.10;-17.60;-18.00;-19.57;17.50;4.20
13:03:57;-18.10;-30.00;-30.04;18.10;-17.60;-18.10;-19.57;17.40;4.20
13:03:59;-18.10;-30.00;-30.02;18.10;-17.60;-18.10;-19.58;17.40;4.20
