time (17.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:34:05;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.84;11.70;4.80
11:34:07;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.75;11.60;4.80
11:34:09;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.58;11.60;4.70
11:34:11;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.53;11.60;4.80
11:34:13;-18.10;-30.00;-29.99;19.40;-18.50;-18.10;-13.49;11.50;4.80
11:34:15;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.42;11.40;4.80
11:34:17;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.42;11.40;4.80
11:34:19;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.42;11.40;4.80
11:34:21;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.44;11.30;4.80
11:34:23;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.48;11.20;4.80
11:34:25;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.47;11.20;4.80
11:34:27;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.40;11.20;4.80
11:34:29;-18.10;-30.00;-29.98;19.30;-18.50;-18.10;-13.46;11.20;4.80
11:34:31;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.46;11.10;4.70
11:34:33;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.50;11.10;4.80
11:34:35;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.46;11.10;4.80
11:34:37;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.46;11.10;4.80
11:34:39;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.37;11.10;4.80
11:34:41;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.39;11.10;4.70
11:34:43;-18.10;-30.00;-29.99;19.30;-18.50;-18.20;-13.39;11.00;4.80
11:34:45;-18.10;-30.00;-30.00;19.30;-18.50;-18.20;-13.44;11.00;4.80
11:34:47;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-13.37;11.00;4.80
11:34:49;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-13.42;11.00;4.80
11:34:51;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-13.34;11.00;4.80
11:34:53;-18.10;-30.00;-29.99;19.30;-18.50;-18.20;-13.17;11.00;4.80
11:34:55;-18.10;-30.00;-29.98;19.40;-18.50;-18.10;-13.18;11.00;4.80
11:34:57;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.24;11.00;4.80
11:34:59;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-13.27;11.00;4.80
11:35:01;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.19;11.00;4.80
11:35:03;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-13.14;11.10;4.80
11:35:05;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-13.17;11.10;4.80
11:35:07;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.15;11.10;4.80
11:35:09;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.15;11.00;4.80
11:35:11;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.19;11.10;4.80
11:35:13;-18.10;-30.00;-29.99;19.30;-18.50;-18.20;-13.18;11.10;4.80
11:35:15;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.16;11.10;4.80
11:35:17;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-13.11;11.10;4.80
11:35:19;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-13.02;11.10;4.80
11:35:21;-18.10;-30.00;-30.00;19.30;-18.50;-18.20;-13.02;11.10;4.80
11:35:23;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-13.04;11.00;4.80
11:35:25;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.99;11.00;4.80
11:35:27;-18.10;-30.00;-30.02;19.30;-18.50;-18.20;-13.02;10.90;4.80
11:35:29;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-12.93;10.80;4.80
11:35:31;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-12.88;10.80;4.80
11:35:33;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-12.84;10.70;4.80
11:35:35;-18.10;-30.00;-30.02;19.30;-18.50;-18.10;-12.86;10.70;4.80
11:35:37;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-12.84;10.70;4.80
11:35:39;-18.10;-30.00;-30.03;19.30;-18.50;-18.10;-12.83;10.70;4.80
11:35:41;-18.10;-30.00;-30.02;19.30;-18.50;-18.20;-12.79;10.70;4.80
11:35:43;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.84;10.80;4.80
11:35:45;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-12.83;10.80;4.80
11:35:47;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-12.80;10.80;4.80
11:35:49;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.82;10.90;4.80
11:35:51;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.85;10.90;4.80
11:35:53;-18.10;-30.00;-29.99;19.30;-18.50;-18.20;-12.82;10.80;4.80
11:35:55;-18.10;-30.00;-29.98;19.30;-18.50;-18.20;-12.86;10.80;4.80
11:35:57;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-12.84;10.80;4.80
11:35:59;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-12.75;10.80;4.80
11:36:01;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-12.72;10.80;4.70
11:36:03;-18.10;-30.00;-29.99;19.30;-18.50;-18.10;-12.63;10.80;4.80
11:36:05;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.62;10.80;4.80
11:36:07;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.63;10.80;4.70
11:36:09;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.62;10.70;4.80
11:36:11;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.65;10.70;4.80
11:36:13;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.67;10.70;4.80
11:36:15;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.64;10.70;4.80
11:36:17;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.56;10.80;4.80
11:36:19;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.61;10.70;4.80
11:36:21;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.60;10.70;4.80
11:36:23;-18.10;-30.00;-30.01;19.30;-18.50;-18.20;-12.60;10.70;4.80
11:36:25;-18.10;-30.00;-30.00;19.30;-18.50;-18.20;-12.66;10.70;4.80
11:36:27;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.63;10.50;4.80
11:36:29;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.56;10.50;4.80
11:36:31;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.53;10.50;4.70
11:36:33;-18.10;-30.00;-30.00;19.30;-18.50;-18.10;-12.48;10.50;4.80
11:36:35;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.48;10.40;4.80
11:36:37;-18.10;-30.00;-30.01;19.30;-18.50;-18.10;-12.52;10.40;4.80
11:36:39;-18.10;-30.00;-30.02;19.30;-18.50;-18.20;-12.57;10.40;4.70
