time (01.09.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:24:07;-18.10;-30.00;-30.07;21.50;-18.50;-18.30;-20.63;11.50;3.60
08:24:09;-18.10;-30.00;-30.08;21.50;-18.50;-18.30;-20.62;11.50;3.60
08:24:11;-18.10;-30.00;-30.08;21.50;-18.50;-18.30;-20.61;11.50;3.70
08:24:13;-18.10;-30.00;-30.08;21.50;-18.50;-18.30;-20.60;11.40;3.60
08:24:15;-18.10;-30.00;-30.08;21.50;-18.50;-18.30;-20.60;11.40;3.60
08:24:17;-18.10;-30.00;-30.08;21.50;-18.50;-18.30;-20.59;11.40;3.60
08:24:19;-18.10;-30.00;-30.09;21.50;-18.50;-18.30;-20.57;11.40;3.60
08:24:21;-18.10;-30.00;-30.10;21.50;-18.50;-18.30;-20.57;11.30;3.60
08:24:23;-18.10;-30.00;-30.09;21.50;-18.50;-18.30;-20.58;11.30;3.70
08:24:25;-18.10;-30.00;-30.06;21.50;-18.50;-18.20;-20.57;11.30;3.70
08:24:27;-18.10;-30.00;-30.05;21.50;-18.50;-18.20;-20.56;11.30;3.60
08:24:29;-18.10;-30.00;-30.04;21.50;-18.50;-18.20;-20.56;11.30;3.70
08:24:31;-18.10;-30.00;-30.05;21.50;-18.50;-18.20;-20.55;11.30;3.70
08:24:33;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.55;11.20;3.60
08:24:35;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.54;11.20;3.60
08:24:37;-18.10;-30.00;-30.05;21.50;-18.50;-18.10;-20.53;11.20;3.70
08:24:39;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.52;11.20;3.60
08:24:41;-18.10;-30.00;-30.04;21.50;-18.50;-18.10;-20.53;11.20;3.70
08:24:43;-18.10;-30.00;-30.04;21.50;-18.50;-18.10;-20.53;11.10;3.60
08:24:45;-18.10;-30.00;-30.05;21.50;-18.50;-18.10;-20.53;11.20;3.70
08:24:47;-18.10;-30.00;-30.05;21.50;-18.50;-18.10;-20.52;11.10;3.70
08:24:49;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.53;11.10;3.70
08:24:51;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.52;11.10;3.70
08:24:53;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.52;11.10;3.60
08:24:55;-18.10;-30.00;-30.07;21.50;-18.50;-18.10;-20.52;11.00;3.70
08:24:57;-18.10;-30.00;-30.07;21.50;-18.50;-18.10;-20.52;11.00;3.70
08:24:59;-18.10;-30.00;-30.07;21.50;-18.40;-18.10;-20.53;11.00;3.60
08:25:01;-18.10;-30.00;-30.05;21.50;-18.40;-18.20;-20.54;11.00;3.60
08:25:03;-18.10;-30.00;-30.05;21.50;-18.50;-18.10;-20.54;11.00;3.70
08:25:05;-18.10;-30.00;-30.05;21.50;-18.50;-18.10;-20.54;11.00;3.70
08:25:07;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.55;11.00;3.70
08:25:09;-18.10;-30.00;-30.08;21.50;-18.50;-18.10;-20.54;11.00;3.70
08:25:11;-18.10;-30.00;-30.07;21.50;-18.50;-18.10;-20.55;11.00;3.70
08:25:13;-18.10;-30.00;-30.06;21.50;-18.50;-18.10;-20.54;10.90;3.70
08:25:15;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.54;10.90;3.70
08:25:17;-18.10;-30.00;-30.04;21.50;-18.50;-18.10;-20.54;10.90;3.70
08:25:19;-18.10;-30.00;-30.03;21.50;-18.50;-18.10;-20.53;10.90;3.60
08:25:21;-18.10;-30.00;-30.03;21.50;-18.40;-18.10;-20.53;10.90;3.70
08:25:23;-18.10;-30.00;-30.03;21.50;-18.40;-18.10;-20.54;10.80;3.70
08:25:25;-18.10;-30.00;-30.04;21.50;-18.50;-18.20;-20.55;10.80;3.70
08:25:27;-18.10;-30.00;-30.04;21.50;-18.40;-18.10;-20.55;10.80;3.60
08:25:29;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.56;10.80;3.70
08:25:31;-18.10;-30.00;-30.06;21.50;-18.40;-18.10;-20.55;10.80;3.70
08:25:33;-18.10;-30.00;-30.05;21.50;-18.40;-18.20;-20.54;10.80;3.70
08:25:35;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.54;10.80;3.70
08:25:37;-18.10;-30.00;-30.06;21.50;-18.40;-18.20;-20.54;10.70;3.70
08:25:39;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.54;10.70;3.70
08:25:41;-18.10;-30.00;-30.04;21.50;-18.40;-18.10;-20.54;10.70;3.70
08:25:43;-18.10;-30.00;-30.04;21.50;-18.40;-18.10;-20.53;10.70;3.70
08:25:45;-18.10;-30.00;-30.04;21.50;-18.40;-18.10;-20.53;10.70;3.70
08:25:47;-18.10;-30.00;-30.04;21.50;-18.40;-18.10;-20.54;10.70;3.70
08:25:49;-18.10;-30.00;-30.05;21.40;-18.40;-18.10;-20.53;10.60;3.70
08:25:51;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.53;10.60;3.70
08:25:53;-18.10;-30.00;-30.05;21.50;-18.40;-18.10;-20.54;10.60;3.70
08:25:55;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.55;10.50;3.70
08:25:57;-18.10;-30.00;-30.03;21.50;-18.40;-18.10;-20.54;10.50;3.70
08:25:59;-18.10;-30.00;-30.02;21.40;-18.40;-18.10;-20.53;10.50;3.70
08:26:01;-18.10;-30.00;-30.02;21.40;-18.40;-18.20;-20.53;10.50;3.70
08:26:03;-18.10;-30.00;-30.03;21.40;-18.40;-18.20;-20.54;10.50;3.70
08:26:05;-18.10;-30.00;-30.03;21.40;-18.40;-18.10;-20.53;10.50;3.70
08:26:07;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.53;10.50;3.70
08:26:09;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.54;10.50;3.70
08:26:11;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.55;10.50;3.70
08:26:13;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.54;10.50;3.60
08:26:15;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.54;10.50;3.70
08:26:17;-18.10;-30.00;-30.05;21.40;-18.40;-18.10;-20.54;10.50;3.70
08:26:19;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.53;10.40;3.70
08:26:21;-18.10;-30.00;-30.02;21.40;-18.40;-18.10;-20.53;10.40;3.70
08:26:23;-18.10;-30.00;-30.03;21.40;-18.40;-18.10;-20.53;10.40;3.70
08:26:25;-18.10;-30.00;-30.04;21.40;-18.40;-18.10;-20.53;10.40;3.70
08:26:27;-18.10;-30.00;-30.04;21.40;-18.30;-18.20;-20.54;10.40;3.70
08:26:29;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.54;10.40;3.70
08:26:31;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.54;10.40;3.70
08:26:33;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.52;10.40;3.70
08:26:35;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.52;10.40;3.70
08:26:37;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.51;10.30;3.70
08:26:39;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.52;10.30;3.70
08:26:41;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.52;10.30;3.70
08:26:43;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.54;10.30;3.70
08:26:45;-18.10;-30.00;-30.05;21.40;-18.30;-18.10;-20.53;10.30;3.70
08:26:47;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.53;10.30;3.70
08:26:49;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.53;10.30;3.70
08:26:51;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.53;10.30;3.70
08:26:53;-18.10;-30.00;-30.02;21.40;-18.30;-18.10;-20.52;10.20;3.70
08:26:55;-18.10;-30.00;-30.02;21.40;-18.30;-18.20;-20.53;10.20;3.70
08:26:57;-18.10;-30.00;-30.02;21.40;-18.30;-18.10;-20.53;10.20;3.80
08:26:59;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.52;10.20;3.70
08:27:01;-18.10;-30.00;-30.02;21.40;-18.30;-18.10;-20.52;10.20;3.70
08:27:03;-18.10;-30.00;-30.02;21.40;-18.30;-18.20;-20.52;10.10;3.70
08:27:05;-18.10;-30.00;-30.02;21.40;-18.30;-18.10;-20.52;10.10;3.70
08:27:07;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.52;10.10;3.70
08:27:09;-18.10;-30.00;-30.03;21.40;-18.30;-18.10;-20.53;10.10;3.70
08:27:11;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.53;10.10;3.70
08:27:13;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.54;10.10;3.70
08:27:15;-18.10;-30.00;-30.04;21.40;-18.30;-18.10;-20.54;10.00;3.70
08:27:17;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.55;10.10;3.70
08:27:19;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.55;10.10;3.70
08:27:21;-18.10;-30.00;-30.05;21.30;-18.30;-18.10;-20.55;10.00;3.70
08:27:23;-18.10;-30.00;-30.03;21.30;-18.30;-18.10;-20.55;10.00;3.70
08:27:25;-18.10;-30.00;-30.03;21.30;-18.30;-18.10;-20.53;10.00;3.70
08:27:27;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.53;10.00;3.70
08:27:29;-18.10;-30.00;-30.05;21.30;-18.30;-18.10;-20.54;10.00;3.70
08:27:31;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.53;10.00;3.70
08:27:33;-18.10;-30.00;-30.03;21.30;-18.30;-18.10;-20.53;10.00;3.70
08:27:35;-18.10;-30.00;-30.03;21.30;-18.30;-18.20;-20.54;10.00;3.70
08:27:37;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.54;9.90;3.70
08:27:39;-18.10;-30.00;-30.02;21.30;-18.30;-18.20;-20.54;10.00;3.70
08:27:41;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.54;9.90;3.70
08:27:43;-18.10;-30.00;-30.02;21.30;-18.30;-18.20;-20.53;9.90;3.70
08:27:45;-18.10;-30.00;-30.02;21.30;-18.30;-18.20;-20.54;9.90;3.70
08:27:47;-18.10;-30.00;-30.02;21.30;-18.30;-18.20;-20.53;9.90;3.70
08:27:49;-18.10;-30.00;-30.02;21.30;-18.30;-18.20;-20.53;9.90;3.70
08:27:51;-18.10;-30.00;-30.01;21.30;-18.30;-18.20;-20.53;9.90;3.70
08:27:53;-18.10;-30.00;-29.99;21.30;-18.30;-18.10;-20.52;9.80;3.70
08:27:55;-18.10;-30.00;-30.00;21.30;-18.30;-18.10;-20.53;9.90;3.70
08:27:57;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.53;9.90;3.70
08:27:59;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.52;9.80;3.70
08:28:01;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.53;9.80;3.70
08:28:03;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.52;9.80;3.70
08:28:05;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.51;9.80;3.70
08:28:07;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.51;9.80;3.80
08:28:09;-18.10;-30.00;-30.01;21.30;-18.30;-18.10;-20.52;9.80;3.70
08:28:11;-18.10;-30.00;-30.01;21.30;-18.30;-18.10;-20.52;9.80;3.70
08:28:13;-18.10;-30.00;-30.00;21.30;-18.30;-18.10;-20.53;9.80;3.70
08:28:15;-18.10;-30.00;-30.00;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:17;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.51;9.70;3.70
08:28:19;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:21;-18.10;-30.00;-30.03;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:23;-18.10;-30.00;-30.04;21.30;-18.30;-18.10;-20.50;9.70;3.70
08:28:25;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:27;-18.10;-30.00;-30.01;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:29;-18.10;-30.00;-30.01;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:31;-18.10;-30.00;-30.01;21.20;-18.30;-18.10;-20.52;9.70;3.70
08:28:33;-18.10;-30.00;-30.02;21.30;-18.30;-18.10;-20.52;9.70;3.70
08:28:35;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.53;9.70;3.70
08:28:37;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.52;9.70;3.70
08:28:39;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.53;9.70;3.70
08:28:41;-18.10;-30.00;-30.02;21.20;-18.30;-18.10;-20.53;9.70;3.70
08:28:43;-18.10;-30.00;-30.01;21.20;-18.30;-18.10;-20.52;9.70;3.80
08:28:45;-18.10;-30.00;-30.00;21.20;-18.30;-18.10;-20.52;9.60;3.70
08:28:47;-18.10;-30.00;-30.00;21.20;-18.30;-18.10;-20.52;9.60;3.70
08:28:49;-18.10;-30.00;-30.00;21.20;-18.30;-18.10;-20.53;9.60;3.70
08:28:51;-18.10;-30.00;-30.01;21.20;-18.30;-18.10;-20.54;9.60;3.70
08:28:53;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.52;9.60;3.70
08:28:55;-18.10;-30.00;-30.05;21.20;-18.30;-18.10;-20.52;9.60;3.70
08:28:57;-18.10;-30.00;-30.05;21.20;-18.30;-18.10;-20.51;9.60;3.70
08:28:59;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.51;9.60;3.70
08:29:01;-18.10;-30.00;-30.01;21.20;-18.30;-18.10;-20.51;9.60;3.70
08:29:03;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.50;9.50;3.70
08:29:05;-18.10;-30.00;-30.01;21.10;-18.30;-18.10;-20.50;9.60;3.70
08:29:07;-18.10;-30.00;-29.97;21.20;-18.30;-18.10;-20.51;9.50;3.70
08:29:09;-18.10;-30.00;-29.99;21.20;-18.30;-18.10;-20.51;9.50;3.70
08:29:11;-18.10;-30.00;-30.01;21.10;-18.30;-18.10;-20.52;9.50;3.70
08:29:13;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.52;9.50;3.70
08:29:15;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.50;3.70
08:29:17;-18.10;-30.00;-30.00;21.20;-18.30;-18.10;-20.51;9.50;3.70
08:29:20;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.50;3.80
08:29:21;-18.10;-30.00;-30.03;21.20;-18.30;-18.10;-20.53;9.40;3.70
08:29:23;-18.10;-30.00;-30.04;21.20;-18.30;-18.10;-20.54;9.50;3.70
08:29:25;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.40;3.70
08:29:27;-18.10;-30.00;-29.99;21.10;-18.30;-18.10;-20.50;9.40;3.70
08:29:29;-18.10;-30.00;-30.00;21.10;-18.30;-18.10;-20.52;9.40;3.70
08:29:31;-18.10;-30.00;-30.01;21.10;-18.30;-18.10;-20.52;9.40;3.70
08:29:33;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.40;3.70
08:29:35;-18.10;-30.00;-30.04;21.10;-18.30;-18.10;-20.52;9.40;3.80
08:29:37;-18.10;-30.00;-30.04;21.10;-18.30;-18.10;-20.52;9.40;3.70
08:29:40;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.51;9.30;3.70
08:29:41;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.51;9.30;3.70
08:29:44;-18.10;-30.00;-30.05;21.10;-18.30;-18.10;-20.52;9.30;3.80
08:29:45;-18.10;-30.00;-30.04;21.10;-18.30;-18.10;-20.52;9.30;3.70
08:29:47;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.30;3.70
08:29:49;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.20;3.70
08:29:51;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.20;3.70
08:29:53;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.20;3.70
08:29:56;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.20;3.70
08:29:57;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.51;9.20;3.70
08:30:00;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.20;3.70
08:30:01;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.10;3.70
08:30:04;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.10;3.80
08:30:06;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.10;3.80
08:30:07;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.51;9.10;3.70
08:30:09;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.50;9.10;3.70
08:30:12;-18.10;-30.00;-30.01;21.10;-18.30;-18.10;-20.49;9.10;3.70
08:30:14;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.50;9.10;3.70
08:30:16;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.10;3.80
08:30:17;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.10;3.70
08:30:19;-18.10;-30.00;-30.00;21.10;-18.30;-18.10;-20.52;9.10;3.80
08:30:22;-18.10;-30.00;-30.00;21.10;-18.30;-18.10;-20.52;9.10;3.70
08:30:23;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.10;3.70
08:30:26;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.10;3.80
08:30:28;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.00;3.70
08:30:30;-18.10;-30.00;-30.03;21.10;-18.30;-18.10;-20.52;9.00;3.70
08:30:32;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.10;3.80
08:30:33;-18.10;-30.00;-30.00;21.10;-18.30;-18.10;-20.50;9.00;3.80
08:30:35;-18.10;-30.00;-30.02;21.10;-18.30;-18.20;-20.50;9.10;3.70
08:30:38;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.52;9.00;3.80
08:30:40;-18.10;-30.00;-30.02;21.10;-18.30;-18.10;-20.51;9.00;3.70
08:30:42;-18.10;-30.00;-29.98;21.10;-18.30;-18.10;-20.52;9.00;3.70
08:30:44;-18.10;-30.00;-29.97;21.10;-18.30;-18.10;-20.52;9.00;3.80
