time (14.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:57:36;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.96;9.20;4.30
14:57:38;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.86;9.20;4.30
14:57:40;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-13.94;9.20;4.30
14:57:42;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-13.98;9.20;4.30
14:57:44;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-13.99;9.20;4.30
14:57:46;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-14.02;9.20;4.30
14:57:48;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.01;9.20;4.40
14:57:50;-18.10;-30.00;-30.00;17.00;-17.80;-18.00;-14.02;9.20;4.30
14:57:52;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.02;9.20;4.30
14:57:54;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.04;9.20;4.40
14:57:56;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.03;9.20;4.30
14:57:58;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-14.07;9.20;4.30
14:58:00;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.06;9.20;4.30
14:58:02;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-14.01;9.20;4.30
14:58:04;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.03;9.20;4.30
14:58:06;-18.10;-30.00;-30.00;17.00;-17.80;-18.00;-14.00;9.20;4.30
14:58:08;-18.10;-30.00;-30.01;17.00;-17.80;-18.00;-13.97;9.20;4.30
14:58:10;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.00;9.20;4.30
14:58:12;-18.10;-30.00;-30.00;17.00;-17.80;-18.00;-13.96;9.20;4.30
14:58:14;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.94;9.10;4.30
14:58:16;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.95;9.10;4.30
14:58:18;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.99;9.10;4.30
14:58:20;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.96;9.10;4.30
14:58:22;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.95;9.10;4.40
14:58:24;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-14.03;9.10;4.30
14:58:26;-18.10;-30.00;-29.98;17.00;-17.80;-18.10;-13.97;9.10;4.30
14:58:28;-18.10;-30.00;-29.98;17.00;-17.80;-18.10;-14.02;9.10;4.30
14:58:30;-18.10;-30.00;-29.98;17.00;-17.80;-18.10;-13.98;9.10;4.30
14:58:32;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-14.00;9.10;4.30
14:58:34;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.90;9.10;4.30
14:58:36;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.97;9.10;4.30
14:58:38;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-14.00;9.10;4.30
14:58:40;-18.10;-30.00;-29.97;17.00;-17.80;-18.10;-13.97;9.10;4.30
14:58:42;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.96;9.10;4.30
14:58:44;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.98;9.10;4.30
14:58:46;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-13.96;9.10;4.30
14:58:48;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-13.96;9.10;4.30
14:58:50;-18.10;-30.00;-30.02;17.00;-17.80;-18.10;-13.94;9.10;4.30
14:58:52;-18.10;-30.00;-30.02;17.00;-17.80;-18.10;-13.91;9.10;4.30
14:58:54;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.89;9.10;4.30
14:58:56;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.93;9.10;4.30
14:58:58;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.87;9.10;4.30
14:59:00;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.91;9.10;4.30
14:59:02;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.82;9.10;4.30
14:59:04;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-13.89;9.10;4.30
14:59:06;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-13.90;9.10;4.30
14:59:08;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-13.96;9.10;4.30
14:59:10;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-13.97;9.10;4.30
