time (17.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:34:07;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.06;9.30;3.70
08:34:09;-18.10;-30.00;-30.03;22.00;-18.50;-18.10;-21.05;9.30;3.70
08:34:11;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.05;9.30;3.70
08:34:13;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.06;9.20;3.70
08:34:15;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.06;9.20;3.70
08:34:17;-18.10;-30.00;-29.99;22.00;-18.50;-18.10;-21.05;9.20;3.70
08:34:19;-18.10;-30.00;-30.00;22.00;-18.50;-18.10;-21.05;9.20;3.70
08:34:21;-18.10;-30.00;-30.01;22.00;-18.50;-18.10;-21.05;9.10;3.70
08:34:23;-18.10;-30.00;-30.01;22.00;-18.50;-18.10;-21.05;9.10;3.70
08:34:25;-18.10;-30.00;-30.01;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:27;-18.10;-30.00;-30.03;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:29;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:31;-18.10;-30.00;-30.00;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:33;-18.10;-30.00;-30.00;21.90;-18.50;-18.10;-21.05;9.10;3.70
08:34:35;-18.10;-30.00;-30.00;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:37;-18.10;-30.00;-30.01;21.90;-18.50;-18.10;-21.06;9.10;3.70
08:34:39;-18.10;-30.00;-30.02;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:41;-18.10;-30.00;-30.01;22.00;-18.50;-18.10;-21.06;9.10;3.70
08:34:43;-18.10;-30.00;-30.02;21.90;-18.50;-18.10;-21.06;9.10;3.70
08:34:45;-18.10;-30.00;-30.02;21.90;-18.50;-18.10;-21.06;9.10;3.70
