time (04.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:39:25;-18.10;-30.00;-29.99;18.10;-17.30;-18.10;-20.24;11.70;4.40
13:39:27;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.24;11.70;4.40
13:39:29;-18.10;-30.00;-29.96;18.00;-17.30;-18.10;-20.24;11.70;4.40
13:39:31;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.70;4.40
13:39:33;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.60;4.40
13:39:35;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:39:37;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.25;11.60;4.40
13:39:39;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.26;11.70;4.40
13:39:41;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.70;4.40
13:39:43;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:39:45;-18.10;-30.00;-29.97;18.00;-17.40;-18.10;-20.23;11.60;4.40
13:39:47;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:39:49;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.25;11.60;4.40
13:39:51;-18.10;-30.00;-29.98;18.00;-17.40;-18.10;-20.25;11.60;4.40
13:39:53;-18.10;-30.00;-29.98;18.00;-17.40;-18.10;-20.27;11.60;4.40
13:39:55;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.26;11.60;4.40
13:39:57;-18.10;-30.00;-29.98;18.00;-17.40;-18.10;-20.26;11.60;4.40
13:39:59;-18.10;-30.00;-29.97;18.10;-17.30;-18.10;-20.26;11.60;4.40
13:40:01;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.60;4.50
13:40:03;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.21;11.60;4.40
13:40:05;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.21;11.60;4.40
13:40:07;-18.10;-30.00;-29.99;18.00;-17.30;-18.10;-20.23;11.60;4.40
13:40:09;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:40:11;-18.10;-30.00;-29.96;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:40:13;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.60;4.40
13:40:15;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.60;4.40
13:40:17;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.25;11.50;4.40
13:40:19;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.26;11.50;4.40
13:40:21;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.27;11.50;4.40
13:40:23;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.24;11.50;4.40
13:40:25;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.50;4.40
13:40:27;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.50;4.40
13:40:29;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.24;11.50;4.40
13:40:31;-18.10;-30.00;-29.97;18.00;-17.40;-18.10;-20.26;11.50;4.40
13:40:33;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.26;11.50;4.30
13:40:35;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.26;11.50;4.30
13:40:37;-18.10;-30.00;-29.98;18.00;-17.40;-18.10;-20.27;11.50;4.40
13:40:39;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.27;11.40;4.30
13:40:41;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.27;11.40;4.40
13:40:43;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.25;11.40;4.40
13:40:45;-18.10;-30.00;-29.97;18.00;-17.30;-18.10;-20.25;11.50;4.40
13:40:47;-18.10;-30.00;-29.98;18.00;-17.30;-18.10;-20.26;11.40;4.40
13:40:49;-18.10;-30.00;-29.99;18.00;-17.30;-18.10;-20.26;11.40;4.40
13:40:51;-18.10;-30.00;-30.00;18.00;-17.30;-18.10;-20.26;11.40;4.40
13:40:53;-18.10;-30.00;-29.99;18.00;-17.40;-18.10;-20.25;11.40;4.30
13:40:55;-18.10;-30.00;-30.00;18.00;-17.40;-18.10;-20.25;11.40;4.40
13:40:57;-18.10;-30.00;-29.99;18.00;-17.30;-18.10;-20.24;11.40;4.30
