time (07.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:43:30;-18.10;-30.00;-29.87;19.10;-18.10;-18.30;-20.73;22.30;5.10
10:43:32;-18.10;-30.00;-29.87;19.10;-18.10;-18.30;-20.72;22.40;5.00
10:43:34;-18.10;-30.00;-29.88;19.10;-18.10;-18.30;-20.72;22.40;5.00
10:43:36;-18.10;-30.00;-29.89;19.10;-18.10;-18.30;-20.71;22.30;5.00
10:43:38;-18.10;-30.00;-29.90;19.10;-18.10;-18.30;-20.70;22.20;5.10
10:43:40;-18.10;-30.00;-29.91;19.10;-18.10;-18.30;-20.69;22.20;5.10
10:43:42;-18.10;-30.00;-29.93;19.10;-18.10;-18.30;-20.69;22.20;5.10
10:43:44;-18.10;-30.00;-29.95;19.10;-18.10;-18.30;-20.68;22.20;5.00
10:43:46;-18.10;-30.00;-29.97;19.10;-18.10;-18.30;-20.67;22.20;5.10
10:43:48;-18.10;-30.00;-29.98;19.10;-18.10;-18.30;-20.66;22.30;5.10
10:43:50;-18.10;-30.00;-29.97;19.10;-18.10;-18.30;-20.65;22.30;5.10
10:43:52;-18.10;-30.00;-29.98;19.10;-18.10;-18.30;-20.64;22.20;5.10
10:43:54;-18.10;-30.00;-29.97;19.10;-18.10;-18.30;-20.63;22.30;5.10
10:43:56;-18.10;-30.00;-29.98;19.10;-18.10;-18.30;-20.61;22.20;5.10
10:43:58;-18.10;-30.00;-29.99;19.10;-18.10;-18.20;-20.60;22.20;5.00
10:44:00;-18.10;-30.00;-30.01;19.10;-18.10;-18.20;-20.59;22.30;5.10
10:44:02;-18.10;-30.00;-29.99;19.10;-18.10;-18.20;-20.58;22.20;5.10
10:44:04;-18.10;-30.00;-29.98;19.10;-18.10;-18.10;-20.57;22.20;5.10
10:44:06;-18.10;-30.00;-29.98;19.10;-18.10;-18.10;-20.56;22.20;5.10
10:44:08;-18.10;-30.00;-29.98;19.10;-18.00;-18.10;-20.55;22.20;5.00
10:44:10;-18.10;-30.00;-30.00;19.10;-18.00;-18.10;-20.54;22.10;5.00
10:44:12;-18.10;-30.00;-30.00;19.10;-18.00;-18.10;-20.54;22.10;5.00
10:44:14;-18.10;-30.00;-30.00;19.10;-18.00;-18.10;-20.53;22.00;5.10
10:44:16;-18.10;-30.00;-30.01;19.10;-18.00;-18.10;-20.53;22.00;5.00
10:44:18;-18.10;-30.00;-30.02;19.10;-18.00;-18.10;-20.53;21.90;5.00
10:44:20;-18.10;-30.00;-30.03;19.10;-18.00;-18.10;-20.53;21.90;5.00
10:44:22;-18.10;-30.00;-30.03;19.10;-18.00;-18.10;-20.53;21.80;5.00
10:44:24;-18.10;-30.00;-30.05;19.10;-17.90;-18.10;-20.53;21.70;5.00
10:44:26;-18.10;-30.00;-30.06;19.10;-17.90;-18.10;-20.53;21.70;5.00
10:44:28;-18.10;-30.00;-30.07;19.10;-17.90;-18.10;-20.52;21.70;5.00
10:44:30;-18.10;-30.00;-30.05;19.10;-17.90;-18.10;-20.52;21.70;5.00
10:44:32;-18.10;-30.00;-30.04;19.10;-17.90;-18.10;-20.52;21.60;5.00
10:44:34;-18.10;-30.00;-30.05;19.10;-17.90;-18.10;-20.52;21.60;5.00
10:44:36;-18.10;-30.00;-30.06;19.10;-17.90;-18.10;-20.52;21.60;5.00
10:44:38;-18.10;-30.00;-30.06;19.10;-17.90;-18.10;-20.51;21.50;5.00
10:44:40;-18.10;-30.00;-30.06;19.10;-17.90;-18.10;-20.51;21.50;5.00
10:44:42;-18.10;-30.00;-30.06;19.10;-17.90;-18.10;-20.51;21.50;5.10
10:44:44;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.50;21.50;5.00
10:44:46;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.50;21.50;5.00
10:44:48;-18.10;-30.00;-30.09;19.10;-17.90;-18.10;-20.50;21.50;5.00
10:44:50;-18.10;-30.00;-30.09;19.10;-17.90;-18.10;-20.50;21.50;5.10
10:44:52;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.50;21.40;5.00
10:44:54;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.50;21.40;5.00
10:44:56;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.49;21.40;5.00
10:44:58;-18.10;-30.00;-30.07;19.10;-17.90;-18.10;-20.49;21.40;5.00
10:45:00;-18.10;-30.00;-30.08;19.10;-17.90;-18.00;-20.49;21.40;5.10
10:45:02;-18.10;-30.00;-30.08;19.10;-17.90;-18.00;-20.48;21.30;5.10
10:45:04;-18.10;-30.00;-30.07;19.10;-17.90;-18.10;-20.48;21.30;5.10
10:45:06;-18.10;-30.00;-30.07;19.10;-17.90;-18.00;-20.47;21.30;5.00
10:45:08;-18.10;-30.00;-30.08;19.10;-17.90;-18.00;-20.47;21.30;5.00
10:45:11;-18.10;-30.00;-30.09;19.10;-17.90;-18.10;-20.47;21.30;5.00
10:45:12;-18.10;-30.00;-30.09;19.10;-17.90;-18.10;-20.47;21.20;5.00
10:45:14;-18.10;-30.00;-30.08;19.10;-17.90;-18.10;-20.47;21.20;5.10
10:45:16;-18.10;-30.00;-30.07;19.10;-17.90;-18.00;-20.47;21.30;5.00
10:45:18;-18.10;-30.00;-30.07;19.10;-17.90;-18.00;-20.47;21.20;5.00
10:45:20;-18.10;-30.00;-30.07;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:22;-18.10;-30.00;-30.07;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:24;-18.10;-30.00;-30.07;19.10;-17.90;-18.00;-20.47;21.20;5.00
10:45:26;-18.10;-30.00;-30.08;19.10;-17.90;-18.00;-20.46;21.20;5.00
10:45:28;-18.10;-30.00;-30.08;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:30;-18.10;-30.00;-30.08;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:32;-18.10;-30.00;-30.08;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:34;-18.10;-30.00;-30.07;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:36;-18.10;-30.00;-30.07;19.10;-17.80;-18.00;-20.47;21.20;5.00
10:45:38;-18.10;-30.00;-30.07;19.10;-17.80;-18.10;-20.48;21.10;5.00
10:45:40;-18.10;-30.00;-30.08;19.10;-17.80;-18.10;-20.48;21.20;5.00
10:45:42;-18.10;-30.00;-30.08;19.10;-17.80;-18.00;-20.48;21.10;5.00
10:45:44;-18.10;-30.00;-30.08;19.10;-17.80;-18.10;-20.48;21.10;5.00
10:45:46;-18.10;-30.00;-30.08;19.10;-17.80;-18.10;-20.49;21.10;5.00
10:45:48;-18.10;-30.00;-30.07;19.10;-17.80;-18.10;-20.49;21.10;5.00
10:45:50;-18.10;-30.00;-30.07;19.10;-17.80;-18.10;-20.49;21.10;5.00
10:45:52;-18.10;-30.00;-30.08;19.10;-17.80;-18.10;-20.49;21.00;5.00
10:45:54;-18.10;-30.00;-30.08;19.10;-17.80;-18.10;-20.49;21.10;5.00
10:45:56;-18.10;-30.00;-30.08;19.10;-17.80;-18.00;-20.48;21.00;5.00
10:45:58;-18.10;-30.00;-30.06;19.10;-17.80;-18.10;-20.48;21.00;5.00
10:46:00;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.48;21.00;5.00
10:46:02;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.48;21.00;5.00
10:46:04;-18.10;-30.00;-30.05;19.10;-17.70;-18.00;-20.47;21.00;5.00
10:46:06;-18.10;-30.00;-30.05;19.10;-17.70;-18.00;-20.47;21.00;5.00
10:46:09;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.48;21.00;5.00
10:46:11;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.48;21.00;5.00
10:46:12;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.48;21.00;5.00
10:46:14;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.48;21.00;4.90
10:46:16;-18.10;-30.00;-30.07;19.10;-17.70;-18.00;-20.48;21.00;4.90
10:46:18;-18.10;-30.00;-30.07;19.10;-17.70;-18.00;-20.49;21.00;5.00
10:46:20;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.49;21.00;5.00
10:46:22;-18.10;-30.00;-30.06;19.10;-17.70;-18.00;-20.50;20.90;4.90
10:46:24;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.50;20.90;5.00
10:46:26;-18.10;-30.00;-30.07;19.10;-17.70;-18.00;-20.50;20.90;5.00
10:46:29;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.51;20.90;5.00
10:46:31;-18.10;-30.00;-30.06;19.10;-17.70;-18.10;-20.51;20.80;5.00
10:46:32;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.51;20.80;5.00
10:46:34;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.80;5.00
10:46:36;-18.10;-30.00;-30.06;19.10;-17.70;-18.10;-20.52;20.80;5.00
10:46:38;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.52;20.80;5.00
10:46:40;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.52;20.70;4.90
10:46:42;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.52;20.70;5.00
10:46:44;-18.10;-30.00;-30.06;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:46:46;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:46:49;-18.10;-30.00;-30.08;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:46:51;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.70;5.00
10:46:52;-18.10;-30.00;-30.06;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:46:54;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.70;4.90
10:46:56;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.70;5.00
10:46:58;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.53;20.70;4.90
10:47:01;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:47:03;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.70;5.00
10:47:05;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.52;20.70;5.00
10:47:07;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.52;20.60;5.00
10:47:09;-18.10;-30.00;-30.08;19.00;-17.70;-18.10;-20.53;20.60;4.90
10:47:11;-18.10;-30.00;-30.08;19.00;-17.70;-18.10;-20.52;20.60;5.00
10:47:13;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.52;20.60;4.90
10:47:15;-18.10;-30.00;-30.07;19.10;-17.70;-18.10;-20.53;20.60;4.90
10:47:17;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.53;20.60;4.90
10:47:19;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.53;20.70;5.00
10:47:21;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.53;20.70;5.00
10:47:23;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.53;20.60;5.00
10:47:25;-18.10;-30.00;-30.05;19.00;-17.70;-18.10;-20.53;20.70;4.90
10:47:27;-18.10;-30.00;-30.03;19.10;-17.70;-18.10;-20.53;20.70;5.00
10:47:29;-18.10;-30.00;-30.05;19.00;-17.70;-18.00;-20.54;20.70;5.00
10:47:31;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.54;20.70;5.00
10:47:33;-18.10;-30.00;-30.05;19.10;-17.70;-18.10;-20.54;20.70;5.00
10:47:35;-18.10;-30.00;-30.05;19.00;-17.70;-18.10;-20.54;20.70;5.00
10:47:37;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.54;20.60;5.00
10:47:39;-18.10;-30.00;-30.05;19.00;-17.70;-18.10;-20.54;20.60;5.00
10:47:41;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.55;20.60;4.90
10:47:43;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.55;20.50;4.90
10:47:45;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.55;20.50;5.00
10:47:47;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.55;20.40;5.00
10:47:49;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.55;20.40;4.90
10:47:51;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.56;20.40;4.90
10:47:53;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.56;20.40;4.90
10:47:55;-18.10;-30.00;-30.03;19.00;-17.70;-18.10;-20.56;20.40;4.90
10:47:57;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.56;20.30;4.90
10:47:59;-18.10;-30.00;-30.05;19.00;-17.70;-18.10;-20.56;20.30;4.90
10:48:01;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.56;20.30;5.00
10:48:03;-18.10;-30.00;-30.07;19.00;-17.70;-18.20;-20.57;20.30;5.00
10:48:05;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.57;20.20;4.90
10:48:07;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.57;20.20;4.90
10:48:09;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.57;20.20;4.90
10:48:11;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.57;20.20;5.00
10:48:13;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.58;20.20;4.90
10:48:15;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.57;20.10;5.00
10:48:17;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.58;20.10;4.90
10:48:19;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.58;20.10;4.90
10:48:21;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.58;20.00;5.00
10:48:23;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.58;20.00;4.90
10:48:25;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.57;20.00;4.90
10:48:27;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.57;20.00;4.90
10:48:29;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.57;20.00;4.90
10:48:31;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.57;20.00;4.90
10:48:33;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.57;20.00;4.90
10:48:35;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.56;19.90;4.90
10:48:37;-18.10;-30.00;-30.07;19.00;-17.70;-18.10;-20.56;20.00;4.90
10:48:39;-18.10;-30.00;-30.06;19.00;-17.70;-18.10;-20.55;19.90;4.90
10:48:41;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.55;20.00;4.90
10:48:43;-18.10;-30.00;-29.99;19.00;-17.70;-18.20;-20.55;19.90;4.80
10:48:45;-18.10;-30.00;-30.00;19.00;-17.70;-18.20;-20.55;19.90;4.90
10:48:47;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.55;19.90;4.90
10:48:49;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.55;19.90;5.00
10:48:51;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.55;19.90;5.00
10:48:53;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:48:55;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:48:57;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:48:59;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:49:01;-18.10;-30.00;-30.01;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:49:03;-18.10;-30.00;-30.01;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:49:05;-18.10;-30.00;-30.03;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:49:07;-18.10;-30.00;-30.03;19.00;-17.70;-18.10;-20.55;19.80;4.90
10:49:09;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.55;19.70;4.90
10:49:11;-18.10;-30.00;-30.03;19.00;-17.70;-18.10;-20.55;19.70;4.90
10:49:13;-18.10;-30.00;-30.00;19.00;-17.70;-18.20;-20.56;19.70;4.90
10:49:15;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.56;19.60;5.00
10:49:17;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.56;19.60;4.90
10:49:19;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.56;19.60;4.90
10:49:21;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:23;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:25;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:27;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:29;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:31;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.57;19.60;4.90
10:49:33;-18.10;-30.00;-30.00;19.00;-17.70;-18.20;-20.56;19.50;4.90
10:49:35;-18.10;-30.00;-30.01;19.00;-17.70;-18.20;-20.56;19.60;4.90
10:49:37;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.56;19.50;4.90
10:49:39;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.55;19.50;4.90
10:49:41;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.55;19.60;4.90
10:49:43;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.55;19.50;4.90
10:49:45;-18.10;-30.00;-30.01;19.00;-17.70;-18.10;-20.55;19.50;4.90
10:49:47;-18.10;-30.00;-29.99;19.00;-17.70;-18.10;-20.55;19.50;4.90
10:49:49;-18.10;-30.00;-29.99;19.00;-17.70;-18.10;-20.55;19.40;4.90
10:49:51;-18.10;-30.00;-30.00;19.00;-17.70;-18.10;-20.55;19.40;4.90
10:49:53;-18.10;-30.00;-30.01;19.00;-17.70;-18.10;-20.55;19.40;4.90
10:49:55;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.55;19.30;4.90
10:49:57;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.55;19.30;4.90
10:49:59;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.55;19.30;4.90
10:50:01;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.56;19.30;4.80
10:50:03;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.56;19.20;4.90
10:50:05;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.56;19.20;4.80
10:50:07;-18.10;-30.00;-30.03;19.00;-17.70;-18.10;-20.56;19.20;4.80
10:50:09;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.55;19.20;4.80
10:50:11;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.56;19.20;4.90
10:50:13;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.55;19.20;4.90
10:50:15;-18.10;-30.00;-30.02;19.00;-17.70;-18.20;-20.55;19.10;4.90
10:50:17;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.55;19.10;4.80
10:50:19;-18.10;-30.00;-30.05;19.00;-17.70;-18.20;-20.55;19.10;4.90
10:50:21;-18.10;-30.00;-30.06;19.00;-17.70;-18.20;-20.55;19.10;4.90
10:50:23;-18.10;-30.00;-30.07;19.00;-17.70;-18.20;-20.55;19.10;4.90
10:50:25;-18.10;-30.00;-30.04;19.00;-17.70;-18.20;-20.55;19.00;4.80
10:50:27;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.55;19.00;4.90
10:50:29;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.54;19.00;4.90
10:50:31;-18.10;-30.00;-30.02;19.00;-17.70;-18.10;-20.54;19.00;4.90
10:50:33;-18.10;-30.00;-30.03;19.00;-17.70;-18.20;-20.53;19.00;4.80
10:50:35;-18.10;-30.00;-30.04;19.00;-17.70;-18.10;-20.53;19.00;4.80
