time (27.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:02:58;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.44;9.20;4.00
13:03:00;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.45;9.20;4.00
13:03:02;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.45;9.20;4.10
13:03:04;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.45;9.20;4.00
13:03:06;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.45;9.20;4.10
13:03:08;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.46;9.20;4.10
13:03:10;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.44;9.20;4.10
13:03:12;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.42;9.20;4.10
13:03:14;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.42;9.20;4.00
13:03:16;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:03:18;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.42;9.20;4.10
13:03:20;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.42;9.20;4.10
13:03:22;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.43;9.20;4.10
13:03:24;-18.10;-30.00;-29.97;17.00;-17.90;-18.10;-16.43;9.20;4.10
13:03:26;-18.10;-30.00;-29.97;17.00;-17.90;-18.00;-16.42;9.20;4.10
13:03:28;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:03:30;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:32;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:34;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:03:36;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:38;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:40;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:42;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:44;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:46;-18.10;-30.00;-29.99;17.00;-17.90;-18.00;-16.40;9.20;4.00
13:03:48;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:03:50;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.20;4.00
13:03:52;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:54;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:03:56;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.39;9.20;4.00
13:03:58;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.00
13:04:00;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.37;9.20;4.00
13:04:02;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.39;9.20;4.10
13:04:04;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:04:06;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:04:08;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:04:10;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:04:12;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:04:14;-18.10;-30.00;-30.02;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:04:16;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:04:18;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:04:20;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.38;9.20;4.10
13:04:22;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.39;9.20;4.00
13:04:24;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.38;9.20;4.00
13:04:26;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:28;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.37;9.20;4.00
13:04:30;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:32;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.38;9.20;4.00
13:04:34;-18.10;-30.00;-29.99;17.00;-17.90;-18.00;-16.37;9.20;4.00
13:04:36;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:38;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:40;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-16.38;9.20;4.10
13:04:42;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:04:44;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:04:46;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:48;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.10;4.10
13:04:50;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:52;-18.10;-30.00;-30.01;17.00;-17.90;-18.00;-16.39;9.20;4.10
13:04:54;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:04:56;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:04:58;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.37;9.10;4.00
13:05:00;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.37;9.20;4.10
13:05:02;-18.10;-30.00;-29.99;17.00;-17.90;-18.00;-16.37;9.10;4.00
13:05:04;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.36;9.10;4.00
13:05:06;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-16.36;9.10;4.10
13:05:08;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.37;9.20;4.00
13:05:10;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.10;4.10
13:05:12;-18.10;-30.00;-29.99;17.00;-17.90;-18.00;-16.38;9.20;4.00
13:05:14;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.37;9.20;4.10
13:05:16;-18.10;-30.00;-29.98;17.00;-17.90;-18.00;-16.37;9.10;4.10
13:05:18;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.36;9.10;4.10
13:05:20;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.10;4.10
13:05:22;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.39;9.10;4.10
13:05:24;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.39;9.20;4.00
13:05:26;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.00
13:05:28;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.10;4.00
13:05:30;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:05:32;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.10;4.00
13:05:34;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.10;4.10
13:05:36;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.10
13:05:38;-18.10;-30.00;-29.97;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:05:40;-18.10;-30.00;-29.97;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:05:42;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:05:44;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:05:46;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.40;9.10;4.10
13:05:48;-18.10;-30.00;-30.00;17.00;-17.90;-18.00;-16.41;9.20;4.10
13:05:50;-18.10;-30.00;-30.01;17.00;-17.90;-18.00;-16.40;9.20;4.10
13:05:52;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.00
13:05:54;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.10;4.10
13:05:56;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.41;9.10;4.00
13:05:58;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.20;4.00
13:06:00;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.00
13:06:02;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.40;9.10;4.00
13:06:04;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.39;9.20;4.10
13:06:06;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.00
13:06:08;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.10;4.00
13:06:10;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.10;4.00
13:06:12;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.39;9.10;4.10
13:06:14;-18.10;-30.00;-29.98;17.00;-17.90;-18.10;-16.37;9.10;4.00
13:06:16;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.10;4.00
13:06:18;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.10;4.00
13:06:20;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.37;9.10;4.00
13:06:22;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.10
13:06:24;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.00
13:06:26;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.37;9.10;4.00
13:06:28;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.39;9.20;4.10
13:06:30;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.39;9.10;4.10
13:06:32;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.10
13:06:34;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.37;9.20;4.10
13:06:36;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.37;9.20;4.10
13:06:38;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.37;9.20;4.10
13:06:40;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.38;9.20;4.00
13:06:42;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.38;9.20;4.00
13:06:44;-18.10;-30.00;-29.97;16.90;-17.90;-18.00;-16.39;9.10;4.10
13:06:46;-18.10;-30.00;-29.99;17.00;-17.90;-18.00;-16.40;9.20;4.10
13:06:48;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:06:50;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:06:52;-18.10;-30.00;-30.01;17.00;-17.90;-18.00;-16.41;9.20;4.00
13:06:54;-18.10;-30.00;-30.01;16.90;-17.90;-18.00;-16.42;9.20;4.00
13:06:56;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.00
13:06:58;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.20;4.10
13:07:00;-18.10;-30.00;-29.99;17.00;-17.90;-18.10;-16.41;9.10;4.10
13:07:02;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:07:04;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.10;4.10
13:07:06;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.40;9.10;4.00
13:07:08;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.40;9.10;4.10
13:07:10;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.10;4.10
13:07:12;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.42;9.20;4.10
13:07:14;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.42;9.10;4.00
13:07:16;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.43;9.10;4.00
13:07:18;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.43;9.10;4.00
13:07:20;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:07:22;-18.10;-30.00;-30.02;17.00;-17.90;-18.10;-16.42;9.20;4.00
13:07:24;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.44;9.10;4.10
13:07:26;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.42;9.10;4.00
13:07:28;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.43;9.10;4.00
13:07:30;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.43;9.10;4.10
13:07:32;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.42;9.10;4.10
13:07:34;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.10;4.10
13:07:36;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:07:38;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:07:40;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.42;9.10;4.00
13:07:42;-18.10;-30.00;-29.98;16.90;-17.90;-18.10;-16.42;9.10;4.10
13:07:44;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.41;9.10;4.10
13:07:46;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.42;9.10;4.00
13:07:48;-18.10;-30.00;-30.00;16.90;-17.80;-18.10;-16.42;9.10;4.10
13:07:50;-18.10;-30.00;-30.00;17.00;-17.90;-18.10;-16.41;9.20;4.10
13:07:52;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:07:54;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.41;9.20;4.10
13:07:56;-18.10;-30.00;-30.01;17.00;-17.90;-18.10;-16.42;9.10;4.10
13:07:58;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:08:00;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.42;9.20;4.10
13:08:02;-18.10;-30.00;-30.01;16.90;-17.80;-18.10;-16.41;9.20;4.00
13:08:04;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.10;4.10
13:08:06;-18.10;-30.00;-29.97;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:08;-18.10;-30.00;-29.96;16.90;-17.90;-18.10;-16.42;9.10;4.00
13:08:10;-18.10;-30.00;-29.97;16.90;-17.90;-18.10;-16.42;9.10;4.00
13:08:12;-18.10;-30.00;-29.98;16.90;-17.90;-18.10;-16.42;9.20;4.10
13:08:14;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.41;9.20;4.10
13:08:16;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:18;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:20;-18.10;-30.00;-29.98;16.90;-17.90;-18.10;-16.42;9.20;4.10
13:08:22;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:08:24;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:08:26;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.41;9.20;4.10
13:08:28;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.10
13:08:30;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:32;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:34;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:36;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:38;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:08:40;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.43;9.20;4.10
13:08:42;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.44;9.20;4.10
13:08:44;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:08:46;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:08:48;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.43;9.10;4.10
13:08:50;-18.10;-30.00;-30.01;16.90;-17.90;-18.20;-16.41;9.10;4.00
13:08:52;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:08:54;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:56;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.00
13:08:58;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.42;9.10;4.00
13:09:00;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.41;9.20;4.10
13:09:02;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.41;9.10;4.00
13:09:04;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.42;9.20;4.00
13:09:06;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.43;9.10;4.00
13:09:08;-18.10;-30.00;-29.98;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:09:10;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:09:12;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:09:14;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.44;9.20;4.00
13:09:16;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.44;9.20;4.00
13:09:18;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.46;9.20;4.10
13:09:20;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:09:22;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.44;9.20;4.00
13:09:24;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.44;9.20;4.10
13:09:26;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.44;9.20;4.00
13:09:28;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:09:30;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:09:32;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.45;9.20;4.10
13:09:34;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.46;9.20;4.10
13:09:36;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:38;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:40;-18.10;-30.00;-30.00;16.90;-17.90;-18.20;-16.46;9.20;4.00
13:09:42;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.47;9.20;4.10
13:09:44;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.46;9.20;4.00
13:09:46;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:48;-18.10;-30.00;-30.02;16.90;-17.90;-18.10;-16.47;9.20;4.10
13:09:50;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:52;-18.10;-30.00;-29.99;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:54;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.47;9.20;4.00
13:09:56;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:09:58;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.44;9.20;4.10
13:10:00;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:10:02;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.45;9.20;4.00
13:10:04;-18.10;-30.00;-30.01;16.90;-17.90;-18.20;-16.44;9.20;4.10
13:10:06;-18.10;-30.00;-30.01;16.90;-17.90;-18.10;-16.44;9.20;4.00
13:10:08;-18.10;-30.00;-30.01;16.90;-17.90;-18.20;-16.43;9.20;4.00
13:10:10;-18.10;-30.00;-30.00;16.90;-17.90;-18.20;-16.42;9.20;4.10
13:10:12;-18.10;-30.00;-30.00;16.90;-17.90;-18.20;-16.42;9.20;4.00
13:10:14;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.43;9.20;4.10
13:10:16;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.43;9.20;4.00
13:10:18;-18.10;-30.00;-29.99;16.90;-17.90;-18.20;-16.41;9.20;4.00
13:10:20;-18.10;-30.00;-30.00;16.90;-17.90;-18.10;-16.42;9.20;4.00
