time (02.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:37:38;-18.10;-30.00;-29.98;20.20;-18.30;-18.10;-20.95;6.00;4.10
08:37:40;-18.10;-30.00;-29.99;20.20;-18.40;-18.10;-20.96;6.00;4.10
08:37:42;-18.10;-30.00;-29.99;20.20;-18.30;-18.10;-20.96;6.00;4.10
08:37:44;-18.10;-30.00;-29.99;20.20;-18.30;-18.10;-20.96;6.00;4.10
08:37:46;-18.10;-30.00;-30.00;20.20;-18.30;-18.10;-20.96;6.00;4.10
08:37:48;-18.10;-30.00;-29.99;20.20;-18.40;-18.10;-20.96;6.00;4.10
08:37:50;-18.10;-30.00;-30.01;20.20;-18.40;-18.10;-20.96;6.00;4.10
08:37:52;-18.10;-30.00;-30.01;20.20;-18.30;-18.10;-20.96;6.00;4.10
08:37:54;-18.10;-30.00;-29.99;20.20;-18.30;-18.10;-20.96;5.90;4.10
08:37:56;-18.10;-30.00;-29.99;20.20;-18.30;-18.10;-20.96;6.00;4.00
08:37:58;-18.10;-30.00;-30.01;20.20;-18.30;-18.10;-20.96;6.00;4.00
08:38:00;-18.10;-30.00;-30.03;20.20;-18.30;-18.20;-20.96;5.90;4.10
08:38:02;-18.10;-30.00;-30.04;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:04;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.96;6.00;4.10
08:38:06;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.96;6.00;4.10
08:38:08;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.96;6.00;4.00
08:38:10;-18.10;-30.00;-30.01;20.20;-18.30;-18.10;-20.96;5.90;4.10
08:38:12;-18.10;-30.00;-30.01;20.20;-18.30;-18.10;-20.96;6.00;4.10
08:38:14;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.95;6.00;4.10
08:38:16;-18.10;-30.00;-30.02;20.20;-18.30;-18.10;-20.96;5.90;4.10
08:38:18;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.00
08:38:20;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:22;-18.10;-30.00;-29.98;20.10;-18.30;-18.10;-20.96;5.90;4.00
08:38:24;-18.10;-30.00;-29.98;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:26;-18.10;-30.00;-29.99;20.10;-18.30;-18.10;-20.96;5.90;4.00
08:38:28;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.95;5.90;4.00
08:38:30;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:32;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.96;5.90;4.00
08:38:34;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:36;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:38;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:40;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:38:42;-18.10;-30.00;-30.02;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:38:44;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:38:46;-18.10;-30.00;-30.00;20.10;-18.40;-18.10;-20.97;5.90;4.10
08:38:48;-18.10;-30.00;-30.00;20.10;-18.40;-18.10;-20.96;5.90;4.00
08:38:50;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:38:52;-18.10;-30.00;-30.02;20.10;-18.30;-18.10;-20.97;5.90;4.00
08:38:54;-18.10;-30.00;-30.03;20.10;-18.40;-18.10;-20.97;5.90;4.10
08:38:56;-18.10;-30.00;-30.01;20.10;-18.40;-18.10;-20.97;5.90;4.10
08:38:58;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:00;-18.10;-30.00;-30.01;20.10;-18.40;-18.10;-20.97;5.90;4.10
08:39:02;-18.10;-30.00;-30.02;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:04;-18.10;-30.00;-30.01;20.10;-18.30;-18.20;-20.97;5.90;4.10
08:39:06;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:08;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.90;4.10
08:39:10;-18.10;-30.00;-30.02;20.10;-18.30;-18.10;-20.97;5.90;4.00
08:39:12;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:14;-18.10;-30.00;-29.99;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:16;-18.10;-30.00;-29.99;20.10;-18.40;-18.10;-20.97;5.90;4.10
08:39:18;-18.10;-30.00;-29.99;20.10;-18.40;-18.10;-20.97;5.80;4.10
08:39:20;-18.10;-30.00;-29.99;20.10;-18.30;-18.10;-20.97;5.80;4.00
08:39:22;-18.10;-30.00;-29.98;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:24;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.96;5.80;4.00
08:39:26;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.96;5.80;4.00
08:39:28;-18.10;-30.00;-30.01;20.10;-18.30;-18.10;-20.97;5.90;4.10
08:39:30;-18.10;-30.00;-30.00;20.10;-18.40;-18.10;-20.97;5.80;4.00
08:39:32;-18.10;-30.00;-30.00;20.10;-18.40;-18.10;-20.98;5.80;4.10
08:39:34;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.97;5.80;4.10
08:39:36;-18.10;-30.00;-30.02;20.10;-18.30;-18.10;-20.97;5.80;4.10
08:39:38;-18.10;-30.00;-30.03;20.10;-18.30;-18.10;-20.97;5.80;4.10
08:39:40;-18.10;-30.00;-30.02;20.10;-18.30;-18.20;-20.97;5.80;4.10
08:39:42;-18.10;-30.00;-30.01;20.10;-18.30;-18.20;-20.97;5.80;4.00
08:39:44;-18.10;-30.00;-30.00;20.10;-18.40;-18.20;-20.98;5.80;4.00
08:39:46;-18.10;-30.00;-29.99;20.10;-18.30;-18.20;-20.98;5.80;4.10
08:39:48;-18.10;-30.00;-29.99;20.10;-18.30;-18.10;-20.98;5.80;4.00
08:39:50;-18.10;-30.00;-29.99;20.10;-18.40;-18.20;-20.98;5.90;4.10
08:39:52;-18.10;-30.00;-30.00;20.10;-18.30;-18.10;-20.98;5.80;4.00
