time (28.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:05:23;-18.10;-30.00;-30.07;24.00;-18.60;-18.10;-20.76;7.00;3.20
08:05:25;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.76;7.00;3.20
08:05:27;-18.10;-30.00;-30.05;24.00;-18.60;-18.10;-20.74;6.90;3.30
08:05:29;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.74;6.90;3.20
08:05:31;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.74;6.80;3.20
08:05:33;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.75;6.80;3.20
08:05:35;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.74;6.80;3.20
08:05:37;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.73;6.80;3.30
08:05:39;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.72;6.80;3.30
08:05:41;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.72;6.80;3.20
08:05:43;-18.10;-30.00;-30.06;24.00;-18.60;-18.10;-20.73;6.70;3.30
08:05:45;-18.10;-30.00;-30.05;24.00;-18.60;-18.10;-20.73;6.70;3.20
08:05:47;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.72;6.70;3.20
08:05:49;-18.10;-30.00;-30.03;24.00;-18.60;-18.00;-20.71;6.70;3.30
08:05:51;-18.10;-30.00;-30.03;24.00;-18.60;-18.10;-20.71;6.70;3.30
08:05:53;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.71;6.70;3.20
08:05:55;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.71;6.70;3.30
08:05:58;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.71;6.70;3.30
08:05:59;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.71;6.70;3.20
08:06:01;-18.10;-30.00;-30.05;24.00;-18.60;-18.10;-20.70;6.70;3.20
08:06:03;-18.10;-30.00;-30.05;24.00;-18.60;-18.00;-20.70;6.70;3.20
08:06:05;-18.10;-30.00;-30.05;24.00;-18.60;-18.00;-20.70;6.70;3.20
08:06:07;-18.10;-30.00;-30.04;24.00;-18.60;-18.00;-20.70;6.80;3.30
08:06:09;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.70;6.80;3.30
08:06:11;-18.10;-30.00;-30.04;24.00;-18.60;-18.10;-20.71;6.80;3.30
