time (20.03.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:00:34;-18.10;-30.00;-30.00;21.40;-17.60;-18.20;-18.13;8.70;3.40
08:00:36;-18.10;-30.00;-29.98;21.40;-17.60;-18.20;-18.14;8.70;3.50
08:00:38;-18.10;-30.00;-29.98;21.40;-17.60;-18.20;-18.13;8.60;3.50
08:00:40;-18.10;-30.00;-29.99;21.40;-17.60;-18.10;-18.14;8.60;3.40
08:00:42;-18.10;-30.00;-29.99;21.40;-17.60;-18.10;-18.15;8.60;3.40
08:00:44;-18.10;-30.00;-29.98;21.40;-17.60;-18.10;-18.16;8.60;3.40
08:00:46;-18.10;-30.00;-29.98;21.40;-17.60;-18.10;-18.16;8.60;3.50
08:00:48;-18.10;-30.00;-30.00;21.40;-17.60;-18.10;-18.15;8.60;3.50
08:00:50;-18.10;-30.00;-30.00;21.40;-17.60;-18.20;-18.14;8.60;3.40
08:00:52;-18.10;-30.00;-30.00;21.30;-17.70;-18.10;-18.17;8.60;3.50
08:00:54;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-18.17;8.60;3.40
08:00:56;-18.10;-30.00;-30.00;21.40;-17.60;-18.20;-18.16;8.60;3.40
08:00:58;-18.10;-30.00;-29.99;21.30;-17.60;-18.20;-18.14;8.60;3.40
08:01:00;-18.10;-30.00;-30.00;21.30;-17.60;-18.20;-18.13;8.60;3.40
08:01:02;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-18.14;8.50;3.40
08:01:04;-18.10;-30.00;-30.02;21.30;-17.60;-18.20;-18.13;8.50;3.50
08:01:06;-18.10;-30.00;-30.02;21.30;-17.60;-18.20;-18.11;8.60;3.50
08:01:08;-18.10;-30.00;-30.02;21.30;-17.60;-18.20;-18.11;8.50;3.40
08:01:10;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-18.09;8.50;3.40
08:01:12;-18.10;-30.00;-30.04;21.30;-17.60;-18.20;-18.09;8.50;3.40
08:01:14;-18.10;-30.00;-30.03;21.30;-17.60;-18.20;-18.09;8.50;3.40
08:01:16;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-18.09;8.50;3.50
08:01:18;-18.10;-30.00;-30.00;21.30;-17.60;-18.20;-18.08;8.50;3.50
08:01:20;-18.10;-30.00;-29.99;21.30;-17.60;-18.20;-18.07;8.50;3.50
08:01:22;-18.10;-30.00;-29.99;21.30;-17.60;-18.20;-18.06;8.50;3.50
08:01:24;-18.10;-30.00;-29.98;21.30;-17.60;-18.20;-18.05;8.50;3.50
08:01:26;-18.10;-30.00;-29.99;21.30;-17.60;-18.20;-18.01;8.50;3.50
08:01:28;-18.10;-30.00;-30.00;21.30;-17.60;-18.20;-17.97;8.50;3.50
08:01:30;-18.10;-30.00;-30.00;21.30;-17.60;-18.20;-17.96;8.40;3.50
08:01:32;-18.10;-30.00;-30.00;21.30;-17.70;-18.20;-17.94;8.40;3.50
08:01:34;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-17.90;8.50;3.50
08:01:36;-18.10;-30.00;-30.02;21.30;-17.60;-18.20;-17.87;8.50;3.40
08:01:38;-18.10;-30.00;-30.01;21.30;-17.70;-18.20;-17.86;8.40;3.50
08:01:40;-18.10;-30.00;-30.01;21.30;-17.70;-18.20;-17.84;8.50;3.40
08:01:42;-18.10;-30.00;-30.01;21.30;-17.60;-18.20;-17.82;8.50;3.50
