time (15.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:37:33;-18.10;-30.00;-30.00;19.20;-18.30;-18.10;-21.01;9.20;4.60
11:37:35;-18.10;-30.00;-30.00;19.20;-18.30;-18.10;-21.01;9.20;4.60
11:37:37;-18.10;-30.00;-29.99;19.20;-18.30;-18.20;-21.01;9.20;4.60
11:37:39;-18.10;-30.00;-29.99;19.20;-18.30;-18.20;-21.01;9.10;4.60
11:37:41;-18.10;-30.00;-29.98;19.20;-18.30;-18.20;-21.01;9.20;4.70
11:37:43;-18.10;-30.00;-29.98;19.20;-18.30;-18.20;-21.01;9.20;4.60
11:37:45;-18.10;-30.00;-29.99;19.20;-18.30;-18.20;-21.01;9.20;4.60
11:37:47;-18.10;-30.00;-30.00;19.20;-18.30;-18.20;-21.01;9.20;4.60
11:37:49;-18.10;-30.00;-30.01;19.20;-18.30;-18.20;-21.00;9.20;4.70
11:37:51;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-21.00;9.20;4.60
11:37:53;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-21.00;9.20;4.60
11:37:55;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-21.00;9.20;4.60
11:37:57;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-21.00;9.20;4.60
11:37:59;-18.10;-30.00;-30.01;19.20;-18.30;-18.20;-20.99;9.10;4.60
11:38:01;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-20.99;9.10;4.70
11:38:03;-18.10;-30.00;-30.01;19.20;-18.30;-18.10;-20.98;9.10;4.60
11:38:05;-18.10;-30.00;-29.99;19.20;-18.30;-18.20;-20.98;9.10;4.60
11:38:07;-18.10;-30.00;-30.00;19.20;-18.30;-18.10;-20.98;9.10;4.60
11:38:09;-18.10;-30.00;-30.01;19.20;-18.30;-18.10;-20.99;9.00;4.60
11:38:11;-18.10;-30.00;-30.02;19.20;-18.30;-18.10;-20.98;9.00;4.60
