time (12.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:52:40;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;11.20;4.60
10:52:42;-18.10;-30.00;-30.00;19.50;-17.70;-18.10;-20.34;11.20;4.60
10:52:44;-18.10;-30.00;-30.02;19.50;-17.70;-18.10;-20.34;11.20;4.60
10:52:46;-18.10;-30.00;-30.02;19.50;-17.70;-18.10;-20.33;11.20;4.60
10:52:48;-18.10;-30.00;-30.02;19.50;-17.70;-18.10;-20.34;11.20;4.60
10:52:50;-18.10;-30.00;-30.02;19.50;-17.70;-18.10;-20.34;11.10;4.60
10:52:52;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;11.10;4.60
10:52:54;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;11.10;4.60
10:52:56;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;11.10;4.60
10:52:58;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;11.10;4.60
10:53:00;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.32;11.10;4.50
10:53:02;-18.10;-30.00;-29.99;19.40;-17.70;-18.00;-20.33;11.10;4.60
10:53:04;-18.10;-30.00;-29.99;19.40;-17.70;-18.00;-20.32;11.10;4.60
10:53:06;-18.10;-30.00;-30.00;19.40;-17.70;-18.00;-20.32;11.10;4.60
10:53:08;-18.10;-30.00;-29.99;19.40;-17.70;-18.00;-20.32;11.10;4.60
10:53:10;-18.10;-30.00;-29.99;19.40;-17.70;-18.00;-20.32;11.10;4.60
10:53:12;-18.10;-30.00;-29.96;19.40;-17.70;-18.10;-20.33;11.10;4.60
10:53:14;-18.10;-30.00;-29.98;19.40;-17.70;-18.10;-20.33;11.10;4.60
10:53:16;-18.10;-30.00;-29.99;19.40;-17.70;-18.00;-20.32;11.00;4.60
10:53:19;-18.10;-30.00;-30.01;19.40;-17.70;-18.00;-20.34;11.00;4.60
10:53:21;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;11.00;4.60
10:53:22;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;11.00;4.60
10:53:25;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;11.00;4.60
10:53:26;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;11.10;4.60
10:53:28;-18.10;-30.00;-30.02;19.50;-17.70;-18.10;-20.34;11.00;4.60
10:53:30;-18.10;-30.00;-30.03;19.50;-17.70;-18.10;-20.34;11.00;4.60
10:53:33;-18.10;-30.00;-30.03;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:34;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:37;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:39;-18.10;-30.00;-30.03;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:41;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:42;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:44;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:46;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:49;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:50;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:52;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:54;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;11.00;4.60
10:53:57;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.35;11.00;4.60
10:53:59;-18.10;-30.00;-29.98;19.40;-17.70;-18.10;-20.35;10.90;4.60
10:54:01;-18.10;-30.00;-29.99;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:03;-18.10;-30.00;-29.98;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:05;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;10.90;4.60
10:54:07;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:09;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:11;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:13;-18.10;-30.00;-29.99;19.40;-17.70;-18.10;-20.34;10.80;4.60
10:54:15;-18.10;-30.00;-29.96;19.40;-17.70;-18.10;-20.33;10.90;4.60
10:54:17;-18.10;-30.00;-29.96;19.40;-17.70;-18.00;-20.33;10.90;4.60
10:54:19;-18.10;-30.00;-29.98;19.40;-17.70;-18.10;-20.34;10.90;4.60
10:54:21;-18.10;-30.00;-29.98;19.40;-17.70;-18.10;-20.33;10.90;4.60
10:54:23;-18.10;-30.00;-29.99;19.40;-17.70;-18.10;-20.33;10.90;4.60
10:54:25;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;10.80;4.60
10:54:27;-18.10;-30.00;-30.01;19.40;-17.70;-18.00;-20.33;10.80;4.60
10:54:29;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.80;4.60
10:54:31;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;10.80;4.50
10:54:33;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;10.80;4.60
10:54:35;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.33;10.80;4.60
10:54:37;-18.10;-30.00;-30.01;19.40;-17.60;-18.10;-20.33;10.80;4.60
10:54:39;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.32;10.80;4.60
10:54:41;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.32;10.80;4.50
10:54:43;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;10.70;4.60
10:54:45;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;10.70;4.60
10:54:47;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.70;4.60
10:54:49;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.32;10.70;4.50
10:54:51;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.32;10.70;4.50
10:54:53;-18.10;-30.00;-30.01;19.40;-17.70;-18.00;-20.32;10.70;4.50
10:54:55;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.70;4.50
10:54:57;-18.10;-30.00;-30.02;19.40;-17.70;-18.00;-20.32;10.70;4.60
10:54:59;-18.10;-30.00;-30.02;19.40;-17.70;-18.00;-20.32;10.70;4.60
10:55:01;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:03;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.31;10.70;4.60
10:55:05;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.32;10.70;4.50
10:55:07;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:09;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.70;4.70
10:55:11;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:13;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:15;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:17;-18.10;-30.00;-30.01;19.40;-17.70;-18.00;-20.33;10.70;4.60
10:55:19;-18.10;-30.00;-30.01;19.40;-17.70;-18.00;-20.33;10.70;4.60
10:55:21;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.70;4.60
10:55:23;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;10.70;4.60
10:55:25;-18.10;-30.00;-30.02;19.40;-17.70;-18.00;-20.32;10.70;4.50
10:55:27;-18.10;-30.00;-30.03;19.40;-17.60;-18.10;-20.32;10.70;4.60
10:55:29;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.32;10.70;4.60
10:55:31;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.70;4.50
10:55:33;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.34;10.60;4.60
10:55:35;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.33;10.60;4.60
10:55:37;-18.10;-30.00;-30.00;19.40;-17.70;-18.10;-20.34;10.70;4.60
10:55:39;-18.10;-30.00;-29.99;19.40;-17.70;-18.10;-20.34;10.60;4.60
10:55:41;-18.10;-30.00;-29.99;19.40;-17.70;-18.10;-20.34;10.60;4.60
10:55:43;-18.10;-30.00;-29.98;19.40;-17.60;-18.10;-20.34;10.60;4.60
10:55:45;-18.10;-30.00;-29.97;19.40;-17.60;-18.10;-20.33;10.60;4.50
10:55:47;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-20.33;10.60;4.60
10:55:49;-18.10;-30.00;-29.98;19.40;-17.60;-18.10;-20.33;10.60;4.60
10:55:51;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-20.33;10.60;4.60
10:55:53;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-20.33;10.60;4.60
10:55:55;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-20.33;10.60;4.60
10:55:57;-18.10;-30.00;-30.02;19.40;-17.60;-18.00;-20.33;10.50;4.60
10:55:59;-18.10;-30.00;-30.03;19.40;-17.60;-18.10;-20.33;10.60;4.50
10:56:01;-18.10;-30.00;-30.02;19.40;-17.60;-18.10;-20.33;10.60;4.50
10:56:03;-18.10;-30.00;-30.03;19.40;-17.70;-18.10;-20.33;10.50;4.60
10:56:05;-18.10;-30.00;-30.03;19.40;-17.60;-18.10;-20.33;10.50;4.60
10:56:07;-18.10;-30.00;-30.03;19.30;-17.70;-18.10;-20.33;10.50;4.60
10:56:09;-18.10;-30.00;-30.02;19.40;-17.70;-18.10;-20.33;10.50;4.60
10:56:11;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.33;10.60;4.50
10:56:13;-18.10;-30.00;-29.99;19.30;-17.60;-18.10;-20.32;10.50;4.50
10:56:15;-18.10;-30.00;-29.97;19.40;-17.60;-18.10;-20.33;10.50;4.50
10:56:17;-18.10;-30.00;-29.96;19.30;-17.60;-18.00;-20.33;10.50;4.50
10:56:19;-18.10;-30.00;-29.98;19.30;-17.60;-18.10;-20.33;10.50;4.60
10:56:21;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-20.33;10.50;4.60
10:56:23;-18.10;-30.00;-30.01;19.30;-17.70;-18.00;-20.33;10.50;4.60
10:56:25;-18.10;-30.00;-30.02;19.30;-17.70;-18.00;-20.33;10.50;4.60
10:56:27;-18.10;-30.00;-30.00;19.40;-17.70;-18.00;-20.32;10.50;4.60
10:56:29;-18.10;-30.00;-30.00;19.40;-17.60;-18.00;-20.32;10.50;4.60
10:56:31;-18.10;-30.00;-30.00;19.30;-17.60;-18.00;-20.33;10.50;4.60
10:56:33;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-20.34;10.50;4.60
10:56:35;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-20.34;10.40;4.50
10:56:37;-18.10;-30.00;-29.99;19.30;-17.60;-18.00;-20.34;10.50;4.50
10:56:39;-18.10;-30.00;-29.99;19.30;-17.70;-18.10;-20.34;10.50;4.60
10:56:41;-18.10;-30.00;-29.99;19.30;-17.60;-18.10;-20.35;10.50;4.60
10:56:43;-18.10;-30.00;-29.99;19.30;-17.60;-18.10;-20.36;10.40;4.60
10:56:45;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-20.36;10.40;4.60
10:56:47;-18.10;-30.00;-30.01;19.40;-17.70;-18.10;-20.36;10.50;4.60
10:56:49;-18.10;-30.00;-30.02;19.30;-17.60;-18.10;-20.36;10.40;4.50
10:56:51;-18.10;-30.00;-30.02;19.30;-17.60;-18.10;-20.36;10.40;4.60
10:56:53;-18.10;-30.00;-30.01;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:56:55;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:56:57;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:56:59;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.40;4.50
10:57:01;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.36;10.40;4.60
10:57:03;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.40;4.50
10:57:06;-18.10;-30.00;-30.02;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:57:07;-18.10;-30.00;-30.03;19.30;-17.60;-18.10;-20.37;10.40;4.60
10:57:09;-18.10;-30.00;-30.04;19.30;-17.60;-18.10;-20.36;10.40;4.50
10:57:12;-18.10;-30.00;-30.04;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:57:13;-18.10;-30.00;-30.04;19.30;-17.60;-18.10;-20.37;10.40;4.60
10:57:15;-18.10;-30.00;-30.04;19.30;-17.70;-18.10;-20.37;10.30;4.60
10:57:17;-18.10;-30.00;-30.03;19.30;-17.70;-18.10;-20.37;10.40;4.60
10:57:19;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.30;4.50
10:57:22;-18.10;-30.00;-30.02;19.30;-17.60;-18.10;-20.37;10.40;4.50
10:57:23;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.30;4.50
10:57:26;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.30;4.50
10:57:28;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.36;10.40;4.60
10:57:30;-18.10;-30.00;-30.03;19.30;-17.70;-18.10;-20.36;10.40;4.60
10:57:32;-18.10;-30.00;-30.03;19.30;-17.70;-18.10;-20.36;10.30;4.50
10:57:34;-18.10;-30.00;-30.02;19.30;-17.70;-18.10;-20.37;10.30;4.50
10:57:36;-18.10;-30.00;-30.01;19.30;-17.70;-18.10;-20.37;10.30;4.50
10:57:38;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-20.37;10.30;4.60
10:57:40;-18.10;-30.00;-30.01;19.30;-17.60;-18.20;-20.38;10.30;4.50
10:57:42;-18.10;-30.00;-30.00;19.30;-17.70;-18.20;-20.38;10.30;4.50
10:57:44;-18.10;-30.00;-30.00;19.30;-17.70;-18.20;-20.38;10.30;4.60
10:57:46;-18.10;-30.00;-30.00;19.30;-17.70;-18.20;-20.37;10.30;4.60
10:57:48;-18.10;-30.00;-29.99;19.30;-17.70;-18.20;-20.38;10.30;4.60
10:57:50;-18.10;-30.00;-29.98;19.30;-17.60;-18.20;-20.38;10.30;4.50
10:57:52;-18.10;-30.00;-29.99;19.30;-17.70;-18.10;-20.38;10.30;4.60
