time (12.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:39:10;-18.10;-30.00;-30.07;19.80;-17.80;-18.00;-20.31;15.80;4.60
10:39:11;-18.10;-30.00;-30.08;19.70;-17.90;-18.00;-20.32;15.80;4.70
10:39:13;-18.10;-30.00;-30.09;19.70;-17.90;-18.00;-20.32;15.80;4.70
10:39:16;-18.10;-30.00;-30.08;19.70;-17.80;-18.00;-20.32;15.80;4.70
10:39:17;-18.10;-30.00;-30.08;19.70;-17.80;-18.00;-20.31;15.70;4.60
10:39:20;-18.10;-30.00;-30.07;19.70;-17.80;-18.00;-20.31;15.70;4.60
10:39:22;-18.10;-30.00;-30.08;19.80;-17.80;-18.00;-20.31;15.70;4.60
10:39:24;-18.10;-30.00;-30.09;19.70;-17.80;-18.00;-20.31;15.70;4.70
10:39:26;-18.10;-30.00;-30.09;19.70;-17.80;-18.00;-20.32;15.70;4.60
10:39:28;-18.10;-30.00;-30.08;19.70;-17.80;-18.00;-20.32;15.70;4.70
10:39:30;-18.10;-30.00;-30.07;19.70;-17.80;-18.00;-20.33;15.60;4.70
10:39:32;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.33;15.60;4.60
10:39:34;-18.10;-30.00;-30.08;19.70;-17.80;-18.00;-20.33;15.60;4.70
10:39:36;-18.10;-30.00;-30.08;19.70;-17.70;-18.00;-20.33;15.60;4.60
10:39:38;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-20.32;15.60;4.60
10:39:40;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.33;15.50;4.70
10:39:42;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.33;15.50;4.60
10:39:44;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.33;15.50;4.70
10:39:46;-18.10;-30.00;-30.08;19.70;-17.70;-18.00;-20.33;15.50;4.70
10:39:48;-18.10;-30.00;-30.07;19.70;-17.80;-18.00;-20.33;15.50;4.70
10:39:50;-18.10;-30.00;-30.06;19.70;-17.70;-18.00;-20.34;15.50;4.60
10:39:52;-18.10;-30.00;-30.06;19.70;-17.70;-18.00;-20.34;15.50;4.70
10:39:54;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.34;15.50;4.70
10:39:56;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.35;15.50;4.70
10:39:58;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.34;15.50;4.70
10:40:00;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.35;15.50;4.60
10:40:02;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-20.35;15.40;4.60
10:40:04;-18.10;-30.00;-30.05;19.70;-17.70;-18.00;-20.35;15.40;4.70
10:40:06;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.36;15.40;4.70
10:40:08;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.36;15.40;4.70
10:40:10;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.35;15.40;4.70
10:40:12;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.35;15.30;4.70
10:40:14;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.35;15.30;4.60
10:40:16;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-20.35;15.30;4.70
10:40:18;-18.10;-30.00;-30.06;19.70;-17.70;-18.00;-20.35;15.30;4.70
10:40:20;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-20.35;15.20;4.60
10:40:22;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.34;15.20;4.60
10:40:24;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-20.35;15.20;4.70
10:40:26;-18.10;-30.00;-30.08;19.70;-17.70;-18.00;-20.34;15.10;4.60
10:40:28;-18.10;-30.00;-30.05;19.70;-17.70;-18.00;-20.34;15.10;4.70
10:40:30;-18.10;-30.00;-30.05;19.70;-17.70;-18.00;-20.34;15.10;4.60
10:40:32;-18.10;-30.00;-30.03;19.70;-17.70;-18.00;-20.34;15.10;4.60
10:40:34;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.34;15.10;4.60
10:40:36;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.36;15.00;4.70
10:40:38;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.36;15.00;4.60
10:40:40;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.36;15.00;4.60
10:40:42;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;15.00;4.60
10:40:44;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;15.00;4.60
10:40:46;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.38;14.90;4.60
10:40:48;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.37;14.90;4.70
10:40:50;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;14.90;4.60
10:40:52;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;14.90;4.70
10:40:54;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.37;14.90;4.70
10:40:56;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.37;14.80;4.70
10:40:58;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.37;14.80;4.60
10:41:00;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.36;14.80;4.60
10:41:02;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.36;14.80;4.60
10:41:04;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.36;14.80;4.60
10:41:06;-18.10;-30.00;-30.06;19.70;-17.70;-18.00;-20.36;14.80;4.70
10:41:08;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-20.36;14.80;4.70
10:41:10;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-20.37;14.80;4.60
10:41:12;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;14.80;4.70
10:41:14;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;14.80;4.60
10:41:16;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.38;14.80;4.70
10:41:18;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.70;4.60
10:41:20;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.37;14.70;4.70
10:41:22;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.70;4.60
10:41:24;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.38;14.70;4.70
10:41:26;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.70;4.60
10:41:28;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.70;4.70
10:41:30;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.37;14.70;4.70
10:41:32;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.60;4.60
10:41:34;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.38;14.70;4.60
10:41:36;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.38;14.70;4.60
10:41:38;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.38;14.70;4.70
10:41:40;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.39;14.70;4.70
10:41:42;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.38;14.60;4.70
10:41:44;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.39;14.60;4.60
10:41:46;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.39;14.60;4.60
10:41:48;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.39;14.60;4.60
10:41:50;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.38;14.60;4.60
10:41:52;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.38;14.50;4.70
10:41:54;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.38;14.50;4.60
10:41:56;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.38;14.50;4.60
10:41:58;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.39;14.50;4.60
10:42:00;-18.10;-30.00;-30.02;19.70;-17.70;-18.10;-20.39;14.40;4.60
10:42:02;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.39;14.50;4.70
10:42:04;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.39;14.40;4.60
10:42:06;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.40;14.40;4.70
10:42:08;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.40;14.40;4.70
10:42:10;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.40;14.40;4.60
10:42:12;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.40;14.40;4.60
10:42:14;-18.10;-30.00;-30.04;19.70;-17.70;-18.20;-20.40;14.40;4.60
10:42:16;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.41;14.40;4.70
10:42:18;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.40;14.40;4.70
10:42:20;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.40;14.30;4.70
10:42:22;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.40;14.30;4.60
10:42:24;-18.10;-30.00;-30.03;19.70;-17.70;-18.10;-20.40;14.30;4.60
10:42:26;-18.10;-30.00;-30.04;19.70;-17.70;-18.10;-20.41;14.30;4.70
10:42:28;-18.10;-30.00;-30.05;19.70;-17.70;-18.10;-20.41;14.20;4.60
