time (17.12.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:54:04;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.60;9.60;4.70
08:54:06;-18.10;-30.00;-30.03;21.10;-18.60;-18.10;-20.59;9.60;4.60
08:54:08;-18.10;-30.00;-30.03;21.10;-18.60;-18.10;-20.58;9.60;4.60
08:54:11;-18.10;-30.00;-30.03;21.10;-18.60;-18.10;-20.58;9.60;4.60
08:54:12;-18.10;-30.00;-30.03;21.10;-18.60;-18.10;-20.58;9.50;4.70
08:54:15;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.57;9.50;4.60
08:54:16;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.57;9.50;4.50
08:54:19;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.57;9.50;4.70
08:54:21;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.58;9.50;4.70
08:54:22;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.50;4.60
08:54:25;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.50;4.60
08:54:27;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.50;4.60
08:54:28;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.58;9.50;4.70
08:54:30;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.59;9.50;4.70
08:54:33;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.50;4.70
08:54:35;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.58;9.60;4.60
08:54:37;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.58;9.60;4.60
08:54:38;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.57;9.60;4.70
08:54:41;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.57;9.60;4.70
08:54:42;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.70;4.60
08:54:44;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.70;4.60
08:54:47;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.55;9.70;4.60
08:54:48;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.55;9.80;4.60
08:54:51;-18.10;-30.00;-30.02;21.10;-18.50;-18.10;-20.57;9.80;4.60
08:54:53;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.80;4.60
08:54:55;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.58;9.70;4.60
08:54:57;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.59;9.70;4.60
08:54:59;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.58;9.70;4.60
08:55:01;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.60;9.70;4.60
08:55:03;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.61;9.70;4.60
08:55:05;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.61;9.60;4.70
08:55:07;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.60;4.60
08:55:09;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.57;9.60;4.60
08:55:11;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.50;4.70
08:55:13;-18.10;-30.00;-29.99;21.10;-18.60;-18.10;-20.58;9.50;4.60
08:55:15;-18.10;-30.00;-29.99;21.10;-18.50;-18.10;-20.59;9.50;4.60
08:55:17;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.60;9.40;4.60
08:55:19;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.61;9.40;4.60
08:55:21;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.59;9.40;4.60
08:55:23;-18.10;-30.00;-29.99;21.10;-18.60;-18.10;-20.59;9.40;4.60
08:55:25;-18.10;-30.00;-30.00;21.10;-18.50;-18.10;-20.60;9.40;4.70
08:55:27;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.58;9.40;4.60
08:55:29;-18.10;-30.00;-30.02;21.10;-18.50;-18.10;-20.57;9.30;4.60
08:55:31;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.56;9.30;4.60
08:55:33;-18.10;-30.00;-30.00;21.10;-18.50;-18.10;-20.59;9.30;4.60
08:55:35;-18.10;-30.00;-30.01;21.10;-18.50;-18.20;-20.58;9.30;4.60
08:55:37;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.59;9.30;4.60
08:55:39;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.60;9.30;4.60
08:55:41;-18.10;-30.00;-30.00;21.10;-18.50;-18.20;-20.59;9.30;4.60
08:55:43;-18.10;-30.00;-30.00;21.10;-18.60;-18.20;-20.59;9.30;4.60
08:55:45;-18.10;-30.00;-30.00;21.10;-18.50;-18.20;-20.60;9.30;4.60
08:55:47;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.60;9.30;4.60
08:55:49;-18.10;-30.00;-30.00;21.10;-18.50;-18.10;-20.59;9.30;4.60
08:55:51;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.58;9.30;4.60
08:55:53;-18.10;-30.00;-29.99;21.10;-18.60;-18.10;-20.59;9.30;4.60
08:55:55;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.59;9.30;4.60
08:55:57;-18.10;-30.00;-30.00;21.10;-18.50;-18.20;-20.58;9.30;4.60
08:55:59;-18.10;-30.00;-30.01;21.10;-18.50;-18.10;-20.59;9.30;4.60
08:56:01;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.30;4.60
08:56:03;-18.10;-30.00;-30.01;21.10;-18.60;-18.10;-20.59;9.30;4.60
08:56:05;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.60;9.40;4.60
08:56:07;-18.10;-30.00;-30.02;21.10;-18.60;-18.10;-20.59;9.40;4.60
08:56:09;-18.10;-30.00;-30.00;21.10;-18.60;-18.10;-20.58;9.40;4.60
