time (30.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:27:10;-18.10;-30.00;-30.00;19.30;-18.60;-18.20;-19.07;15.30;5.00
12:27:12;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.07;15.50;4.90
12:27:14;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.08;15.60;5.00
12:27:16;-18.10;-30.00;-30.02;19.30;-18.60;-18.20;-19.09;15.70;5.00
12:27:18;-18.10;-30.00;-30.02;19.30;-18.60;-18.20;-19.07;15.80;5.00
12:27:20;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.08;15.80;4.90
12:27:22;-18.10;-30.00;-29.99;19.30;-18.60;-18.20;-19.07;15.80;5.00
12:27:24;-18.10;-30.00;-29.99;19.30;-18.60;-18.20;-19.07;15.70;4.90
12:27:26;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.07;15.70;4.90
12:27:28;-18.10;-30.00;-29.99;19.30;-18.60;-18.20;-19.06;15.60;5.00
12:27:30;-18.10;-30.00;-29.98;19.30;-18.60;-18.20;-19.05;15.60;4.90
12:27:32;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.05;15.50;4.90
12:27:34;-18.10;-30.00;-30.02;19.30;-18.60;-18.20;-19.06;15.50;4.90
12:27:36;-18.10;-30.00;-30.03;19.30;-18.60;-18.10;-19.06;15.50;4.90
12:27:38;-18.10;-30.00;-30.05;19.30;-18.70;-18.20;-19.05;15.40;5.00
12:27:40;-18.10;-30.00;-30.04;19.30;-18.60;-18.20;-19.05;15.30;4.90
12:27:42;-18.10;-30.00;-30.03;19.30;-18.60;-18.10;-19.05;15.40;5.00
12:27:44;-18.10;-30.00;-30.03;19.30;-18.60;-18.20;-19.04;15.50;4.90
12:27:46;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.04;15.50;4.90
12:27:48;-18.10;-30.00;-30.00;19.30;-18.70;-18.20;-19.03;15.50;5.00
12:27:50;-18.10;-30.00;-30.02;19.30;-18.60;-18.20;-19.03;15.50;5.00
12:27:52;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.03;15.50;4.90
12:27:54;-18.10;-30.00;-30.02;19.30;-18.60;-18.20;-19.04;15.40;4.90
12:27:56;-18.10;-30.00;-30.00;19.30;-18.60;-18.20;-19.04;15.40;4.90
12:27:58;-18.10;-30.00;-30.00;19.30;-18.60;-18.10;-19.04;15.30;4.90
12:28:00;-18.10;-30.00;-29.99;19.30;-18.60;-18.20;-19.04;15.30;4.90
12:28:02;-18.10;-30.00;-30.00;19.30;-18.60;-18.20;-19.03;15.30;4.90
12:28:04;-18.10;-30.00;-30.01;19.30;-18.60;-18.10;-19.03;15.20;4.90
12:28:06;-18.10;-30.00;-30.02;19.30;-18.60;-18.10;-19.03;15.20;4.90
12:28:08;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.02;15.20;4.90
12:28:10;-18.10;-30.00;-30.02;19.30;-18.60;-18.10;-19.01;15.20;5.00
12:28:12;-18.10;-30.00;-30.01;19.30;-18.60;-18.20;-19.01;15.10;4.90
12:28:14;-18.10;-30.00;-30.01;19.30;-18.60;-18.10;-19.01;15.00;4.90
12:28:16;-18.10;-30.00;-30.01;19.30;-18.60;-18.10;-19.01;15.00;4.90
12:28:18;-18.10;-30.00;-30.02;19.30;-18.70;-18.20;-19.02;15.00;5.00
12:28:20;-18.10;-30.00;-29.98;19.30;-18.60;-18.20;-19.01;15.00;5.00
