time (10.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:55:02;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.29;10.00;4.80
11:55:04;-18.10;-30.00;-29.99;19.70;-18.70;-18.10;-20.29;9.90;4.80
11:55:06;-18.10;-30.00;-29.99;19.70;-18.80;-18.20;-20.30;9.90;4.80
11:55:08;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.30;9.80;4.80
11:55:10;-18.10;-30.00;-30.00;19.70;-18.70;-18.10;-20.30;9.80;4.80
11:55:12;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:14;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:16;-18.10;-30.00;-29.99;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:18;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:20;-18.10;-30.00;-30.01;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:22;-18.10;-30.00;-30.01;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:24;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.29;9.80;4.80
11:55:26;-18.10;-30.00;-29.99;19.70;-18.70;-18.20;-20.28;9.80;4.80
11:55:28;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.28;9.90;4.70
11:55:30;-18.10;-30.00;-30.00;19.70;-18.70;-18.20;-20.28;10.00;4.80
11:55:32;-18.10;-30.00;-30.00;19.70;-18.80;-18.20;-20.28;10.00;4.80
11:55:34;-18.10;-30.00;-29.98;19.70;-18.70;-18.20;-20.28;10.10;4.80
11:55:36;-18.10;-30.00;-29.99;19.70;-18.70;-18.20;-20.28;10.10;4.80
11:55:38;-18.10;-30.00;-30.00;19.70;-18.70;-18.10;-20.27;10.20;4.80
11:55:40;-18.10;-30.00;-30.01;19.70;-18.80;-18.20;-20.27;10.10;4.80
11:55:42;-18.10;-30.00;-30.03;19.70;-18.80;-18.20;-20.27;10.10;4.80
11:55:44;-18.10;-30.00;-30.01;19.70;-18.70;-18.20;-20.27;10.10;4.80
11:55:46;-18.10;-30.00;-30.00;19.70;-18.70;-18.10;-20.27;10.00;4.80
11:55:48;-18.10;-30.00;-30.00;19.70;-18.70;-18.10;-20.26;10.00;4.70
11:55:50;-18.10;-30.00;-30.00;19.70;-18.70;-18.10;-20.26;10.00;4.80
