time (24.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:53:49;-18.10;-30.00;-29.98;17.30;-17.50;-18.10;-8.54;11.60;4.20
12:53:51;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-8.56;11.60;4.20
12:53:53;-18.10;-30.00;-29.99;17.30;-17.50;-18.00;-8.60;11.60;4.20
12:53:55;-18.10;-30.00;-29.98;17.30;-17.40;-18.00;-8.54;11.60;4.20
12:53:57;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-8.34;11.60;4.20
12:53:59;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.41;11.60;4.20
12:54:01;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.54;11.60;4.20
12:54:03;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-8.76;11.60;4.20
12:54:05;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-8.54;11.60;4.10
12:54:07;-18.10;-30.00;-30.00;17.30;-17.50;-18.00;-8.82;11.50;4.20
12:54:09;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.82;11.50;4.20
12:54:11;-18.10;-30.00;-30.01;17.30;-17.50;-18.10;-8.73;11.50;4.20
12:54:13;-18.10;-30.00;-30.01;17.30;-17.40;-18.10;-8.88;11.50;4.20
12:54:15;-18.10;-30.00;-30.01;17.30;-17.40;-18.10;-8.96;11.50;4.20
12:54:17;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-8.91;11.50;4.10
12:54:19;-18.10;-30.00;-30.01;17.30;-17.40;-18.10;-9.02;11.50;4.20
12:54:21;-18.10;-30.00;-30.01;17.30;-17.40;-18.10;-8.84;11.50;4.20
12:54:23;-18.10;-30.00;-30.00;17.30;-17.50;-18.10;-8.71;11.50;4.20
12:54:25;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.77;11.50;4.20
12:54:27;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.76;11.40;4.10
12:54:29;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.93;11.40;4.10
12:54:31;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.85;11.40;4.20
12:54:33;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.72;11.40;4.20
12:54:35;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.92;11.40;4.20
12:54:37;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-8.75;11.40;4.20
12:54:39;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-8.78;11.40;4.20
12:54:41;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.86;11.40;4.20
12:54:43;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.77;11.40;4.10
12:54:45;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.84;11.40;4.20
12:54:47;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-8.84;11.30;4.20
12:54:49;-18.10;-30.00;-29.99;17.30;-17.50;-18.10;-8.83;11.40;4.20
12:54:51;-18.10;-30.00;-29.99;17.30;-17.50;-18.10;-8.97;11.40;4.20
12:54:53;-18.10;-30.00;-29.99;17.30;-17.50;-18.10;-9.05;11.30;4.20
12:54:55;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-9.04;11.30;4.20
12:54:57;-18.10;-30.00;-30.01;17.30;-17.40;-18.10;-9.12;11.40;4.20
12:54:59;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-9.11;11.40;4.20
12:55:01;-18.10;-30.00;-30.02;17.30;-17.40;-18.00;-9.15;11.30;4.20
12:55:03;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-9.40;11.30;4.10
12:55:05;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-9.14;11.30;4.10
12:55:07;-18.10;-30.00;-29.99;17.30;-17.40;-18.10;-9.27;11.30;4.20
12:55:09;-18.10;-30.00;-30.00;17.30;-17.40;-18.10;-9.24;11.30;4.20
12:55:11;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-9.20;11.30;4.10
12:55:13;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-9.13;11.30;4.20
12:55:15;-18.10;-30.00;-30.02;17.30;-17.40;-18.10;-9.04;11.30;4.20
