time (15.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:34:21;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.97;10.50;3.70
12:34:23;-18.10;-30.00;-30.03;17.20;-17.50;-18.10;-11.99;10.40;3.70
12:34:25;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.92;10.40;3.70
12:34:27;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.92;10.40;3.70
12:34:29;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.88;10.40;3.70
12:34:31;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.88;10.40;3.70
12:34:33;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.83;10.40;3.70
12:34:35;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.77;10.30;3.70
12:34:37;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.79;10.40;3.70
12:34:39;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.81;10.30;3.70
12:34:41;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.77;10.30;3.60
12:34:43;-18.10;-30.00;-30.01;17.20;-17.50;-18.00;-11.76;10.30;3.70
12:34:45;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.77;10.30;3.60
12:34:47;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.84;10.30;3.70
12:34:49;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.83;10.30;3.70
12:34:51;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.87;10.30;3.70
12:34:53;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.86;10.30;3.70
12:34:55;-18.10;-30.00;-30.01;17.20;-17.50;-18.00;-11.78;10.30;3.70
12:34:57;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.76;10.30;3.70
12:34:59;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.77;10.20;3.70
12:35:01;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.71;10.30;3.70
12:35:03;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.68;10.30;3.70
12:35:05;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.74;10.20;3.70
12:35:07;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.74;10.20;3.70
12:35:09;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.79;10.20;3.70
12:35:11;-18.10;-30.00;-29.98;17.20;-17.50;-18.10;-11.82;10.20;3.70
12:35:13;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.80;10.20;3.70
12:35:15;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.83;10.20;3.70
12:35:17;-18.10;-30.00;-30.01;17.20;-17.50;-18.00;-11.83;10.20;3.60
12:35:19;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.90;10.20;3.60
12:35:21;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.91;10.20;3.70
12:35:23;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.91;10.20;3.70
12:35:25;-18.10;-30.00;-30.02;17.20;-17.50;-18.10;-11.91;10.20;3.60
12:35:27;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.93;10.20;3.60
12:35:29;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.92;10.20;3.60
12:35:31;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.91;10.10;3.60
12:35:33;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.84;10.10;3.70
12:35:35;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.82;10.10;3.70
12:35:37;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.88;10.10;3.60
12:35:39;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.82;10.10;3.70
12:35:41;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.82;10.10;3.70
12:35:43;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.80;10.10;3.70
12:35:45;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.80;10.10;3.70
12:35:47;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.83;10.10;3.70
12:35:49;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.76;10.10;3.70
12:35:51;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.78;10.10;3.60
12:35:53;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.78;10.10;3.70
12:35:55;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.79;10.10;3.60
12:35:57;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.74;10.00;3.70
12:35:59;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.78;10.00;3.70
12:36:01;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.78;10.00;3.70
12:36:03;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.71;10.00;3.60
12:36:05;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.72;10.00;3.70
12:36:07;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.72;10.00;3.70
12:36:09;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.87;10.00;3.70
12:36:11;-18.10;-30.00;-30.00;17.20;-17.50;-18.10;-11.88;10.00;3.60
12:36:13;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.94;10.00;3.60
12:36:15;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.91;10.00;3.70
12:36:17;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.90;10.00;3.70
12:36:19;-18.10;-30.00;-30.01;17.20;-17.50;-18.10;-11.91;10.00;3.70
12:36:21;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.91;10.00;3.70
12:36:23;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.84;10.00;3.70
12:36:25;-18.10;-30.00;-29.99;17.20;-17.50;-18.10;-11.72;10.00;3.60
12:36:27;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.69;10.00;3.60
12:36:29;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.67;9.90;3.60
12:36:31;-18.10;-30.00;-30.01;17.20;-17.50;-18.00;-11.68;9.90;3.70
12:36:33;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.64;9.90;3.70
12:36:35;-18.10;-30.00;-30.00;17.20;-17.50;-18.00;-11.69;9.90;3.70
12:36:37;-18.10;-30.00;-30.01;17.20;-17.50;-18.00;-11.72;9.90;3.70
12:36:39;-18.10;-30.00;-30.02;17.20;-17.50;-18.00;-11.79;9.90;3.60
