time (02.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:03:55;-18.10;-30.00;-30.06;17.80;-17.70;-18.10;-13.98;14.80;3.70
12:03:57;-18.10;-30.00;-30.06;17.80;-17.70;-18.10;-14.05;14.80;3.70
12:03:59;-18.10;-30.00;-30.08;17.80;-17.70;-18.10;-14.07;14.80;3.70
12:04:01;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-14.08;14.70;3.70
12:04:03;-18.10;-30.00;-30.06;17.80;-17.70;-18.10;-14.11;14.70;3.70
12:04:05;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-14.11;14.70;3.70
12:04:07;-18.10;-30.00;-30.04;17.80;-17.70;-18.10;-14.10;14.70;3.80
12:04:09;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-14.08;14.70;3.80
12:04:11;-18.10;-30.00;-30.01;17.80;-17.70;-18.10;-14.07;14.70;3.70
12:04:13;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-14.04;14.70;3.70
12:04:15;-18.10;-30.00;-30.03;17.80;-17.70;-18.10;-14.08;14.70;3.70
12:04:17;-18.10;-30.00;-30.05;17.80;-17.70;-18.00;-14.13;14.60;3.70
12:04:19;-18.10;-30.00;-30.06;17.80;-17.70;-18.00;-14.10;14.60;3.70
12:04:21;-18.10;-30.00;-30.07;17.80;-17.70;-18.00;-14.12;14.60;3.70
12:04:23;-18.10;-30.00;-30.07;17.80;-17.70;-18.00;-14.07;14.60;3.70
12:04:25;-18.10;-30.00;-30.07;17.80;-17.70;-18.00;-14.04;14.60;3.70
12:04:27;-18.10;-30.00;-30.07;17.80;-17.70;-18.00;-14.06;14.60;3.70
12:04:29;-18.10;-30.00;-30.05;17.80;-17.70;-18.00;-14.06;14.60;3.70
12:04:31;-18.10;-30.00;-30.03;17.80;-17.70;-18.00;-14.07;14.60;3.70
12:04:33;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-14.02;14.50;3.70
12:04:35;-18.10;-30.00;-30.07;17.80;-17.70;-18.00;-14.02;14.50;3.70
12:04:37;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-14.01;14.50;3.70
12:04:39;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-13.96;14.50;3.70
12:04:41;-18.10;-30.00;-30.03;17.80;-17.70;-18.10;-13.89;14.50;3.70
12:04:43;-18.10;-30.00;-30.04;17.80;-17.70;-18.10;-13.91;14.50;3.70
12:04:45;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-13.92;14.50;3.70
12:04:47;-18.10;-30.00;-30.06;17.80;-17.70;-18.10;-13.98;14.40;3.70
12:04:49;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-13.99;14.40;3.70
12:04:51;-18.10;-30.00;-30.08;17.70;-17.70;-18.10;-13.98;14.40;3.70
12:04:53;-18.10;-30.00;-30.08;17.80;-17.70;-18.10;-14.02;14.40;3.80
12:04:55;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-13.93;14.30;3.70
12:04:57;-18.10;-30.00;-30.08;17.70;-17.70;-18.10;-13.84;14.30;3.70
12:04:59;-18.10;-30.00;-30.08;17.80;-17.70;-18.10;-13.83;14.30;3.70
12:05:01;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.82;14.30;3.70
12:05:03;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-13.81;14.30;3.70
12:05:05;-18.10;-30.00;-30.06;17.80;-17.70;-18.10;-13.88;14.20;3.70
12:05:07;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-13.89;14.20;3.70
12:05:09;-18.10;-30.00;-30.05;17.80;-17.70;-18.10;-13.90;14.20;3.70
12:05:11;-18.10;-30.00;-30.07;17.80;-17.70;-18.10;-13.88;14.20;3.70
12:05:13;-18.10;-30.00;-30.07;17.70;-17.70;-18.10;-13.88;14.20;3.70
12:05:15;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.86;14.10;3.70
12:05:17;-18.10;-30.00;-30.07;17.70;-17.70;-18.10;-13.84;14.20;3.70
12:05:19;-18.10;-30.00;-30.08;17.70;-17.70;-18.10;-13.80;14.10;3.70
12:05:21;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.79;14.10;3.70
12:05:23;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.88;14.10;3.70
12:05:25;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.91;14.10;3.70
12:05:27;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-13.86;14.00;3.70
12:05:29;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.87;14.00;3.70
12:05:31;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.86;14.00;3.70
12:05:33;-18.10;-30.00;-30.03;17.80;-17.70;-18.10;-13.75;14.00;3.70
12:05:35;-18.10;-30.00;-30.01;17.70;-17.70;-18.10;-13.77;14.00;3.70
12:05:37;-18.10;-30.00;-30.01;17.70;-17.70;-18.10;-13.78;14.00;3.70
12:05:39;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.80;14.00;3.70
12:05:41;-18.10;-30.00;-30.01;17.70;-17.70;-18.10;-13.81;14.00;3.70
12:05:43;-18.10;-30.00;-30.01;17.70;-17.70;-18.10;-13.83;13.90;3.70
12:05:45;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.89;13.90;3.70
12:05:47;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.88;13.90;3.70
12:05:49;-18.10;-30.00;-30.03;17.80;-17.70;-18.10;-13.95;13.90;3.70
12:05:51;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.88;13.90;3.70
12:05:53;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.91;13.90;3.70
12:05:56;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.86;13.90;3.70
12:05:57;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.87;13.80;3.70
12:05:59;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.89;13.80;3.70
12:06:01;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.91;13.80;3.70
12:06:03;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.96;13.70;3.70
12:06:05;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.96;13.70;3.70
12:06:07;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.90;13.70;3.70
12:06:09;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.90;13.70;3.70
12:06:11;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.85;13.70;3.70
12:06:14;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.87;13.70;3.70
12:06:16;-18.10;-30.00;-30.05;17.70;-17.70;-18.10;-13.84;13.60;3.70
12:06:17;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.81;13.60;3.70
12:06:19;-18.10;-30.00;-30.06;17.70;-17.70;-18.10;-13.76;13.60;3.70
12:06:21;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.74;13.60;3.70
12:06:23;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.73;13.60;3.70
12:06:25;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.75;13.60;3.70
12:06:27;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.72;13.60;3.70
12:06:29;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.73;13.60;3.70
12:06:31;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.62;13.60;3.70
12:06:34;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.66;13.60;3.70
12:06:36;-18.10;-30.00;-30.02;17.70;-17.70;-18.10;-13.67;13.50;3.70
12:06:38;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.56;13.50;3.70
12:06:40;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.53;13.50;3.70
12:06:42;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.57;13.50;3.70
12:06:44;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.58;13.50;3.70
12:06:46;-18.10;-30.00;-30.04;17.70;-17.70;-18.10;-13.56;13.50;3.70
12:06:48;-18.10;-30.00;-30.03;17.70;-17.70;-18.10;-13.52;13.40;3.70
