time (03.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:13:06;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.07;15.30;5.40
14:13:08;-18.10;-30.00;-30.03;18.80;-18.30;-18.20;-21.08;15.30;5.40
14:13:10;-18.10;-30.00;-30.02;18.80;-18.30;-18.20;-21.09;15.30;5.40
14:13:12;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.09;15.30;5.40
14:13:14;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.09;15.40;5.40
14:13:16;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.09;15.30;5.40
14:13:18;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.08;15.30;5.40
14:13:20;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.09;15.30;5.40
14:13:22;-18.10;-30.00;-30.04;18.80;-18.30;-18.10;-21.09;15.30;5.40
14:13:24;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.09;15.30;5.40
14:13:26;-18.10;-30.00;-29.98;18.80;-18.30;-18.10;-21.09;15.20;5.40
14:13:28;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.09;15.10;5.40
14:13:30;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.09;15.00;5.40
14:13:32;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.09;15.00;5.40
14:13:34;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.09;15.00;5.40
14:13:36;-18.10;-30.00;-30.03;18.80;-18.30;-18.20;-21.09;15.00;5.40
14:13:38;-18.10;-30.00;-30.05;18.80;-18.30;-18.20;-21.09;14.90;5.40
14:13:40;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.09;14.80;5.40
14:13:42;-18.10;-30.00;-30.02;18.80;-18.30;-18.20;-21.09;14.80;5.30
14:13:44;-18.10;-30.00;-30.03;18.80;-18.30;-18.20;-21.09;14.70;5.40
14:13:46;-18.10;-30.00;-30.03;18.80;-18.30;-18.20;-21.09;14.70;5.40
14:13:48;-18.10;-30.00;-30.02;18.80;-18.30;-18.20;-21.09;14.70;5.40
14:13:50;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:13:52;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:13:54;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.09;14.50;5.40
14:13:56;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.09;14.50;5.40
14:13:58;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.09;14.50;5.40
14:14:00;-18.10;-30.00;-29.99;18.80;-18.30;-18.20;-21.08;14.50;5.40
14:14:02;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.09;14.50;5.40
14:14:04;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.08;14.60;5.40
14:14:06;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:14:08;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:14:10;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.09;14.60;5.30
14:14:12;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.09;14.60;5.40
14:14:14;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.08;14.60;5.30
14:14:16;-18.10;-30.00;-29.99;18.80;-18.30;-18.20;-21.08;14.60;5.40
14:14:18;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.08;14.60;5.40
14:14:20;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.08;14.60;5.40
14:14:22;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.08;14.70;5.40
14:14:24;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.09;14.70;5.40
14:14:26;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.09;14.70;5.30
14:14:28;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:14:30;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.08;14.60;5.40
14:14:32;-18.10;-30.00;-30.02;18.80;-18.30;-18.20;-21.08;14.60;5.40
14:14:34;-18.10;-30.00;-30.03;18.80;-18.30;-18.20;-21.08;14.60;5.40
14:14:36;-18.10;-30.00;-30.02;18.80;-18.30;-18.20;-21.07;14.60;5.40
14:14:38;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.08;14.60;5.30
14:14:40;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.09;14.60;5.40
14:14:42;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.09;14.50;5.40
14:14:44;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.08;14.50;5.40
14:14:46;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.08;14.40;5.40
14:14:48;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.08;14.50;5.40
14:14:50;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.08;14.50;5.40
14:14:52;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.08;14.40;5.40
14:14:54;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.07;14.40;5.40
14:14:56;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.07;14.40;5.40
14:14:58;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.07;14.40;5.30
14:15:00;-18.10;-30.00;-29.96;18.80;-18.30;-18.20;-21.07;14.30;5.30
14:15:02;-18.10;-30.00;-29.95;18.80;-18.30;-18.10;-21.07;14.30;5.40
14:15:04;-18.10;-30.00;-29.98;18.80;-18.30;-18.10;-21.06;14.20;5.40
14:15:06;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.06;14.20;5.40
14:15:08;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.06;14.20;5.40
14:15:10;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;14.20;5.40
14:15:12;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;14.10;5.40
14:15:14;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;14.10;5.40
14:15:16;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.20;5.30
14:15:18;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.30;5.40
14:15:20;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.05;14.40;5.40
14:15:22;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.04;14.50;5.30
14:15:24;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.04;14.50;5.40
14:15:26;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.04;14.50;5.30
14:15:28;-18.10;-30.00;-30.04;18.80;-18.30;-18.10;-21.04;14.40;5.40
14:15:30;-18.10;-30.00;-30.04;18.80;-18.30;-18.10;-21.04;14.30;5.30
14:15:32;-18.10;-30.00;-30.04;18.80;-18.30;-18.10;-21.04;14.20;5.40
14:15:34;-18.10;-30.00;-30.05;18.80;-18.30;-18.10;-21.04;14.20;5.40
14:15:36;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.04;14.30;5.30
14:15:38;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.05;14.40;5.30
14:15:40;-18.10;-30.00;-30.03;18.80;-18.30;-18.10;-21.05;14.40;5.30
14:15:42;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.05;14.30;5.30
14:15:44;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.06;14.20;5.40
14:15:46;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;14.20;5.30
14:15:48;-18.10;-30.00;-29.98;18.80;-18.30;-18.10;-21.05;14.20;5.30
14:15:50;-18.10;-30.00;-29.97;18.80;-18.30;-18.10;-21.05;14.10;5.40
14:15:52;-18.10;-30.00;-29.98;18.80;-18.30;-18.10;-21.05;14.10;5.30
14:15:54;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.10;5.40
14:15:56;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.06;14.10;5.40
14:15:58;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.30;5.30
14:16:00;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.40;5.30
14:16:02;-18.10;-30.00;-29.97;18.80;-18.30;-18.10;-21.05;14.30;5.30
14:16:04;-18.10;-30.00;-29.98;18.80;-18.30;-18.10;-21.05;14.30;5.30
14:16:06;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.05;14.30;5.30
14:16:08;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.20;5.40
14:16:10;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;14.10;5.30
14:16:12;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.05;14.10;5.30
14:16:14;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;14.10;5.30
14:16:16;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.06;14.10;5.40
14:16:18;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.00;5.30
14:16:20;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;14.00;5.40
14:16:22;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.05;13.90;5.40
14:16:24;-18.10;-30.00;-30.00;18.80;-18.30;-18.10;-21.05;13.90;5.30
14:16:26;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;13.80;5.30
14:16:28;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:30;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.06;13.80;5.30
14:16:32;-18.10;-30.00;-30.02;18.80;-18.30;-18.10;-21.06;13.80;5.40
14:16:34;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.80;5.40
14:16:36;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.80;5.30
14:16:38;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.06;13.80;5.30
14:16:40;-18.10;-30.00;-30.00;18.80;-18.30;-18.20;-21.06;13.90;5.30
14:16:42;-18.10;-30.00;-29.99;18.80;-18.30;-18.10;-21.06;13.90;5.40
14:16:44;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:46;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:48;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:50;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:52;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.06;13.90;5.30
14:16:54;-18.10;-30.00;-30.01;18.80;-18.30;-18.20;-21.05;13.90;5.40
14:16:56;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;13.90;5.40
14:16:58;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;13.90;5.40
14:17:00;-18.10;-30.00;-30.01;18.80;-18.30;-18.10;-21.05;13.90;5.30
