time (05.11.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
16:39:57;-18.10;-30.00;-29.96;19.00;-18.60;-18.20;-13.48;14.20;5.40
16:39:59;-18.10;-30.00;-29.99;19.00;-18.60;-18.20;-13.43;14.10;5.40
16:40:01;-18.10;-30.00;-30.00;19.00;-18.60;-18.20;-13.38;14.10;5.40
16:40:03;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.34;14.20;5.40
16:40:05;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.43;14.20;5.40
16:40:07;-18.10;-30.00;-30.00;19.00;-18.60;-18.20;-13.39;14.20;5.40
16:40:09;-18.10;-30.00;-30.00;19.00;-18.60;-18.20;-13.39;14.20;5.40
16:40:11;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.43;14.30;5.40
16:40:13;-18.10;-30.00;-30.02;19.00;-18.60;-18.20;-13.44;14.30;5.40
16:40:15;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.44;14.30;5.50
16:40:17;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.42;14.30;5.40
16:40:19;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.38;14.30;5.40
16:40:21;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.38;14.20;5.40
16:40:23;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.42;14.20;5.40
16:40:25;-18.10;-30.00;-30.04;19.00;-18.60;-18.10;-13.41;14.10;5.40
16:40:27;-18.10;-30.00;-30.04;19.00;-18.60;-18.10;-13.35;14.00;5.40
16:40:29;-18.10;-30.00;-30.04;19.00;-18.60;-18.10;-13.34;14.00;5.40
16:40:31;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.28;14.10;5.40
16:40:33;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.33;14.10;5.40
16:40:35;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.38;14.20;5.40
16:40:37;-18.10;-30.00;-30.04;19.00;-18.60;-18.10;-13.35;14.10;5.40
16:40:39;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.41;14.10;5.40
16:40:41;-18.10;-30.00;-30.04;19.00;-18.60;-18.10;-13.40;14.20;5.40
16:40:43;-18.10;-30.00;-30.04;19.00;-18.60;-18.20;-13.42;14.20;5.40
16:40:45;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.36;14.30;5.40
16:40:47;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.42;14.40;5.40
16:40:49;-18.10;-30.00;-30.03;19.00;-18.70;-18.20;-13.37;14.50;5.40
16:40:51;-18.10;-30.00;-30.03;19.00;-18.60;-18.10;-13.41;14.60;5.50
16:40:53;-18.10;-30.00;-30.02;19.00;-18.60;-18.20;-13.42;14.50;5.40
16:40:55;-18.10;-30.00;-30.02;19.00;-18.60;-18.20;-13.44;14.40;5.40
16:40:58;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.40;14.30;5.40
16:40:59;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.40;14.20;5.40
16:41:01;-18.10;-30.00;-30.03;19.00;-18.60;-18.20;-13.40;14.20;5.40
16:41:03;-18.10;-30.00;-30.03;19.00;-18.60;-18.10;-13.38;14.20;5.40
16:41:05;-18.10;-30.00;-30.03;19.00;-18.60;-18.10;-13.42;14.10;5.40
16:41:07;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.40;14.10;5.40
16:41:09;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.37;14.10;5.40
16:41:11;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.40;14.00;5.40
16:41:13;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.47;14.10;5.40
16:41:15;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.44;14.10;5.40
16:41:17;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.43;14.10;5.40
16:41:19;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.45;14.10;5.40
16:41:21;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.49;14.00;5.40
16:41:23;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.46;14.00;5.40
16:41:25;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.53;13.90;5.40
16:41:27;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.53;13.90;5.40
16:41:29;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.52;13.80;5.40
16:41:31;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.62;13.80;5.40
16:41:33;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.65;13.80;5.40
16:41:35;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.63;13.90;5.40
16:41:37;-18.10;-30.00;-30.00;19.00;-18.60;-18.20;-13.66;13.90;5.40
16:41:39;-18.10;-30.00;-29.99;19.00;-18.60;-18.20;-13.61;13.90;5.40
16:41:41;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.57;13.70;5.40
16:41:43;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.64;13.60;5.40
16:41:45;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.68;13.60;5.40
16:41:47;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.71;13.50;5.40
16:41:49;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.67;13.60;5.40
16:41:51;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.68;13.60;5.50
16:41:53;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.72;13.50;5.40
16:41:55;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.74;13.50;5.40
16:41:57;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.73;13.40;5.40
16:41:59;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.75;13.40;5.40
16:42:01;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.72;13.50;5.40
16:42:03;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.72;13.40;5.40
16:42:05;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.72;13.40;5.40
16:42:07;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.66;13.40;5.40
16:42:09;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.64;13.50;5.40
16:42:11;-18.10;-30.00;-29.98;19.00;-18.60;-18.10;-13.74;13.60;5.40
16:42:13;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.74;13.70;5.40
16:42:15;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.82;13.90;5.40
16:42:18;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.79;13.90;5.40
16:42:19;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.77;13.90;5.40
16:42:21;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.80;13.90;5.30
16:42:23;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.76;13.90;5.40
16:42:25;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.69;14.00;5.30
16:42:27;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.73;14.00;5.30
16:42:29;-18.10;-30.00;-29.99;19.00;-18.60;-18.20;-13.69;14.00;5.40
16:42:31;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.71;14.10;5.40
16:42:33;-18.10;-30.00;-29.99;19.00;-18.60;-18.10;-13.69;14.10;5.40
16:42:35;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.69;14.10;5.30
16:42:38;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.74;14.00;5.40
16:42:39;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.75;13.80;5.40
16:42:41;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.75;13.70;5.40
16:42:43;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.69;13.70;5.40
16:42:46;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.69;13.60;5.40
16:42:47;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.66;13.60;5.40
16:42:50;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.70;13.60;5.40
16:42:52;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.74;13.70;5.40
16:42:53;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.73;13.70;5.40
16:42:56;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.74;13.80;5.40
16:42:57;-18.10;-30.00;-30.00;19.00;-18.60;-18.20;-13.74;13.80;5.40
16:43:00;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.65;13.80;5.40
16:43:01;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.69;13.70;5.50
16:43:03;-18.10;-30.00;-29.99;19.00;-18.60;-18.20;-13.70;13.70;5.40
16:43:06;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.66;13.60;5.40
16:43:07;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.69;13.50;5.40
16:43:09;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.73;13.40;5.40
16:43:12;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.72;13.40;5.30
16:43:14;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.77;13.50;5.40
16:43:15;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.77;13.50;5.40
16:43:18;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.76;13.50;5.50
16:43:19;-18.10;-30.00;-30.00;19.00;-18.60;-18.10;-13.75;13.40;5.40
16:43:21;-18.10;-30.00;-30.01;19.00;-18.60;-18.10;-13.75;13.30;5.40
16:43:23;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.76;13.30;5.40
16:43:25;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.74;13.30;5.40
16:43:28;-18.10;-30.00;-30.01;19.00;-18.60;-18.20;-13.72;13.30;5.30
16:43:29;-18.10;-30.00;-30.02;19.00;-18.60;-18.10;-13.73;13.40;5.30
