time (07.10.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:16:34;-18.10;-30.00;-29.99;19.10;-18.50;-18.10;-20.29;11.70;4.70
09:16:36;-18.10;-30.00;-29.99;19.00;-18.50;-18.20;-20.28;11.70;4.70
09:16:38;-18.10;-30.00;-29.99;19.10;-18.40;-18.20;-20.28;11.70;4.70
09:16:40;-18.10;-30.00;-30.00;19.10;-18.40;-18.10;-20.29;11.70;4.70
09:16:42;-18.10;-30.00;-29.98;19.10;-18.50;-18.20;-20.31;11.70;4.70
09:16:44;-18.10;-30.00;-29.98;19.00;-18.50;-18.20;-20.32;11.70;4.70
09:16:46;-18.10;-30.00;-29.98;19.00;-18.50;-18.20;-20.32;11.70;4.70
09:16:48;-18.10;-30.00;-29.99;19.00;-18.40;-18.20;-20.32;11.70;4.70
09:16:50;-18.10;-30.00;-30.00;19.00;-18.40;-18.20;-20.32;11.70;4.80
09:16:52;-18.10;-30.00;-30.00;19.00;-18.50;-18.20;-20.31;11.70;4.70
09:16:54;-18.10;-30.00;-30.01;19.00;-18.50;-18.20;-20.32;11.70;4.70
09:16:56;-18.10;-30.00;-30.02;19.10;-18.50;-18.20;-20.32;11.70;4.70
09:16:58;-18.10;-30.00;-30.02;19.00;-18.40;-18.20;-20.32;11.80;4.70
09:17:00;-18.10;-30.00;-30.02;19.00;-18.40;-18.20;-20.31;11.80;4.70
09:17:02;-18.10;-30.00;-30.01;19.00;-18.40;-18.20;-20.31;11.80;4.70
09:17:04;-18.10;-30.00;-30.01;19.00;-18.40;-18.20;-20.31;11.80;4.80
09:17:06;-18.10;-30.00;-30.00;19.00;-18.50;-18.10;-20.31;11.80;4.70
09:17:08;-18.10;-30.00;-30.00;19.00;-18.50;-18.10;-20.30;11.80;4.70
09:17:10;-18.10;-30.00;-29.99;19.00;-18.40;-18.20;-20.31;11.70;4.70
09:17:12;-18.10;-30.00;-30.00;19.10;-18.40;-18.20;-20.30;11.70;4.70
09:17:14;-18.10;-30.00;-30.01;19.00;-18.40;-18.20;-20.30;11.60;4.70
09:17:16;-18.10;-30.00;-30.02;19.10;-18.50;-18.20;-20.29;11.60;4.70
09:17:18;-18.10;-30.00;-30.02;19.00;-18.40;-18.20;-20.29;11.60;4.70
09:17:20;-18.10;-30.00;-30.01;19.00;-18.40;-18.20;-20.29;11.50;4.70
09:17:22;-18.10;-30.00;-30.02;19.00;-18.40;-18.10;-20.29;11.50;4.70
09:17:24;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.28;11.50;4.70
09:17:26;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.27;11.60;4.70
09:17:28;-18.10;-30.00;-29.99;19.00;-18.40;-18.10;-20.27;11.60;4.70
09:17:30;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.27;11.60;4.70
09:17:32;-18.10;-30.00;-30.00;19.00;-18.50;-18.10;-20.28;11.60;4.70
09:17:34;-18.10;-30.00;-30.00;19.00;-18.50;-18.10;-20.27;11.60;4.70
09:17:36;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.27;11.50;4.70
09:17:38;-18.10;-30.00;-30.01;19.10;-18.40;-18.10;-20.27;11.50;4.70
09:17:40;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.27;11.60;4.70
09:17:42;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.26;11.60;4.70
09:17:44;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.26;11.60;4.70
09:17:46;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.26;11.60;4.80
09:17:48;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.25;11.50;4.70
09:17:50;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.25;11.50;4.70
09:17:52;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.26;11.50;4.70
09:17:54;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.25;11.50;4.70
09:17:56;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.24;11.40;4.70
09:17:58;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.24;11.40;4.70
09:18:00;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.23;11.40;4.70
09:18:02;-18.10;-30.00;-30.02;19.10;-18.40;-18.10;-20.24;11.30;4.70
09:18:04;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.23;11.30;4.70
09:18:06;-18.10;-30.00;-29.99;19.00;-18.40;-18.10;-20.23;11.40;4.70
09:18:08;-18.10;-30.00;-29.99;19.00;-18.40;-18.10;-20.24;11.30;4.70
09:18:10;-18.10;-30.00;-30.00;19.00;-18.40;-18.10;-20.22;11.30;4.70
09:18:12;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.23;11.30;4.70
09:18:14;-18.10;-30.00;-30.01;19.00;-18.40;-18.10;-20.23;11.30;4.70
