time (04.06.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:15:17;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.55;21.10;6.40
12:15:20;-18.10;-30.00;-30.01;13.80;-18.90;-18.10;-19.56;21.10;6.30
12:15:21;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.56;21.10;6.30
12:15:23;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.56;21.10;6.30
12:15:26;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.56;21.10;6.30
12:15:27;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.55;21.10;6.30
12:15:30;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.55;21.10;6.30
12:15:32;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:33;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:36;-18.10;-30.00;-29.96;13.80;-18.90;-18.10;-19.55;21.30;6.30
12:15:37;-18.10;-30.00;-29.96;13.80;-18.90;-18.10;-19.55;21.40;6.30
12:15:40;-18.10;-30.00;-29.98;13.80;-18.90;-18.10;-19.55;21.30;6.40
12:15:42;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:43;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.55;21.20;6.40
12:15:45;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.56;21.20;6.30
12:15:47;-18.10;-30.00;-30.00;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:49;-18.10;-30.00;-29.98;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:52;-18.10;-30.00;-29.99;13.80;-18.90;-18.10;-19.55;21.20;6.30
12:15:58;-18.10;-30.00;-30.01;13.80;-18.90;-18.10;-19.54;21.20;6.30
12:16:00;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.55;21.20;6.40
12:16:02;-18.10;-30.00;-29.97;13.80;-18.90;-18.10;-19.53;21.20;6.40
12:16:04;-18.10;-30.00;-29.98;13.80;-18.90;-18.10;-19.53;21.20;6.30
12:16:06;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.53;21.20;6.30
12:16:08;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.54;21.20;6.40
12:16:10;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.55;21.10;6.40
12:16:12;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.55;21.10;6.30
12:16:14;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.55;21.10;6.30
12:16:16;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.54;21.10;6.40
12:16:18;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.56;21.10;6.40
12:16:20;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.55;21.10;6.30
12:16:22;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.55;21.20;6.30
12:16:24;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.54;21.20;6.30
12:16:26;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.54;21.20;6.40
12:16:28;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.54;21.20;6.40
12:16:30;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.54;21.20;6.30
12:16:32;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.54;21.20;6.30
12:16:34;-18.10;-30.00;-30.02;13.80;-18.90;-18.10;-19.54;21.20;6.40
12:16:36;-18.10;-30.00;-30.03;13.70;-18.90;-18.10;-19.55;21.20;6.40
12:16:38;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.55;21.30;6.40
12:16:40;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.55;21.40;6.40
12:16:42;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.55;21.50;6.40
12:16:44;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.56;21.40;6.40
12:16:46;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.56;21.40;6.30
12:16:48;-18.10;-30.00;-30.03;13.70;-18.90;-18.10;-19.55;21.40;6.40
12:16:50;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.55;21.40;6.40
12:16:52;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.54;21.40;6.40
12:16:54;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.54;21.40;6.40
12:16:56;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.53;21.30;6.30
12:17:01;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.51;21.30;6.30
12:17:02;-18.10;-30.00;-29.95;13.70;-18.90;-18.10;-19.52;21.20;6.30
12:17:04;-18.10;-30.00;-29.98;13.70;-18.90;-18.10;-19.52;21.20;6.30
12:17:06;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.51;21.30;6.40
12:17:08;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.51;21.20;6.40
12:17:10;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.50;21.20;6.40
12:17:12;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.49;21.30;6.30
12:17:14;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.49;21.40;6.30
12:17:16;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.50;21.50;6.30
12:17:18;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.50;21.50;6.20
12:17:20;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.50;21.40;6.30
12:17:24;-18.10;-30.00;-30.02;13.70;-18.90;-18.10;-19.48;21.40;6.40
12:17:26;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.48;21.40;6.30
12:17:28;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.47;21.40;6.40
12:17:30;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.46;21.30;6.30
12:17:32;-18.10;-30.00;-30.01;13.70;-18.90;-18.10;-19.45;21.30;6.30
12:17:34;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.45;21.30;6.30
12:17:36;-18.10;-30.00;-30.00;13.70;-18.90;-18.10;-19.45;21.30;6.30
12:17:38;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.45;21.20;6.30
12:17:40;-18.10;-30.00;-29.99;13.70;-18.90;-18.10;-19.45;21.20;6.40
