time (04.10.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:56:39;-18.10;-30.00;-30.03;17.60;-19.20;-18.00;-21.24;14.00;4.20
10:56:41;-18.10;-30.00;-30.03;17.60;-19.20;-18.00;-21.25;14.00;4.20
10:56:43;-18.10;-30.00;-29.99;17.60;-19.20;-18.00;-21.26;13.90;4.30
10:56:45;-18.10;-30.00;-29.99;17.60;-19.20;-18.00;-21.25;13.90;4.30
10:56:47;-18.10;-30.00;-30.01;17.60;-19.20;-18.00;-21.25;13.90;4.20
10:56:49;-18.10;-30.00;-29.98;17.60;-19.20;-18.00;-21.26;13.90;4.20
10:56:51;-18.10;-30.00;-30.00;17.60;-19.20;-18.00;-21.26;13.80;4.20
10:56:53;-18.10;-30.00;-30.01;17.60;-19.20;-18.10;-21.27;13.80;4.20
10:56:55;-18.10;-30.00;-30.01;17.60;-19.20;-18.10;-21.26;13.80;4.20
10:56:57;-18.10;-30.00;-30.00;17.60;-19.20;-18.00;-21.27;13.80;4.20
10:56:59;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.80;4.20
10:57:01;-18.10;-30.00;-30.03;17.60;-19.20;-18.10;-21.28;13.70;4.20
10:57:03;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.27;13.80;4.30
10:57:05;-18.10;-30.00;-30.03;17.60;-19.10;-18.10;-21.27;13.70;4.20
10:57:07;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.70;4.20
10:57:09;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.29;13.70;4.20
10:57:11;-18.10;-30.00;-30.00;17.60;-19.20;-18.10;-21.29;13.70;4.20
10:57:13;-18.10;-30.00;-30.00;17.60;-19.20;-18.10;-21.29;13.70;4.20
10:57:15;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.70;4.20
10:57:17;-18.10;-30.00;-30.03;17.60;-19.20;-18.10;-21.29;13.60;4.20
10:57:19;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.60;4.20
10:57:21;-18.10;-30.00;-30.01;17.60;-19.20;-18.10;-21.29;13.60;4.20
10:57:23;-18.10;-30.00;-30.00;17.60;-19.20;-18.10;-21.29;13.60;4.30
10:57:25;-18.10;-30.00;-30.00;17.60;-19.20;-18.10;-21.28;13.60;4.20
10:57:27;-18.10;-30.00;-29.99;17.60;-19.20;-18.10;-21.28;13.60;4.30
10:57:29;-18.10;-30.00;-29.99;17.60;-19.20;-18.10;-21.28;13.60;4.20
10:57:31;-18.10;-30.00;-30.00;17.60;-19.10;-18.10;-21.28;13.60;4.20
10:57:33;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.60;4.20
10:57:35;-18.10;-30.00;-29.99;17.60;-19.20;-18.10;-21.29;13.60;4.20
10:57:37;-18.10;-30.00;-29.97;17.60;-19.20;-18.10;-21.29;13.60;4.20
10:57:39;-18.10;-30.00;-29.99;17.60;-19.20;-18.10;-21.29;13.50;4.20
10:57:41;-18.10;-30.00;-30.00;17.60;-19.20;-18.10;-21.29;13.50;4.20
10:57:43;-18.10;-30.00;-29.99;17.60;-19.20;-18.10;-21.28;13.50;4.20
10:57:45;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.50;4.20
10:57:47;-18.10;-30.00;-30.03;17.60;-19.20;-18.10;-21.28;13.50;4.20
10:57:49;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.40;4.20
10:57:51;-18.10;-30.00;-30.02;17.60;-19.20;-18.10;-21.28;13.40;4.20
10:57:53;-18.10;-30.00;-30.03;17.60;-19.20;-18.10;-21.29;13.50;4.20
