time (06.03.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:59:09;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-21.02;12.70;4.50
12:59:11;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-21.02;12.70;4.50
12:59:13;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-21.02;12.70;4.50
12:59:15;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-21.02;12.70;4.50
12:59:17;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-21.03;12.60;4.60
12:59:19;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-21.02;12.60;4.50
12:59:21;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-21.01;12.60;4.50
12:59:23;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.99;12.60;4.50
12:59:25;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.99;12.60;4.60
12:59:27;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.99;12.60;4.50
12:59:31;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.99;12.60;4.50
12:59:33;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.99;12.60;4.60
12:59:35;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.99;12.60;4.50
12:59:39;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:41;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:43;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.60;4.50
12:59:45;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:47;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:49;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:51;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.96;12.50;4.60
12:59:53;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.96;12.60;4.50
12:59:55;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.96;12.60;4.60
12:59:57;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.94;12.60;4.50
12:59:59;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.94;12.50;4.50
13:00:01;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.94;12.60;4.50
13:00:03;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.95;12.60;4.60
13:00:05;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.60;4.60
13:00:07;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:00:09;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.50;4.50
13:00:11;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:13;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.60;4.60
13:00:15;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.60;4.50
13:00:17;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.60;4.50
13:00:19;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.60;4.60
13:00:21;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:23;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:25;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:27;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:29;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.60;4.50
13:00:31;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.60;4.50
13:00:33;-18.10;-30.00;-30.00;17.00;-18.50;-18.20;-20.97;12.60;4.50
13:00:35;-18.10;-30.00;-30.01;17.00;-18.50;-18.20;-20.96;12.60;4.50
13:00:37;-18.10;-30.00;-30.01;17.00;-18.50;-18.20;-20.95;12.60;4.50
13:00:39;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.60;4.60
13:00:41;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.96;12.60;4.50
13:00:43;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.95;12.60;4.60
13:00:45;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.94;12.60;4.50
13:00:47;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.94;12.60;4.60
13:00:49;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.93;12.50;4.50
13:00:51;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.92;12.50;4.60
13:00:53;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.92;12.50;4.60
13:00:55;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.93;12.50;4.60
13:00:57;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.93;12.50;4.60
13:00:59;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.94;12.50;4.60
13:01:01;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.95;12.50;4.50
13:01:03;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.50;4.60
13:01:05;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.50;4.60
13:01:07;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.96;12.50;4.60
13:01:09;-18.10;-30.00;-29.97;17.00;-18.50;-18.10;-20.95;12.50;4.50
13:01:11;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.94;12.50;4.50
13:01:13;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.94;12.50;4.50
13:01:15;-18.10;-30.00;-30.03;17.00;-18.50;-18.10;-20.96;12.50;4.60
13:01:17;-18.10;-30.00;-30.03;17.00;-18.50;-18.10;-20.96;12.50;4.60
13:01:19;-18.10;-30.00;-30.03;17.00;-18.50;-18.10;-20.96;12.50;4.50
13:01:21;-18.10;-30.00;-30.03;17.00;-18.50;-18.10;-20.96;12.50;4.50
13:01:23;-18.10;-30.00;-30.03;17.00;-18.50;-18.10;-20.95;12.50;4.50
13:01:27;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:29;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:31;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:33;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:35;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:37;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:39;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.50;4.60
13:01:41;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:01:43;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:01:45;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:47;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:49;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:51;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:01:53;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:01:55;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:01:57;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:01:59;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:02:01;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:02:03;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:02:05;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:07;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.96;12.50;4.50
13:02:09;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.95;12.40;4.50
13:02:11;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.95;12.40;4.50
13:02:13;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:15;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:02:17;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:02:19;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:02:21;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:02:23;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:02:25;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:02:27;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:02:29;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.99;12.40;4.50
13:02:31;-18.10;-30.00;-30.00;17.00;-18.50;-18.20;-20.98;12.50;4.50
13:02:33;-18.10;-30.00;-30.00;17.00;-18.50;-18.20;-20.97;12.50;4.50
13:02:35;-18.10;-30.00;-30.00;17.00;-18.50;-18.20;-20.97;12.50;4.50
13:02:37;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:39;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.95;12.50;4.50
13:02:41;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.95;12.40;4.50
13:02:43;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:45;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:47;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:02:49;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:02:51;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.95;12.40;4.50
13:02:53;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.94;12.50;4.50
13:02:55;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:57;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:02:59;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.95;12.40;4.60
13:03:01;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.94;12.40;4.60
13:03:03;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.94;12.50;4.50
13:03:05;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.95;12.40;4.50
13:03:07;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:03:09;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.50;4.50
13:03:11;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:15;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:03:17;-18.10;-30.00;-29.96;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:03:19;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:21;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:23;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:25;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:27;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:29;-18.10;-30.00;-29.96;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:31;-18.10;-30.00;-29.97;17.00;-18.50;-18.10;-20.98;12.50;4.50
13:03:33;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:35;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:37;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:39;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:41;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:43;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:45;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.40;4.40
13:03:47;-18.10;-30.00;-30.02;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:49;-18.10;-30.00;-30.01;16.90;-18.50;-18.10;-20.97;12.40;4.50
13:03:51;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:53;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.96;12.40;4.50
13:03:55;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.97;12.40;4.50
13:03:57;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:03:59;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:04:01;-18.10;-30.00;-30.01;17.00;-18.50;-18.10;-20.99;12.40;4.50
13:04:03;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.99;12.40;4.50
13:04:05;-18.10;-30.00;-29.98;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:04:07;-18.10;-30.00;-29.99;17.00;-18.50;-18.10;-20.98;12.40;4.50
13:04:09;-18.10;-30.00;-30.00;17.00;-18.50;-18.10;-20.98;12.30;4.50
