time (18.09.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:50:59;-18.10;-30.00;-30.00;16.40;-18.10;-18.00;-21.35;19.80;4.80
13:51:01;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.35;19.80;4.80
13:51:03;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.35;19.80;4.80
13:51:05;-18.10;-30.00;-30.01;16.40;-18.10;-18.00;-21.36;19.80;4.80
13:51:07;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.37;19.70;4.80
13:51:09;-18.10;-30.00;-30.02;16.40;-18.10;-18.00;-21.36;19.70;4.70
13:51:11;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.37;19.70;4.80
13:51:13;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.36;19.70;4.80
13:51:15;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.35;19.70;4.70
13:51:17;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.35;19.70;4.70
13:51:19;-18.10;-30.00;-30.04;16.40;-18.10;-18.10;-21.34;19.70;4.80
13:51:21;-18.10;-30.00;-30.01;16.40;-18.10;-18.00;-21.35;19.70;4.80
13:51:23;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.35;19.70;4.70
13:51:25;-18.10;-30.00;-30.05;16.40;-18.10;-18.00;-21.35;19.70;4.80
13:51:27;-18.10;-30.00;-30.04;16.40;-18.10;-18.10;-21.35;19.70;4.80
13:51:29;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.36;19.70;4.80
13:51:31;-18.10;-30.00;-30.05;16.40;-18.10;-18.10;-21.37;19.70;4.70
13:51:33;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.36;19.60;4.70
13:51:35;-18.10;-30.00;-30.02;16.40;-18.10;-18.00;-21.37;19.60;4.80
13:51:37;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.36;19.60;4.70
13:51:39;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.38;19.60;4.80
13:51:41;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.38;19.60;4.80
13:51:43;-18.10;-30.00;-30.04;16.40;-18.10;-18.10;-21.39;19.50;4.80
13:51:45;-18.10;-30.00;-30.04;16.40;-18.10;-18.10;-21.38;19.50;4.70
13:51:47;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.37;19.50;4.70
13:51:49;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.38;19.50;4.70
13:51:51;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.36;19.50;4.70
13:51:53;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.36;19.40;4.70
13:51:55;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.36;19.40;4.70
13:51:57;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.35;19.40;4.70
13:51:59;-18.10;-30.00;-30.01;16.40;-18.10;-18.00;-21.37;19.40;4.80
13:52:01;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.37;19.40;4.70
13:52:03;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.38;19.40;4.70
13:52:05;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.37;19.40;4.70
13:52:07;-18.10;-30.00;-30.02;16.40;-18.10;-18.00;-21.38;19.40;4.70
13:52:09;-18.10;-30.00;-30.01;16.40;-18.10;-18.00;-21.38;19.40;4.70
13:52:11;-18.10;-30.00;-29.98;16.40;-18.10;-18.00;-21.39;19.40;4.70
13:52:13;-18.10;-30.00;-29.99;16.40;-18.10;-18.00;-21.39;19.40;4.70
13:52:15;-18.10;-30.00;-30.02;16.40;-18.10;-18.00;-21.39;19.40;4.70
13:52:17;-18.10;-30.00;-30.03;16.40;-18.10;-18.00;-21.39;19.40;4.70
13:52:19;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.38;19.30;4.70
13:52:21;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.39;19.30;4.70
13:52:23;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.40;19.30;4.70
13:52:25;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.40;19.30;4.70
13:52:27;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.41;19.20;4.70
13:52:29;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.43;19.30;4.70
13:52:31;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.42;19.30;4.70
13:52:33;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.41;19.30;4.70
13:52:35;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.41;19.30;4.80
13:52:37;-18.10;-30.00;-29.96;16.40;-18.10;-18.10;-21.43;19.20;4.70
13:52:39;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.43;19.20;4.70
13:52:41;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.42;19.20;4.70
13:52:43;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.40;19.20;4.70
13:52:45;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;19.20;4.80
13:52:47;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.41;19.10;4.70
13:52:49;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.42;19.10;4.80
13:52:51;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.42;19.10;4.70
13:52:53;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.40;19.10;4.70
13:52:55;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.41;19.10;4.80
13:52:57;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.43;19.10;4.80
13:52:59;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.42;19.10;4.70
13:53:01;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.40;19.10;4.80
13:53:03;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.42;19.00;4.70
13:53:05;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.41;19.00;4.70
13:53:07;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.41;19.00;4.70
13:53:09;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.41;19.00;4.70
13:53:11;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.41;19.00;4.70
13:53:13;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;19.00;4.70
13:53:15;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.42;19.00;4.80
13:53:17;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.43;18.90;4.80
13:53:19;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.42;18.90;4.70
13:53:21;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.42;18.80;4.70
13:53:23;-18.10;-30.00;-29.98;16.40;-18.10;-18.10;-21.42;18.80;4.70
13:53:25;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.42;18.80;4.70
13:53:27;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.44;18.80;4.70
13:53:29;-18.10;-30.00;-30.01;16.40;-18.10;-18.20;-21.44;18.80;4.70
13:53:31;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.44;18.80;4.70
13:53:33;-18.10;-30.00;-30.01;16.40;-18.10;-18.20;-21.45;18.80;4.70
13:53:35;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.45;18.70;4.70
13:53:37;-18.10;-30.00;-30.03;16.40;-18.10;-18.20;-21.45;18.80;4.70
13:53:39;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.44;18.80;4.70
13:53:41;-18.10;-30.00;-30.03;16.40;-18.10;-18.20;-21.44;18.70;4.70
13:53:43;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.44;18.70;4.70
13:53:45;-18.10;-30.00;-30.03;16.40;-18.10;-18.20;-21.43;18.70;4.70
13:53:47;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.41;18.70;4.70
13:53:49;-18.10;-30.00;-30.03;16.40;-18.10;-18.20;-21.42;18.70;4.70
13:53:51;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.40;18.70;4.70
13:53:53;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.40;18.70;4.80
13:53:55;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.70;4.70
13:53:57;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.70;4.80
13:53:59;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.70;4.80
13:54:01;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.39;18.70;4.70
13:54:03;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.40;18.60;4.80
13:54:05;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.42;18.70;4.70
13:54:07;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.40;18.70;4.70
13:54:09;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.70;4.80
13:54:11;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.40;18.60;4.70
13:54:13;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.40;18.60;4.70
13:54:15;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.40;18.60;4.70
13:54:17;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.43;18.50;4.70
13:54:19;-18.10;-30.00;-30.02;16.40;-18.10;-18.10;-21.44;18.50;4.70
13:54:21;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.44;18.50;4.70
13:54:23;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.43;18.50;4.70
13:54:25;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.42;18.50;4.70
13:54:27;-18.10;-30.00;-30.01;16.40;-18.10;-18.20;-21.43;18.50;4.70
13:54:29;-18.10;-30.00;-30.02;16.40;-18.10;-18.20;-21.40;18.50;4.70
13:54:31;-18.10;-30.00;-29.99;16.40;-18.10;-18.20;-21.42;18.50;4.70
13:54:33;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.41;18.50;4.80
13:54:35;-18.10;-30.00;-30.01;16.40;-18.10;-18.20;-21.42;18.50;4.70
13:54:37;-18.10;-30.00;-30.00;16.40;-18.10;-18.20;-21.41;18.50;4.70
13:54:39;-18.10;-30.00;-30.01;16.30;-18.10;-18.20;-21.43;18.50;4.70
13:54:41;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.43;18.40;4.80
13:54:43;-18.10;-30.00;-30.00;16.40;-18.10;-18.10;-21.43;18.50;4.80
13:54:45;-18.10;-30.00;-29.98;16.40;-18.10;-18.10;-21.42;18.50;4.70
13:54:47;-18.10;-30.00;-29.99;16.40;-18.10;-18.20;-21.41;18.50;4.70
13:54:49;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.40;4.70
13:54:51;-18.10;-30.00;-30.03;16.40;-18.10;-18.10;-21.42;18.40;4.70
13:54:53;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.41;18.50;4.70
13:54:55;-18.10;-30.00;-30.01;16.40;-18.10;-18.10;-21.42;18.40;4.70
13:54:57;-18.10;-30.00;-29.99;16.40;-18.10;-18.10;-21.41;18.40;4.70
13:54:59;-18.10;-30.00;-30.00;16.30;-18.10;-18.10;-21.41;18.40;4.70
13:55:01;-18.10;-30.00;-29.97;16.30;-18.10;-18.10;-21.41;18.40;4.80
13:55:03;-18.10;-30.00;-29.96;16.40;-18.10;-18.10;-21.41;18.40;4.70
