time (18.07.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:16:55;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.10;23.50;9.30
14:16:57;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.10;23.50;9.30
14:16:59;-18.10;-30.00;-30.03;17.80;-18.70;-18.10;-20.09;23.50;9.30
14:17:00;-18.10;-30.00;-30.02;17.80;-18.70;-18.10;-20.08;23.50;9.30
14:17:03;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.09;23.50;9.40
14:17:05;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.09;23.40;9.30
14:17:07;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.09;23.40;9.40
14:17:09;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.08;23.30;9.30
14:17:11;-18.10;-30.00;-30.03;17.80;-18.70;-18.10;-20.08;23.30;9.40
14:17:13;-18.10;-30.00;-30.04;17.80;-18.60;-18.10;-20.08;23.30;9.40
14:17:15;-18.10;-30.00;-30.05;17.80;-18.70;-18.10;-20.08;23.30;9.40
14:17:17;-18.10;-30.00;-30.05;17.80;-18.70;-18.10;-20.08;23.20;9.40
14:17:19;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.08;23.20;9.40
14:17:21;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.08;23.20;9.40
14:17:23;-18.10;-30.00;-30.04;17.80;-18.70;-18.10;-20.08;23.20;9.40
14:17:25;-18.10;-30.00;-30.06;17.80;-18.60;-18.10;-20.08;23.20;9.30
14:17:27;-18.10;-30.00;-30.07;17.80;-18.60;-18.10;-20.07;23.10;9.30
14:17:29;-18.10;-30.00;-30.05;17.80;-18.70;-18.10;-20.07;23.10;9.30
14:17:30;-18.10;-30.00;-30.05;17.80;-18.70;-18.10;-20.06;23.10;9.40
14:17:33;-18.10;-30.00;-30.05;17.80;-18.60;-18.10;-20.06;23.10;9.30
14:17:35;-18.10;-30.00;-30.05;17.80;-18.70;-18.10;-20.06;23.10;9.30
14:17:36;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.06;23.00;9.30
14:17:39;-18.10;-30.00;-29.99;17.80;-18.60;-18.10;-20.06;23.00;9.30
14:17:41;-18.10;-30.00;-30.00;17.80;-18.60;-18.10;-20.05;23.00;9.30
14:17:43;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.05;23.00;9.30
14:17:45;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.05;23.00;9.30
14:17:47;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.05;22.90;9.30
14:17:48;-18.10;-30.00;-30.02;17.80;-18.70;-18.10;-20.04;22.90;9.30
14:17:51;-18.10;-30.00;-30.02;17.80;-18.70;-18.10;-20.03;22.90;9.30
14:17:53;-18.10;-30.00;-30.01;17.80;-18.60;-18.10;-20.03;22.90;9.30
14:17:55;-18.10;-30.00;-30.02;17.80;-18.60;-18.10;-20.03;22.80;9.40
14:17:57;-18.10;-30.00;-29.98;17.80;-18.70;-18.10;-20.03;22.90;9.40
14:17:59;-18.10;-30.00;-29.97;17.80;-18.60;-18.10;-20.03;22.80;9.40
14:18:01;-18.10;-30.00;-30.00;17.80;-18.60;-18.10;-20.04;22.80;9.40
14:18:03;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.03;22.80;9.40
14:18:04;-18.10;-30.00;-30.04;17.80;-18.60;-18.10;-20.02;22.80;9.40
14:18:07;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.02;22.80;9.30
14:18:09;-18.10;-30.00;-30.03;17.80;-18.60;-18.10;-20.02;22.80;9.40
14:18:11;-18.10;-30.00;-30.04;17.80;-18.60;-18.10;-20.02;22.70;9.40
14:18:13;-18.10;-30.00;-30.04;17.80;-18.60;-18.10;-20.02;22.70;9.30
14:18:15;-18.10;-30.00;-30.04;17.80;-18.60;-18.10;-20.01;22.70;9.30
14:18:17;-18.10;-30.00;-30.05;17.80;-18.60;-18.00;-20.01;22.60;9.40
14:18:19;-18.10;-30.00;-30.04;17.80;-18.60;-18.00;-20.01;22.60;9.40
14:18:21;-18.10;-30.00;-30.04;17.80;-18.60;-18.00;-20.00;22.70;9.40
14:18:23;-18.10;-30.00;-30.03;17.80;-18.60;-18.00;-20.00;22.60;9.30
14:18:25;-18.10;-30.00;-30.02;17.80;-18.60;-18.10;-20.00;22.60;9.30
