time (13.08.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:21:23;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.94;20.80;7.70
15:21:25;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.94;20.80;7.70
15:21:27;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.93;20.90;7.70
15:21:29;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.93;20.90;7.70
15:21:31;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.92;20.80;7.70
15:21:33;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.92;20.80;7.70
15:21:35;-18.10;-30.00;-29.98;17.00;-18.70;-18.10;-19.91;20.80;7.70
15:21:37;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.90;20.80;7.70
15:21:39;-18.10;-30.00;-29.98;17.00;-18.70;-18.10;-19.89;20.80;7.70
15:21:43;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.85;20.80;7.70
15:21:46;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.84;20.80;7.70
15:21:48;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.83;20.80;7.60
15:21:50;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.83;20.80;7.70
15:21:52;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.82;20.90;7.70
15:21:54;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.82;20.90;7.70
15:21:56;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.81;20.90;7.70
15:21:57;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.81;20.90;7.70
15:21:59;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.81;20.90;7.70
15:22:01;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.81;20.80;7.70
15:22:04;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.80;20.90;7.70
15:22:05;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.80;20.90;7.70
15:22:07;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.80;20.90;7.70
15:22:09;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.80;20.90;7.70
15:22:12;-18.10;-30.00;-30.04;17.00;-18.70;-18.10;-19.80;20.80;7.70
15:22:14;-18.10;-30.00;-30.03;17.00;-18.70;-18.10;-19.80;20.70;7.70
15:22:16;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.80;20.70;7.70
15:22:18;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.80;20.70;7.60
15:22:20;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.79;20.70;7.70
15:22:22;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.79;20.70;7.70
15:22:24;-18.10;-30.00;-30.03;17.00;-18.70;-18.10;-19.79;20.80;7.70
15:22:26;-18.10;-30.00;-30.02;17.00;-18.70;-18.10;-19.79;20.70;7.60
15:22:28;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.79;20.70;7.60
15:22:30;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.79;20.70;7.70
15:22:32;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.79;20.70;7.70
15:22:34;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.79;20.80;7.70
15:22:36;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:38;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:40;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:42;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:44;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:46;-18.10;-30.00;-29.94;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:48;-18.10;-30.00;-29.95;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:50;-18.10;-30.00;-29.96;17.00;-18.70;-18.10;-19.78;20.80;7.60
15:22:52;-18.10;-30.00;-29.97;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:22:54;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:22:56;-18.10;-30.00;-29.99;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:22:58;-18.10;-30.00;-29.98;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:23:00;-18.10;-30.00;-29.98;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:23:02;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:23:04;-18.10;-30.00;-30.01;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:23:06;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.78;20.80;7.70
15:23:08;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:23:10;-18.10;-30.00;-29.97;17.00;-18.70;-18.10;-19.77;20.80;7.60
15:23:12;-18.10;-30.00;-29.98;17.00;-18.70;-18.10;-19.77;20.80;7.70
15:23:14;-18.10;-30.00;-30.00;17.00;-18.70;-18.10;-19.77;20.70;7.70
