time (20.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:03:23;-18.10;-30.00;-30.01;17.60;-17.70;-18.30;-13.55;20.10;4.60
15:03:25;-18.10;-30.00;-30.02;17.60;-17.70;-18.30;-13.55;20.10;4.60
15:03:27;-18.10;-30.00;-30.02;17.60;-17.70;-18.30;-13.54;20.10;4.60
15:03:29;-18.10;-30.00;-30.02;17.60;-17.70;-18.30;-13.55;20.00;4.60
15:03:31;-18.10;-30.00;-30.03;17.60;-17.60;-18.30;-13.53;20.00;4.60
15:03:33;-18.10;-30.00;-30.04;17.60;-17.60;-18.30;-13.55;19.90;4.60
15:03:35;-18.10;-30.00;-30.04;17.60;-17.60;-18.30;-13.57;19.90;4.60
15:03:37;-18.10;-30.00;-30.04;17.60;-17.60;-18.20;-13.56;19.90;4.60
15:03:39;-18.10;-30.00;-30.01;17.60;-17.60;-18.20;-13.51;19.80;4.60
15:03:41;-18.10;-30.00;-30.02;17.60;-17.60;-18.20;-13.54;19.80;4.60
15:03:43;-18.10;-30.00;-30.03;17.60;-17.60;-18.20;-13.53;19.80;4.60
15:03:45;-18.10;-30.00;-30.05;17.60;-17.60;-18.20;-13.49;19.80;4.60
15:03:47;-18.10;-30.00;-30.06;17.60;-17.60;-18.20;-13.51;19.70;4.60
15:03:49;-18.10;-30.00;-30.06;17.60;-17.60;-18.20;-13.55;19.70;4.60
15:03:51;-18.10;-30.00;-30.06;17.60;-17.60;-18.20;-13.54;19.70;4.60
15:03:53;-18.10;-30.00;-30.06;17.60;-17.60;-18.10;-13.51;19.70;4.60
15:03:55;-18.10;-30.00;-30.07;17.60;-17.60;-18.20;-13.50;19.70;4.60
15:03:57;-18.10;-30.00;-30.07;17.60;-17.60;-18.20;-13.45;19.60;4.60
15:03:59;-18.10;-30.00;-30.07;17.60;-17.50;-18.10;-13.47;19.60;4.60
15:04:01;-18.10;-30.00;-30.07;17.60;-17.60;-18.10;-13.47;19.60;4.50
15:04:03;-18.10;-30.00;-30.07;17.60;-17.50;-18.10;-13.52;19.60;4.50
15:04:05;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.52;19.50;4.60
15:04:07;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.50;19.50;4.50
15:04:09;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.50;19.50;4.60
15:04:11;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.49;19.40;4.60
15:04:13;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.48;19.40;4.50
15:04:15;-18.10;-30.00;-30.08;17.60;-17.50;-18.10;-13.51;19.40;4.60
15:04:17;-18.10;-30.00;-30.09;17.60;-17.50;-18.00;-13.50;19.40;4.60
15:04:19;-18.10;-30.00;-30.10;17.60;-17.50;-18.10;-13.48;19.40;4.60
