time (05.10.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:18:04;-18.10;-30.00;-30.03;22.30;-17.60;-18.10;-21.54;11.70;6.00
08:18:06;-18.10;-30.00;-30.00;22.30;-17.60;-18.10;-21.53;11.80;6.00
08:18:08;-18.10;-30.00;-29.98;22.30;-17.60;-18.10;-21.54;11.80;6.00
08:18:10;-18.10;-30.00;-30.00;22.30;-17.60;-18.10;-21.54;11.70;6.00
08:18:12;-18.10;-30.00;-29.99;22.30;-17.60;-18.20;-21.54;11.70;6.00
08:18:14;-18.10;-30.00;-29.98;22.30;-17.60;-18.20;-21.54;11.70;6.00
08:18:16;-18.10;-30.00;-29.99;22.30;-17.60;-18.20;-21.53;11.70;6.00
08:18:18;-18.10;-30.00;-29.96;22.30;-17.60;-18.20;-21.53;11.70;6.00
08:18:20;-18.10;-30.00;-29.97;22.30;-17.60;-18.20;-21.54;11.70;6.00
08:18:22;-18.10;-30.00;-29.99;22.30;-17.60;-18.20;-21.54;11.70;6.00
08:18:24;-18.10;-30.00;-29.96;22.30;-17.60;-18.20;-21.54;11.70;6.00
08:18:26;-18.10;-30.00;-29.96;22.30;-17.60;-18.20;-21.53;11.70;6.00
08:18:28;-18.10;-30.00;-29.99;22.20;-17.60;-18.20;-21.53;11.70;6.00
08:18:30;-18.10;-30.00;-30.01;22.20;-17.60;-18.10;-21.53;11.70;6.00
08:18:32;-18.10;-30.00;-30.01;22.30;-17.60;-18.10;-21.52;11.70;6.00
08:18:34;-18.10;-30.00;-30.00;22.30;-17.60;-18.10;-21.52;11.70;6.00
08:18:36;-18.10;-30.00;-30.00;22.20;-17.60;-18.20;-21.52;11.70;6.00
08:18:38;-18.10;-30.00;-30.02;22.20;-17.60;-18.20;-21.51;11.70;6.00
08:18:40;-18.10;-30.00;-30.01;22.30;-17.60;-18.20;-21.51;11.70;6.00
08:18:42;-18.10;-30.00;-30.00;22.20;-17.60;-18.10;-21.51;11.60;6.00
08:18:44;-18.10;-30.00;-30.00;22.30;-17.60;-18.10;-21.51;11.60;6.00
08:18:46;-18.10;-30.00;-30.02;22.30;-17.60;-18.10;-21.52;11.70;6.00
08:18:48;-18.10;-30.00;-30.02;22.20;-17.60;-18.10;-21.52;11.60;6.00
08:18:50;-18.10;-30.00;-30.03;22.20;-17.60;-18.10;-21.51;11.70;6.00
08:18:52;-18.10;-30.00;-30.04;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:18:54;-18.10;-30.00;-30.04;22.20;-17.60;-18.10;-21.51;11.60;6.00
08:18:56;-18.10;-30.00;-30.06;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:18:58;-18.10;-30.00;-30.04;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:19:00;-18.10;-30.00;-30.03;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:19:02;-18.10;-30.00;-30.02;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:19:04;-18.10;-30.00;-30.01;22.20;-17.60;-18.20;-21.51;11.60;6.00
08:19:06;-18.10;-30.00;-30.02;22.20;-17.60;-18.10;-21.50;11.60;6.00
08:19:08;-18.10;-30.00;-30.01;22.20;-17.60;-18.10;-21.51;11.60;6.00
08:19:10;-18.10;-30.00;-30.01;22.20;-17.60;-18.10;-21.50;11.60;6.00
08:19:12;-18.10;-30.00;-30.02;22.20;-17.60;-18.10;-21.49;11.60;6.00
08:19:14;-18.10;-30.00;-30.02;22.20;-17.60;-18.10;-21.49;11.60;6.00
08:19:16;-18.10;-30.00;-29.99;22.20;-17.60;-18.10;-21.50;11.60;6.00
08:19:18;-18.10;-30.00;-29.99;22.20;-17.60;-18.10;-21.50;11.60;6.00
08:19:20;-18.10;-30.00;-30.00;22.20;-17.60;-18.10;-21.50;11.60;6.00
08:19:22;-18.10;-30.00;-30.00;22.20;-17.60;-18.20;-21.50;11.60;6.00
08:19:24;-18.10;-30.00;-30.01;22.20;-17.60;-18.10;-21.50;11.60;6.00
