time (02.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:48:47;-18.10;-30.00;-30.02;20.70;-17.50;-18.10;-19.96;7.60;3.20
08:48:49;-18.10;-30.00;-30.02;20.70;-17.50;-18.20;-19.97;7.60;3.20
08:48:51;-18.10;-30.00;-30.01;20.70;-17.50;-18.20;-19.97;7.60;3.20
08:48:53;-18.10;-30.00;-29.97;20.70;-17.50;-18.20;-19.96;7.60;3.20
08:48:55;-18.10;-30.00;-29.98;20.70;-17.50;-18.20;-19.96;7.60;3.20
08:48:57;-18.10;-30.00;-30.00;20.70;-17.40;-18.10;-19.95;7.50;3.30
08:48:59;-18.10;-30.00;-30.00;20.70;-17.40;-18.10;-19.95;7.50;3.30
08:49:01;-18.10;-30.00;-29.99;20.70;-17.50;-18.10;-19.96;7.50;3.30
08:49:03;-18.10;-30.00;-29.99;20.70;-17.50;-18.10;-19.96;7.50;3.20
08:49:05;-18.10;-30.00;-29.99;20.70;-17.50;-18.10;-19.96;7.50;3.20
08:49:07;-18.10;-30.00;-30.01;20.70;-17.40;-18.20;-19.95;7.50;3.20
08:49:09;-18.10;-30.00;-29.97;20.70;-17.40;-18.10;-19.96;7.50;3.20
08:49:11;-18.10;-30.00;-29.97;20.70;-17.40;-18.10;-19.96;7.50;3.30
08:49:13;-18.10;-30.00;-29.98;20.60;-17.50;-18.10;-19.95;7.50;3.20
08:49:15;-18.10;-30.00;-29.98;20.70;-17.50;-18.10;-19.94;7.50;3.30
08:49:17;-18.10;-30.00;-30.01;20.70;-17.50;-18.10;-19.96;7.50;3.30
08:49:19;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.96;7.40;3.20
08:49:21;-18.10;-30.00;-30.04;20.60;-17.50;-18.10;-19.96;7.40;3.30
08:49:23;-18.10;-30.00;-30.04;20.70;-17.50;-18.20;-19.96;7.40;3.30
08:49:25;-18.10;-30.00;-30.03;20.60;-17.50;-18.10;-19.95;7.40;3.20
08:49:27;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.96;7.40;3.20
08:49:29;-18.10;-30.00;-30.01;20.60;-17.50;-18.10;-19.96;7.40;3.20
08:49:31;-18.10;-30.00;-30.00;20.60;-17.50;-18.10;-19.95;7.40;3.20
08:49:33;-18.10;-30.00;-30.00;20.60;-17.50;-18.20;-19.96;7.40;3.20
08:49:35;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.96;7.40;3.30
08:49:37;-18.10;-30.00;-30.03;20.60;-17.40;-18.20;-19.97;7.40;3.20
08:49:39;-18.10;-30.00;-30.02;20.60;-17.40;-18.20;-19.97;7.40;3.20
08:49:41;-18.10;-30.00;-30.02;20.60;-17.50;-18.20;-19.98;7.40;3.30
08:49:43;-18.10;-30.00;-30.02;20.60;-17.50;-18.20;-19.98;7.40;3.20
08:49:45;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.99;7.30;3.20
08:49:47;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.98;7.40;3.20
08:49:49;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.98;7.40;3.30
08:49:51;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.98;7.30;3.20
08:49:53;-18.10;-30.00;-30.00;20.60;-17.50;-18.20;-19.99;7.40;3.20
08:49:55;-18.10;-30.00;-29.99;20.60;-17.50;-18.20;-19.98;7.40;3.30
08:49:57;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.98;7.40;3.30
08:49:59;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.96;7.30;3.30
08:50:01;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.96;7.30;3.20
08:50:03;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.96;7.30;3.20
08:50:05;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.96;7.30;3.30
08:50:07;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.96;7.30;3.20
08:50:09;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.97;7.30;3.20
08:50:11;-18.10;-30.00;-30.02;20.60;-17.50;-18.20;-19.96;7.30;3.20
08:50:13;-18.10;-30.00;-30.00;20.60;-17.50;-18.20;-19.96;7.30;3.20
08:50:15;-18.10;-30.00;-30.00;20.60;-17.40;-18.20;-19.96;7.30;3.20
08:50:17;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.95;7.20;3.30
08:50:19;-18.10;-30.00;-29.99;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:21;-18.10;-30.00;-29.96;20.60;-17.50;-18.10;-19.95;7.20;3.30
08:50:23;-18.10;-30.00;-29.98;20.60;-17.50;-18.10;-19.95;7.30;3.30
08:50:25;-18.10;-30.00;-30.00;20.60;-17.50;-18.10;-19.94;7.20;3.30
08:50:27;-18.10;-30.00;-30.02;20.60;-17.50;-18.20;-19.95;7.20;3.20
08:50:29;-18.10;-30.00;-30.00;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:31;-18.10;-30.00;-30.01;20.60;-17.50;-18.10;-19.94;7.20;3.20
08:50:33;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.94;7.20;3.30
08:50:35;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.95;7.20;3.30
08:50:37;-18.10;-30.00;-30.02;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:39;-18.10;-30.00;-30.00;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:41;-18.10;-30.00;-30.00;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:43;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.95;7.20;3.30
08:50:45;-18.10;-30.00;-30.01;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:47;-18.10;-30.00;-30.01;20.60;-17.50;-18.10;-19.95;7.20;3.20
08:50:49;-18.10;-30.00;-30.00;20.50;-17.50;-18.10;-19.96;7.10;3.20
08:50:51;-18.10;-30.00;-30.01;20.60;-17.50;-18.20;-19.95;7.10;3.20
08:50:53;-18.10;-30.00;-30.03;20.60;-17.50;-18.10;-19.95;7.10;3.20
08:50:55;-18.10;-30.00;-30.01;20.50;-17.50;-18.20;-19.96;7.10;3.20
08:50:57;-18.10;-30.00;-29.99;20.50;-17.50;-18.20;-19.97;7.10;3.20
08:50:59;-18.10;-30.00;-29.99;20.50;-17.50;-18.20;-19.98;7.10;3.30
08:51:01;-18.10;-30.00;-30.00;20.50;-17.50;-18.20;-19.98;7.10;3.20
08:51:03;-18.10;-30.00;-29.98;20.60;-17.40;-18.20;-19.97;7.10;3.20
08:51:05;-18.10;-30.00;-29.99;20.60;-17.50;-18.20;-19.97;7.10;3.20
08:51:07;-18.10;-30.00;-30.00;20.50;-17.50;-18.20;-19.97;7.10;3.30
08:51:09;-18.10;-30.00;-30.01;20.50;-17.50;-18.20;-19.97;7.10;3.20
08:51:11;-18.10;-30.00;-30.00;20.50;-17.50;-18.20;-19.97;7.10;3.20
08:51:13;-18.10;-30.00;-29.99;20.50;-17.50;-18.20;-19.98;7.10;3.30
08:51:15;-18.10;-30.00;-30.00;20.50;-17.50;-18.20;-19.97;7.00;3.20
08:51:17;-18.10;-30.00;-30.00;20.50;-17.40;-18.20;-19.96;7.00;3.20
08:51:19;-18.10;-30.00;-30.01;20.50;-17.50;-18.20;-19.96;7.00;3.30
08:51:21;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.95;7.00;3.20
08:51:23;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.95;7.00;3.20
08:51:25;-18.10;-30.00;-29.99;20.50;-17.50;-18.10;-19.94;7.00;3.30
08:51:27;-18.10;-30.00;-29.98;20.50;-17.50;-18.10;-19.93;7.00;3.30
08:51:29;-18.10;-30.00;-29.97;20.50;-17.50;-18.10;-19.94;7.00;3.30
08:51:31;-18.10;-30.00;-29.99;20.50;-17.50;-18.10;-19.94;7.00;3.30
08:51:33;-18.10;-30.00;-30.00;20.50;-17.40;-18.10;-19.93;7.00;3.20
08:51:35;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.93;7.00;3.20
08:51:37;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.93;7.00;3.20
08:51:39;-18.10;-30.00;-30.01;20.50;-17.40;-18.10;-19.93;7.00;3.20
08:51:41;-18.10;-30.00;-30.00;20.50;-17.40;-18.10;-19.92;7.00;3.20
08:51:43;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.93;7.00;3.20
08:51:45;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.92;7.00;3.20
08:51:47;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.93;7.00;3.30
08:51:49;-18.10;-30.00;-30.02;20.50;-17.50;-18.10;-19.94;6.90;3.20
08:51:51;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.93;7.00;3.20
08:51:53;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.94;6.90;3.20
08:51:55;-18.10;-30.00;-30.01;20.50;-17.50;-18.10;-19.94;6.90;3.20
