time (18.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:36:12;-18.10;-30.00;-29.91;19.20;-18.60;-18.40;-20.24;15.40;4.60
10:36:14;-18.10;-30.00;-29.93;19.20;-18.60;-18.40;-20.23;15.40;4.60
10:36:16;-18.10;-30.00;-29.94;19.20;-18.60;-18.30;-20.21;15.40;4.60
10:36:18;-18.10;-30.00;-29.93;19.20;-18.50;-18.40;-20.21;15.30;4.50
10:36:20;-18.10;-30.00;-29.94;19.20;-18.60;-18.40;-20.20;15.30;4.60
10:36:22;-18.10;-30.00;-29.95;19.20;-18.50;-18.30;-20.19;15.30;4.50
10:36:24;-18.10;-30.00;-29.95;19.20;-18.50;-18.30;-20.17;15.30;4.50
10:36:26;-18.10;-30.00;-29.97;19.20;-18.50;-18.30;-20.17;15.30;4.60
10:36:28;-18.10;-30.00;-29.98;19.20;-18.50;-18.30;-20.16;15.20;4.60
10:36:30;-18.10;-30.00;-29.99;19.20;-18.50;-18.30;-20.14;15.20;4.50
10:36:32;-18.10;-30.00;-30.00;19.20;-18.50;-18.30;-20.12;15.20;4.50
10:36:34;-18.10;-30.00;-30.02;19.20;-18.50;-18.30;-20.09;15.20;4.60
10:36:36;-18.10;-30.00;-30.03;19.20;-18.50;-18.30;-20.08;15.10;4.60
10:36:38;-18.10;-30.00;-30.03;19.20;-18.50;-18.30;-20.09;15.10;4.60
10:36:40;-18.10;-30.00;-30.03;19.20;-18.50;-18.20;-20.10;15.10;4.60
10:36:42;-18.10;-30.00;-30.03;19.20;-18.50;-18.30;-20.09;15.10;4.50
10:36:44;-18.10;-30.00;-30.04;19.20;-18.50;-18.20;-20.08;15.10;4.60
10:36:46;-18.10;-30.00;-30.03;19.20;-18.50;-18.20;-20.05;15.10;4.60
10:36:48;-18.10;-30.00;-30.03;19.20;-18.50;-18.20;-20.05;15.00;4.60
10:36:50;-18.10;-30.00;-30.03;19.20;-18.50;-18.20;-20.05;15.00;4.50
10:36:52;-18.10;-30.00;-30.04;19.20;-18.50;-18.20;-20.04;15.00;4.60
10:36:54;-18.10;-30.00;-30.05;19.20;-18.50;-18.20;-20.03;15.00;4.60
10:36:56;-18.10;-30.00;-30.06;19.20;-18.50;-18.10;-20.01;15.00;4.60
10:36:58;-18.10;-30.00;-30.07;19.20;-18.50;-18.20;-20.01;15.00;4.50
10:37:00;-18.10;-30.00;-30.08;19.20;-18.40;-18.20;-20.00;15.00;4.50
10:37:02;-18.10;-30.00;-30.07;19.20;-18.50;-18.20;-20.00;14.90;4.50
10:37:04;-18.10;-30.00;-30.07;19.20;-18.40;-18.20;-19.99;14.90;4.60
10:37:06;-18.10;-30.00;-30.06;19.20;-18.40;-18.20;-19.94;14.90;4.50
10:37:08;-18.10;-30.00;-30.05;19.20;-18.40;-18.10;-19.95;14.90;4.60
10:37:10;-18.10;-30.00;-30.07;19.20;-18.40;-18.10;-19.95;14.90;4.50
10:37:12;-18.10;-30.00;-30.07;19.20;-18.40;-18.10;-19.96;14.90;4.50
10:37:14;-18.10;-30.00;-30.07;19.20;-18.40;-18.10;-19.96;14.80;4.60
10:37:16;-18.10;-30.00;-30.08;19.20;-18.40;-18.00;-19.96;14.80;4.60
10:37:18;-18.10;-30.00;-30.08;19.20;-18.40;-18.10;-19.94;14.90;4.60
10:37:20;-18.10;-30.00;-30.07;19.20;-18.40;-18.10;-19.94;14.80;4.50
10:37:22;-18.10;-30.00;-30.06;19.20;-18.30;-18.10;-19.92;14.80;4.60
10:37:24;-18.10;-30.00;-30.07;19.20;-18.40;-18.10;-19.93;14.80;4.60
10:37:26;-18.10;-30.00;-30.08;19.20;-18.30;-18.10;-19.90;14.80;4.50
10:37:28;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.91;14.70;4.50
10:37:30;-18.10;-30.00;-30.08;19.20;-18.30;-18.10;-19.92;14.70;4.50
10:37:32;-18.10;-30.00;-30.08;19.20;-18.30;-18.10;-19.91;14.70;4.50
10:37:34;-18.10;-30.00;-30.08;19.20;-18.30;-18.10;-19.91;14.70;4.50
10:37:36;-18.10;-30.00;-30.08;19.20;-18.30;-18.10;-19.91;14.60;4.50
10:37:38;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.91;14.60;4.50
10:37:40;-18.10;-30.00;-30.10;19.20;-18.30;-18.00;-19.93;14.60;4.50
10:37:42;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.92;14.60;4.50
10:37:44;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.92;14.60;4.50
10:37:46;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.91;14.60;4.50
10:37:48;-18.10;-30.00;-30.10;19.20;-18.30;-18.10;-19.88;14.60;4.50
10:37:50;-18.10;-30.00;-30.09;19.20;-18.30;-18.10;-19.90;14.60;4.50
10:37:52;-18.10;-30.00;-30.09;19.20;-18.20;-18.00;-19.90;14.50;4.60
10:37:54;-18.10;-30.00;-30.09;19.20;-18.30;-18.00;-19.90;14.50;4.50
10:37:56;-18.10;-30.00;-30.09;19.20;-18.30;-18.00;-19.90;14.50;4.60
10:37:58;-18.10;-30.00;-30.09;19.20;-18.30;-18.00;-19.89;14.50;4.50
10:38:00;-18.10;-30.00;-30.07;19.20;-18.30;-18.00;-19.86;14.50;4.60
10:38:02;-18.10;-30.00;-30.07;19.20;-18.30;-18.00;-19.87;14.40;4.50
10:38:04;-18.10;-30.00;-30.08;19.20;-18.20;-18.00;-19.88;14.40;4.50
10:38:06;-18.10;-30.00;-30.09;19.20;-18.20;-18.00;-19.88;14.40;4.50
10:38:08;-18.10;-30.00;-30.08;19.20;-18.20;-18.00;-19.87;14.40;4.50
10:38:11;-18.10;-30.00;-30.08;19.20;-18.20;-18.00;-19.85;14.30;4.60
10:38:13;-18.10;-30.00;-30.06;19.10;-18.20;-18.00;-19.85;14.40;4.60
10:38:15;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.87;14.40;4.50
10:38:16;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.85;14.40;4.50
10:38:18;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.87;14.30;4.60
10:38:20;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.88;14.30;4.50
10:38:22;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.88;14.30;4.50
10:38:24;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.89;14.30;4.60
10:38:26;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.90;14.30;4.50
10:38:28;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.90;14.20;4.60
10:38:31;-18.10;-30.00;-30.06;19.10;-18.20;-18.00;-19.90;14.20;4.50
10:38:33;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.89;14.20;4.60
10:38:34;-18.10;-30.00;-30.05;19.10;-18.20;-18.00;-19.90;14.20;4.60
10:38:36;-18.10;-30.00;-30.06;19.20;-18.20;-18.10;-19.86;14.10;4.50
10:38:38;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.86;14.20;4.50
10:38:40;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.84;14.10;4.50
10:38:42;-18.10;-30.00;-30.08;19.10;-18.20;-18.10;-19.86;14.10;4.60
10:38:44;-18.10;-30.00;-30.07;19.10;-18.20;-18.10;-19.88;14.10;4.60
10:38:47;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.88;14.10;4.50
10:38:48;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.86;14.10;4.50
10:38:51;-18.10;-30.00;-30.07;19.20;-18.20;-18.00;-19.84;14.10;4.60
10:38:53;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.88;14.10;4.60
10:38:54;-18.10;-30.00;-30.06;19.10;-18.20;-18.00;-19.89;14.00;4.50
10:38:56;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.90;14.00;4.50
10:38:58;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.90;14.00;4.50
10:39:00;-18.10;-30.00;-30.06;19.20;-18.20;-18.00;-19.91;14.00;4.50
10:39:03;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.90;13.90;4.50
10:39:04;-18.10;-30.00;-30.05;19.20;-18.20;-18.00;-19.91;13.90;4.50
10:39:06;-18.10;-30.00;-30.06;19.10;-18.20;-18.10;-19.87;14.00;4.50
10:39:08;-18.10;-30.00;-30.06;19.10;-18.20;-18.10;-19.88;14.00;4.50
10:39:11;-18.10;-30.00;-30.05;19.20;-18.10;-18.10;-19.83;13.90;4.50
10:39:13;-18.10;-30.00;-30.05;19.20;-18.10;-18.10;-19.85;13.90;4.50
10:39:14;-18.10;-30.00;-30.05;19.20;-18.10;-18.00;-19.88;13.90;4.50
10:39:16;-18.10;-30.00;-30.05;19.10;-18.20;-18.10;-19.90;13.90;4.60
10:39:19;-18.10;-30.00;-30.06;19.20;-18.10;-18.10;-19.87;13.90;4.50
10:39:21;-18.10;-30.00;-30.06;19.10;-18.10;-18.10;-19.88;13.80;4.50
10:39:23;-18.10;-30.00;-30.06;19.20;-18.10;-18.00;-19.89;13.80;4.50
10:39:25;-18.10;-30.00;-30.07;19.10;-18.10;-18.00;-19.89;13.80;4.50
10:39:27;-18.10;-30.00;-30.08;19.10;-18.10;-18.00;-19.90;13.70;4.60
10:39:29;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.90;13.70;4.50
10:39:31;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.88;13.70;4.50
10:39:33;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.87;13.70;4.50
10:39:35;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.86;13.60;4.50
10:39:37;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.87;13.60;4.50
10:39:39;-18.10;-30.00;-30.05;19.10;-18.10;-18.00;-19.89;13.60;4.50
10:39:41;-18.10;-30.00;-30.05;19.10;-18.10;-18.10;-19.89;13.60;4.50
10:39:43;-18.10;-30.00;-30.05;19.10;-18.10;-18.10;-19.89;13.60;4.50
10:39:45;-18.10;-30.00;-30.04;19.10;-18.10;-18.10;-19.90;13.60;4.50
10:39:47;-18.10;-30.00;-30.04;19.10;-18.10;-18.00;-19.92;13.60;4.60
10:39:49;-18.10;-30.00;-30.04;19.10;-18.10;-18.10;-19.93;13.60;4.50
10:39:51;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.92;13.50;4.40
10:39:53;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.90;13.50;4.50
10:39:55;-18.10;-30.00;-30.04;19.10;-18.10;-18.10;-19.89;13.50;4.50
10:39:57;-18.10;-30.00;-30.04;19.10;-18.10;-18.10;-19.91;13.50;4.50
10:39:59;-18.10;-30.00;-30.04;19.10;-18.10;-18.10;-19.91;13.50;4.50
10:40:01;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.86;13.50;4.50
10:40:03;-18.10;-30.00;-30.00;19.10;-18.10;-18.10;-19.89;13.50;4.50
10:40:05;-18.10;-30.00;-30.00;19.10;-18.10;-18.10;-19.90;13.50;4.50
10:40:07;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.92;13.50;4.50
10:40:09;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.90;13.50;4.50
10:40:11;-18.10;-30.00;-30.01;19.10;-18.10;-18.00;-19.90;13.40;4.50
10:40:13;-18.10;-30.00;-30.03;19.10;-18.10;-18.00;-19.91;13.40;4.50
10:40:15;-18.10;-30.00;-30.04;19.10;-18.10;-18.00;-19.91;13.40;4.50
10:40:17;-18.10;-30.00;-30.03;19.10;-18.10;-18.10;-19.92;13.40;4.50
10:40:19;-18.10;-30.00;-30.04;19.10;-18.10;-18.00;-19.92;13.40;4.50
10:40:21;-18.10;-30.00;-30.06;19.10;-18.10;-18.00;-19.92;13.40;4.50
10:40:23;-18.10;-30.00;-30.06;19.10;-18.10;-18.00;-19.91;13.30;4.50
10:40:25;-18.10;-30.00;-30.06;19.20;-18.10;-18.00;-19.91;13.30;4.50
10:40:27;-18.10;-30.00;-30.06;19.10;-18.10;-18.10;-19.91;13.30;4.50
10:40:29;-18.10;-30.00;-30.05;19.10;-18.10;-18.10;-19.91;13.30;4.50
10:40:31;-18.10;-30.00;-30.05;19.10;-18.10;-18.10;-19.88;13.30;4.50
