time (19.08.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:32:31;-18.10;-30.00;-29.97;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:33;-18.10;-30.00;-29.99;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:35;-18.10;-30.00;-30.00;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:37;-18.10;-30.00;-30.00;18.00;-18.10;-18.10;-19.49;12.60;4.60
14:32:39;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:41;-18.10;-30.00;-30.01;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:43;-18.10;-30.00;-29.99;18.10;-18.10;-18.10;-19.49;12.60;4.60
14:32:45;-18.10;-30.00;-30.00;18.00;-18.10;-18.10;-19.48;12.60;4.70
14:32:47;-18.10;-30.00;-29.99;18.10;-18.10;-18.10;-19.49;12.50;4.60
14:32:49;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.50;12.50;4.60
14:32:51;-18.10;-30.00;-30.02;18.00;-18.10;-18.10;-19.50;12.50;4.60
14:32:53;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.49;12.50;4.70
14:32:55;-18.10;-30.00;-30.02;18.00;-18.10;-18.10;-19.50;12.50;4.60
14:32:57;-18.10;-30.00;-30.02;18.00;-18.10;-18.20;-19.49;12.50;4.60
14:32:59;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.50;12.50;4.70
14:33:01;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.49;12.50;4.60
14:33:03;-18.10;-30.00;-30.03;18.10;-18.10;-18.10;-19.50;12.50;4.60
14:33:05;-18.10;-30.00;-30.03;18.10;-18.10;-18.10;-19.49;12.50;4.60
14:33:07;-18.10;-30.00;-30.02;18.10;-18.10;-18.10;-19.49;12.40;4.60
14:33:09;-18.10;-30.00;-30.04;18.10;-18.10;-18.20;-19.49;12.50;4.60
14:33:11;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.49;12.40;4.60
14:33:13;-18.10;-30.00;-30.00;18.00;-18.10;-18.10;-19.50;12.40;4.60
14:33:15;-18.10;-30.00;-30.00;18.10;-18.10;-18.10;-19.49;12.40;4.60
14:33:17;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.49;12.40;4.60
14:33:19;-18.10;-30.00;-30.01;18.10;-18.10;-18.10;-19.49;12.40;4.60
14:33:21;-18.10;-30.00;-29.98;18.00;-18.10;-18.10;-19.49;12.40;4.60
14:33:23;-18.10;-30.00;-29.98;18.10;-18.10;-18.10;-19.49;12.40;4.60
14:33:25;-18.10;-30.00;-29.98;18.10;-18.10;-18.10;-19.49;12.40;4.60
14:33:27;-18.10;-30.00;-29.97;18.10;-18.10;-18.20;-19.49;12.40;4.60
14:33:29;-18.10;-30.00;-29.98;18.00;-18.10;-18.10;-19.50;12.40;4.60
14:33:31;-18.10;-30.00;-30.00;18.00;-18.10;-18.20;-19.50;12.40;4.60
14:33:33;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.50;12.30;4.60
14:33:35;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.49;12.30;4.60
14:33:37;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.49;12.30;4.70
14:33:39;-18.10;-30.00;-30.00;18.00;-18.10;-18.10;-19.50;12.30;4.70
14:33:41;-18.10;-30.00;-29.96;18.00;-18.10;-18.10;-19.50;12.30;4.60
14:33:43;-18.10;-30.00;-29.97;18.00;-18.10;-18.10;-19.49;12.30;4.60
14:33:45;-18.10;-30.00;-30.00;18.00;-18.10;-18.10;-19.49;12.30;4.60
14:33:47;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.50;12.30;4.60
14:33:49;-18.10;-30.00;-30.01;18.00;-18.10;-18.10;-19.50;12.20;4.60
14:33:51;-18.10;-30.00;-30.03;18.00;-18.10;-18.10;-19.50;12.20;4.60
